"","pitch_type","batter_num","pitch_rl","bat_rl","inning","balls","strikes","out","on_1b","on_2b","on_3b","score_diff","prev_pitch_type"
"3613","8","3","0","1",4,"0","2",1,0,0,0,2,"2"
"3614","11","3","0","1",4,"0","2",1,0,0,0,2,"8"
"3619","8","3","0","1",4,"1","2",1,0,0,0,2,"11"
"3622","8","4","0","1",4,"1","0",1,0,0,0,2,"8"
"3624","2","4","0","1",4,"2","1",1,0,0,0,2,"8"
"3627","2","2","0","1",1,"0","0",0,0,0,0,0,"-1"
"3630","2","2","0","1",1,"1","2",0,0,0,0,0,"2"
"3639","2","3","0","1",1,"0","0",1,1,0,0,0,"-1"
"3642","2","4","0","0",1,"0","0",2,1,0,0,0,"-1"
"3646","8","4","0","0",1,"0","2",2,1,0,0,0,"2"
"3648","2","5","0","1",2,"0","0",0,0,0,0,0,"-1"
"3649","8","5","0","1",2,"1","0",0,0,0,0,0,"2"
"3651","2","6","0","0",2,"0","0",0,0,0,0,0,"-1"
"3666","2","1","0","0",3,"1","1",0,0,0,0,0,"2"
"3667","8","1","0","0",3,"2","1",0,0,0,0,0,"2"
"3669","2","2","0","1",3,"0","0",1,1,0,0,0,"-1"
"3673","8","3","0","1",3,"1","0",2,1,0,0,0,"2"
"3675","2","3","0","1",3,"2","1",2,1,0,0,0,"8"
"3678","2","4","0","0",4,"1","0",0,0,0,0,-1,"2"
"3685","8","6","0","0",4,"1","1",1,0,0,0,-1,"2"
"3696","2","9","0","0",5,"1","1",1,0,0,0,-1,"8"
"3706","8","2","0","1",5,"1","1",2,1,0,0,-1,"2"
"3709","8","3","0","1",6,"0","0",0,0,0,0,-1,"-1"
"3714","2","6","0","0",7,"0","0",0,0,0,0,-1,"-1"
"3715","8","6","0","0",7,"1","0",0,0,0,0,-1,"2"
"3717","2","6","0","0",7,"3","0",0,0,0,0,-1,"8"
"3718","8","6","0","0",7,"3","1",0,0,0,0,-1,"2"
"3732","2","1","0","0",7,"0","0",1,0,1,1,-1,"-1"
"3735","2","1","0","0",7,"1","2",1,0,1,1,-1,"2"
"3738","2","1","0","0",7,"3","2",1,0,1,1,-1,"2"
"3741","2","1","0","0",1,"1","1",0,0,0,0,0,"2"
"3743","11","1","0","0",1,"2","2",0,0,0,0,0,"2"
"3756","2","4","0","1",1,"0","0",2,1,0,0,0,"-1"
"3771","2","8","0","1",3,"0","1",0,0,0,0,3,"2"
"3774","2","9","0","1",3,"0","0",1,0,0,0,3,"-1"
"3789","2","5","0","1",4,"0","0",2,0,0,0,2,"-1"
"3790","8","5","0","1",4,"0","1",2,0,0,0,2,"2"
"3792","2","5","0","1",4,"1","2",2,0,0,0,2,"8"
"3793","8","5","0","1",4,"1","2",2,0,0,0,2,"2"
"3796","8","6","0","0",5,"0","2",0,0,0,0,2,"8"
"3798","2","7","0","1",5,"0","0",1,0,0,0,2,"-1"
"3807","2","9","0","1",5,"0","1",2,1,0,0,2,"2"
"3810","2","1","0","0",6,"0","0",0,0,0,0,2,"-1"
"3816","2","2","0","1",6,"1","0",1,0,0,0,2,"2"
"3822","2","3","0","0",6,"1","0",2,0,0,0,2,"2"
"3823","8","3","0","0",6,"1","1",2,0,0,0,2,"2"
"3825","2","4","0","1",7,"0","0",0,0,0,0,2,"-1"
"3828","2","5","0","1",7,"0","1",0,1,0,0,2,"2"
"3831","2","7","0","1",7,"1","0",2,1,0,0,2,"2"
"3832","8","7","0","1",7,"2","0",2,1,0,0,2,"2"
