"pitch_type","batter_num","pitch_rl","bat_rl","inning","balls","strikes","out","on_1b","on_2b","on_3b","score_diff","era","rbi","avg","hr","pitcher_at_home","pitcher_wins","pitcher_losses","batter_wins","batter_losses","prev_pitch_type0","prev_pitch_typeChangeUp","prev_pitch_typeCurveBall","prev_pitch_typeFastball","prev_pitch_typeSlider.Cutter","prevprev_pitch_type0","prevprev_pitch_typeChangeUp","prevprev_pitch_typeCurveBall","prevprev_pitch_typeFastball","prevprev_pitch_typeSlider.Cutter"
"Fastball",24,"0","1",7,"1","0",0,0,0,0,-2,2.57,1,0.316,0,1,0,1,0,0,0,0,0,1,0,1,0,0,0,0
"Slider/Cutter",15,"0","1",4,"2","2",2,0,0,0,0,2.92,21,0.293,2,1,9,7,0,0,0,0,0,1,0,0,0,0,1,0
"Fastball",3,"0","1",1,"0","0",0,1,0,0,-1,2.73,70,0.284,28,1,9,7,0,0,1,0,0,0,0,1,0,0,0,0
"Fastball",18,"0","0",3,"1","0",2,0,0,0,-5,2.67,3,0.3,0,1,4,5,0,0,0,0,0,1,0,1,0,0,0,0
"Fastball",1,"0","1",1,"1","1",0,0,0,0,0,2.67,4,0.188,1,-1,2,3,0,0,0,0,0,1,0,0,0,0,0,1
"Fastball",1,"0","0",1,"0","0",0,0,0,0,0,3.14,29,0.287,7,-1,8,7,0,0,1,0,0,0,0,1,0,0,0,0
"Fastball",3,"0","0",1,"0","0",1,0,0,0,0,3.36,28,0.303,9,-1,4,6,0,0,1,0,0,0,0,1,0,0,0,0
"Fastball",14,"0","1",4,"0","0",2,0,0,0,2,3.33,4,0.31,0,1,7,7,0,0,1,0,0,0,0,1,0,0,0,0
"Slider/Cutter",9,"0","1",2,"1","0",2,1,1,0,1,2.52,5,0.25,0,-1,14,10,0,0,0,0,1,0,0,1,0,0,0,0
"Fastball",21,"0","1",6,"0","0",0,0,0,0,-2,2.45,30,0.258,6,-1,15,10,0,0,1,0,0,0,0,1,0,0,0,0
"Slider/Cutter",8,"0","1",2,"0","0",0,1,0,0,-1,2.67,0,0.143,0,1,4,5,0,0,1,0,0,0,0,1,0,0,0,0
"Fastball",11,"0","0",3,"0","1",0,0,0,0,0,6.23,8,0.333,3,-1,0,1,0,0,0,0,0,1,0,1,0,0,0,0
"Fastball",17,"0","1",4,"2","0",2,0,0,0,0,6.23,0,0.25,0,-1,0,1,0,0,0,0,1,0,0,0,0,0,1,0
"Slider/Cutter",16,"0","1",4,"1","1",1,0,0,0,0,6.23,0,0.667,0,-1,0,1,0,0,0,0,0,1,0,0,0,1,0,0
"Fastball",15,"0","1",4,"0","1",1,0,0,0,-2,2.57,1,0.316,0,1,0,1,0,0,0,0,0,1,0,1,0,0,0,0
"Slider/Cutter",10,"0","0",4,"0","0",0,0,0,0,1,3.52,16,0.284,2,1,6,7,0,0,1,0,0,0,0,1,0,0,0,0
"Slider/Cutter",30,"0","0",8,"1","0",1,0,0,0,1,2.55,71,0.321,12,-1,13,9,0,0,0,0,1,0,0,1,0,0,0,0
"Slider/Cutter",18,"0","1",5,"0","0",0,0,0,0,0,6.23,0,0,0,-1,0,1,0,0,1,0,0,0,0,1,0,0,0,0
"Fastball",15,"0","1",4,"1","2",2,0,0,0,0,2.92,21,0.293,2,1,9,7,0,0,0,0,0,1,0,0,0,0,1,0
"Fastball",21,"0","0",5,"2","2",0,0,0,0,0,3.36,28,0.303,9,-1,4,6,0,0,0,0,0,0,1,0,0,0,1,0
"Fastball",1,"0","1",1,"0","1",0,0,0,0,0,2.55,42,0.271,4,-1,13,9,0,0,0,0,0,1,0,1,0,0,0,0
"Slider/Cutter",17,"0","1",5,"1","0",0,1,0,0,-2,2.53,34,0.255,5,-1,13,8,0,0,0,0,0,1,0,1,0,0,0,0
"Fastball",12,"0","1",3,"1","0",1,0,0,0,0,7.84,9,0.34,1,-1,0,1,0,0,0,0,0,1,0,1,0,0,0,0
"Slider/Cutter",4,"0","1",1,"0","1",0,0,1,0,1,6.23,2,0.174,0,-1,0,1,0,0,0,0,1,0,0,1,0,0,0,0
"Slider/Cutter",30,"0","0",8,"0","2",1,0,0,0,3,3.52,43,0.31,10,1,6,7,0,0,0,1,0,0,0,0,0,0,1,0
"Fastball",2,"0","1",1,"0","0",0,0,0,0,0,3.45,13,0.234,5,1,5,6,0,0,1,0,0,0,0,1,0,0,0,0
"Fastball",7,"0","0",2,"2","1",0,0,0,0,1,0,0,0,0,-1,0,0,0,0,0,0,1,0,0,0,0,0,1,0
"Fastball",2,"0","1",1,"0","0",1,0,0,0,0,3.52,23,0.255,6,1,6,7,0,0,1,0,0,0,0,1,0,0,0,0
"Fastball",19,"0","1",5,"2","0",1,1,0,0,-1,2.5,24,0.248,8,-1,10,7,0,0,0,0,0,1,0,0,0,1,0,0
"Slider/Cutter",21,"0","1",6,"1","1",1,1,0,0,4,2.54,99,0.317,33,-1,13,10,0,0,0,0,0,0,1,0,0,0,1,0
"Slider/Cutter",12,"0","0",3,"2","2",0,0,1,0,0,3.36,28,0.303,9,-1,4,6,0,0,0,0,1,0,0,0,0,0,1,0
"Slider/Cutter",10,"0","1",3,"2","2",0,0,0,0,1,2.65,37,0.301,3,1,9,7,0,0,0,0,0,0,1,0,0,1,0,0
"Fastball",12,"0","0",4,"2","2",0,0,0,0,2,3.33,15,0.258,2,1,7,7,0,0,0,0,0,0,1,0,1,0,0,0
"Slider/Cutter",4,"0","1",2,"1","2",0,0,0,0,1,2.51,73,0.281,22,-1,13,7,0,0,0,0,0,0,1,0,0,0,1,0
"Fastball",9,"0","1",3,"3","1",0,0,0,0,0,2.53,40,0.22,8,-1,13,8,0,0,0,0,0,1,0,0,0,0,0,1
"Fastball",8,"0","0",2,"0","0",0,0,0,0,-2,2.17,0,0.355,0,1,2,2,0,0,1,0,0,0,0,1,0,0,0,0
"Fastball",10,"0","1",2,"0","0",0,0,1,1,-3,2.67,11,0.23,3,1,4,5,0,0,1,0,0,0,0,1,0,0,0,0
