"pitch_type","batter_num","pitch_rl","bat_rl","inning","balls","strikes","out","on_1b","on_2b","on_3b","score_diff","era","rbi","avg","hr","pitcher_at_home","pitcher_wins","pitcher_losses","batter_wins","batter_losses","prev_pitch_type0","prev_pitch_typeCH","prev_pitch_typeCU","prev_pitch_typeFC","prev_pitch_typeFF","prev_pitch_typeFT","prev_pitch_typeKC","prevprev_pitch_type0","prevprev_pitch_typeCH","prevprev_pitch_typeCU","prevprev_pitch_typeFC","prevprev_pitch_typeFF","prevprev_pitch_typeFT","prevprev_pitch_typeKC"
"FF",23,"0","1",6,"2","1",0,0,1,0,-3,4.04,2,0.259,0,-1,3,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0
"CH",7,"0","1",2,"1","2",0,0,0,0,-1,2.91,1,0.333,0,1,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0
"FT",1,"0","0",1,"0","1",0,0,0,0,0,2.91,4,0.353,0,1,2,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0
"FT",3,"0","1",1,"0","1",0,1,1,0,1,2.54,44,0.256,10,-1,8,2,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0
"FT",15,"0","0",5,"0","1",1,0,0,0,-1,3.21,74,0.277,18,-1,11,8,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0
"FT",7,"0","1",2,"3","2",1,0,0,0,-1,4.75,4,0.213,0,-1,3,2,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0
"CH",30,"0","1",7,"2","1",2,0,0,0,4,7.06,6,0.313,1,-1,2,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0
"FF",15,"0","1",4,"0","0",2,1,0,0,-2,5.53,12,0.3,5,-1,6,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0
"FT",26,"0","0",7,"1","2",1,1,0,0,-2,3.33,57,0.289,13,-1,13,11,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0
"FT",5,"0","1",2,"1","0",0,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0
"FF",27,"0","1",8,"1","1",2,1,0,0,-3,2.7,8,0.274,3,-1,5,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0
"FT",5,"0","1",2,"3","2",0,0,0,0,1,4.44,17,0.26,3,1,3,2,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0
"CH",5,"0","1",2,"1","0",1,0,0,0,1,4.26,40,0.264,13,-1,9,7,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0
"FT",22,"0","1",6,"1","0",2,1,0,0,2,4.05,4,0.32,1,-1,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0
"FT",27,"0","1",7,"2","0",1,1,0,0,6,2.46,7,0.225,1,-1,15,5,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0
"FF",4,"0","1",2,"1","0",0,0,0,0,1,2.97,28,0.228,8,-1,4,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0
"CH",21,"0","1",5,"1","1",1,1,0,0,2,4.42,17,0.275,2,-1,4,4,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0
"FC",21,"0","1",5,"1","1",0,1,0,0,-2,6.14,12,0.294,3,-1,4,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0
"FT",17,"0","1",5,"1","2",0,0,0,0,4,2.91,5,0.159,0,-1,4,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
"FT",10,"0","0",3,"0","2",1,1,0,0,2,0,0,0.294,0,-1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0
"CH",15,"0","1",3,"0","0",2,1,0,0,-4,0,0,0,0,-1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0
"FT",16,"0","0",4,"1","0",0,0,0,0,-4,6.75,5,0.202,1,-1,4,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0
"CH",25,"0","1",7,"0","2",0,0,0,0,-1,3.36,37,0.277,6,-1,14,12,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0
"CH",6,"0","1",2,"0","0",0,0,0,0,-2,6.75,5,0.204,0,-1,4,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0
"FC",26,"0","1",8,"0","1",2,0,0,0,-4,0,0,0,0,-1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0
"CH",8,"0","1",2,"2","2",2,1,0,1,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0
"FT",7,"0","1",2,"2","2",2,0,0,0,1,5.73,1,0.067,0,-1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0
"CH",6,"0","1",2,"1","0",2,0,0,0,-1,2.47,32,0.292,11,-1,13,5,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0
"CH",18,"0","1",5,"0","0",0,0,0,0,0,2.53,31,0.242,4,-1,9,4,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0
"FF",12,"0","1",3,"0","0",1,1,0,0,1,5.11,42,0.245,10,-1,7,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0
"FF",9,"0","1",3,"0","0",1,0,0,0,0,3.36,18,0.213,1,-1,14,12,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0
"FT",5,"0","1",1,"0","0",2,1,1,0,1,4.42,23,0.248,5,-1,4,4,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0
"FT",19,"0","0",4,"2","1",2,0,0,1,3,3.81,36,0.258,7,-1,16,8,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0
"FF",19,"0","0",6,"0","2",0,1,0,0,0,2.7,27,0.333,5,-1,5,2,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
"FC",26,"0","1",7,"3","2",0,0,0,0,-3,4.03,4,0.245,1,1,4,5,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0
"CH",6,"0","1",2,"0","1",2,0,0,0,1,4.05,4,0.273,2,-1,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0
"FC",20,"0","1",5,"1","1",2,1,0,1,1,6,19,0.266,5,-1,5,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
"FT",24,"0","0",8,"1","0",0,0,0,0,-3,3.21,74,0.277,18,-1,11,8,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0
"FT",3,"0","0",1,"0","0",0,1,0,0,1,3.26,50,0.272,4,-1,14,11,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0
"FF",30,"0","0",9,"0","0",1,0,0,0,2,3.48,9,0.34,3,-1,2,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0
"FT",16,"0","1",4,"0","0",1,1,0,0,4,3.28,5,0.355,0,-1,1,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0
"FT",6,"0","1",1,"1","1",2,1,0,1,-1,2.91,7,0.348,0,1,2,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0
"FT",5,"0","1",2,"0","1",1,0,0,0,0,3.06,32,0.239,6,1,10,7,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0
"FT",28,"0","1",8,"0","0",1,0,0,0,-4,4.64,21,0.284,8,-1,8,6,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0
"FF",1,"0","0",1,"1","1",0,0,0,0,0,2.91,10,0.238,3,-1,4,2,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0
"FF",14,"0","1",4,"2","2",0,0,0,0,7,2.43,53,0.279,15,-1,14,5,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0
"CH",6,"0","1",2,"1","2",0,0,0,0,-2,6.75,5,0.204,0,-1,4,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0
"FT",4,"0","1",2,"0","0",0,0,0,0,1,4.05,4,0.32,1,-1,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0
"CH",12,"0","0",4,"1","2",0,0,0,0,1,4.52,53,0.298,19,-1,7,4,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0
"FF",20,"0","1",6,"0","2",0,0,0,0,4,2.45,36,0.264,13,-1,10,4,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
"CH",10,"0","1",3,"0","0",1,0,0,0,-1,2.44,26,0.3,3,-1,6,2,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0
"FT",12,"0","1",4,"0","0",1,0,0,0,3,3.81,47,0.316,11,1,5,7,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0
"FT",2,"0","1",1,"1","0",0,1,0,0,0,4.5,2,0.333,1,-1,2,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0
"FC",16,"0","1",4,"0","0",0,0,0,0,0,3.91,46,0.274,9,-1,16,8,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0
"CH",2,"0","1",1,"0","0",0,1,0,0,0,4.28,9,0.275,3,1,4,4,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0
"FT",2,"0","1",1,"2","0",0,1,0,0,0,2.91,1,0.275,0,1,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0
"CH",2,"0","0",1,"1","0",1,0,0,0,1,3.91,82,0.22,38,-1,16,8,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0
"FT",19,"0","0",5,"2","2",2,1,0,0,-5,5.53,16,0.302,2,-1,6,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0
"CH",31,"0","1",8,"0","0",0,0,0,0,0,2.97,28,0.228,8,-1,4,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0
"FT",5,"0","1",1,"0","1",2,0,0,1,1,3.12,25,0.224,5,1,12,8,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0
"FT",9,"0","1",3,"0","0",0,0,0,0,1,3.92,0,0.071,0,-1,14,8,0,2,1,0,0,0,0,0,0,1,0,0,0,0,0,0
"FT",35,"0","1",9,"1","2",0,1,0,0,1,3.25,2,0.2,0,-1,13,10,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0
"CH",5,"0","1",2,"1","0",0,0,0,0,3,2.46,23,0.213,5,-1,15,5,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0
"FF",29,"0","0",9,"1","0",0,0,0,0,0,2.32,42,0.271,14,-1,9,3,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0
"FC",14,"0","1",3,"1","1",1,0,0,0,-3,2.45,3,0.4,1,1,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0
"CH",20,"0","1",5,"2","2",0,0,0,0,0,3,4,0.429,3,-1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
"FC",20,"0","1",4,"2","1",1,1,1,0,0,2.93,13,0.323,3,-1,3,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
"CH",1,"0","0",1,"1","2",0,0,0,0,0,6.14,6,0.25,2,-1,4,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0
"FF",8,"0","1",2,"0","0",2,0,0,0,0,4.29,29,0.272,5,-1,10,8,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0
"FT",23,"0","1",6,"0","0",2,1,1,0,10,3.97,30,0.283,4,-1,13,8,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0
"CH",9,"0","1",2,"2","0",1,0,0,0,-4,4.5,1,0.125,0,-1,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0
"FF",13,"0","1",4,"0","2",1,1,1,0,0,3.4,24,0.196,8,-1,3,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0
"FT",18,"0","0",5,"1","0",1,0,1,0,-1,4.53,11,0.16,3,-1,3,3,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0
"FT",29,"0","0",6,"0","0",1,1,0,0,-2,4.34,29,0.272,4,-1,9,6,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0
"CH",28,"0","1",8,"1","1",0,0,0,0,7,2.41,5,0.235,1,-1,11,4,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0
"FC",24,"0","1",6,"0","0",0,0,0,0,1,3.32,19,0.231,6,-1,3,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0
"FC",29,"0","0",9,"0","0",0,0,0,0,0,2.32,42,0.271,14,-1,9,3,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0
"FC",17,"0","1",4,"2","2",2,0,0,0,-3,4.03,4,0.245,1,1,4,5,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0
"FC",2,"0","1",1,"0","0",1,0,0,0,0,3.92,10,0.212,3,-1,14,8,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0
"FF",20,"0","1",6,"2","0",1,0,0,0,3,3.23,45,0.242,18,-1,9,7,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0
"FF",11,"0","1",3,"1","1",0,0,1,0,1,3,34,0.266,3,-1,12,9,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0
"CH",32,"0","1",8,"0","0",2,1,0,0,3,3.06,32,0.239,6,1,10,7,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0
"CH",9,"0","1",3,"2","1",1,0,0,0,0,3.63,30,0.264,6,-1,6,7,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
"FC",20,"0","0",6,"0","0",1,0,0,0,-4,4.64,32,0.245,14,-1,8,6,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0
"FC",10,"0","0",3,"1","2",0,0,1,0,1,2.5,30,0.346,5,-1,6,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0
"CH",11,"0","1",4,"0","1",0,0,0,0,3,3.23,45,0.242,18,-1,9,7,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0
"FT",14,"0","0",4,"2","0",2,0,0,0,0,4.88,32,0.262,6,-1,7,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0
"CH",5,"0","1",1,"0","2",1,1,0,0,-2,2.4,43,0.214,15,-1,12,4,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0
"CH",8,"0","1",3,"2","2",0,0,0,0,-3,3,1,0.375,1,-1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0
"CH",18,"0","0",4,"1","2",0,1,0,0,1,3.26,14,0.242,1,-1,14,11,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0
"CH",5,"0","0",2,"1","0",0,0,0,0,1,0,4,0.2,2,-1,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0
"FF",17,"0","1",4,"0","0",1,1,1,0,0,2.4,9,0.286,3,-1,12,4,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0
"FT",9,"0","1",3,"0","2",1,0,0,0,1,4.26,5,0.182,2,-1,9,7,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0
"FT",27,"0","1",7,"1","2",1,0,0,0,1,3.63,30,0.264,6,-1,6,7,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0
"FT",3,"0","0",1,"0","0",2,0,0,0,0,3.06,72,0.251,24,1,10,7,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0
"FF",22,"0","1",5,"1","0",0,0,0,0,0,2.93,23,0.313,4,-1,3,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0
"CH",14,"0","1",4,"1","2",2,0,0,0,2,4.63,49,0.286,20,-1,7,3,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0
"FC",2,"0","1",1,"2","2",1,0,0,0,1,4.42,12,0.296,3,-1,4,4,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0
"FT",17,"0","0",5,"0","1",2,0,0,0,3,4.26,32,0.246,13,-1,9,7,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0
"FT",17,"0","1",5,"1","2",1,0,0,0,-4,4.64,12,0.318,1,-1,8,6,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
"FT",18,"0","0",5,"0","0",1,0,0,0,5,3.11,11,0.2,1,-1,11,8,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0
"FT",6,"0","0",2,"2","1",1,0,0,0,-1,4.53,22,0.246,6,-1,3,3,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0
