"pitch_type","batter_num","pitch_rl","bat_rl","inning","balls","strikes","out","on_1b","on_2b","on_3b","score_diff","era","rbi","avg","hr","pitcher_at_home","pitcher_wins","pitcher_losses","batter_wins","batter_losses","prev_pitch_type0","prev_pitch_typeChangeUp","prev_pitch_typeCurveBall","prev_pitch_typeFastball","prev_pitch_typeOthers","prev_pitch_typeSlider.Cutter","prevprev_pitch_type0","prevprev_pitch_typeChangeUp","prevprev_pitch_typeCurveBall","prevprev_pitch_typeFastball","prevprev_pitch_typeOthers","prevprev_pitch_typeSlider.Cutter"
"Fastball",5,"1","0",2,"1","1",1,0,0,0,1,4.98,28,0.196,10,-1,6,7,0,0,0,1,0,0,0,0,0,0,0,1,0,0
"Fastball",14,"1","1",4,"0","0",0,0,0,0,-1,4.84,44,0.291,4,-1,9,8,0,0,1,0,0,0,0,0,1,0,0,0,0,0
"Fastball",21,"1","0",5,"0","0",1,1,0,1,0,4.82,11,0.208,4,-1,6,7,0,0,1,0,0,0,0,0,1,0,0,0,0,0
"Fastball",21,"1","0",5,"0","0",2,1,1,0,-1,4.98,46,0.326,11,-1,6,7,0,0,1,0,0,0,0,0,1,0,0,0,0,0
"CurveBall",21,"1","0",5,"2","2",1,0,0,0,5,3.49,91,0.304,22,-1,4,8,0,0,0,0,0,1,0,0,0,0,0,1,0,0
"Fastball",9,"1","1",3,"1","0",2,1,0,0,1,3.86,0,0,0,1,1,6,0,0,0,0,0,1,0,0,1,0,0,0,0,0
"Fastball",6,"1","1",2,"1","0",1,0,0,0,-1,5.34,22,0.227,5,1,0,2,0,0,0,0,0,1,0,0,1,0,0,0,0,0
"Fastball",3,"1","1",1,"0","1",2,0,0,0,0,6.62,46,0.306,3,-1,0,3,0,0,0,0,0,1,0,0,1,0,0,0,0,0
"Fastball",8,"1","1",3,"0","0",0,0,0,0,1,4.71,9,0.208,1,1,2,4,0,0,1,0,0,0,0,0,1,0,0,0,0,0
"Fastball",24,"1","0",6,"1","1",2,0,0,0,-4,4.68,50,0.296,12,-1,12,11,0,0,0,0,0,1,0,0,0,0,0,0,0,1
"Slider/Cutter",30,"1","1",7,"1","2",1,1,0,1,-3,3.6,34,0.278,12,-1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
"Fastball",23,"1","0",5,"2","2",2,1,0,1,2,2.57,4,0.167,1,-1,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0
"Fastball",17,"1","0",6,"2","1",1,0,0,0,5,3.86,2,0.143,1,1,1,6,0,0,0,1,0,0,0,0,0,0,0,1,0,0
"Fastball",11,"1","1",3,"0","0",2,0,0,0,0,4.68,72,0.276,15,1,14,12,0,0,1,0,0,0,0,0,1,0,0,0,0,0
"Fastball",28,"1","0",7,"1","1",1,1,0,0,1,4.88,18,0.331,3,-1,8,8,0,0,0,0,0,1,0,0,0,0,0,1,0,0
"Fastball",20,"1","0",6,"1","2",0,0,0,0,-2,4.11,54,0.244,15,1,1,5,0,0,0,1,0,0,0,0,0,0,0,0,0,1
"Slider/Cutter",9,"1","1",3,"1","0",1,0,1,0,0,4.79,27,0.279,3,1,9,9,0,0,0,0,0,1,0,0,1,0,0,0,0,0
"Fastball",6,"1","0",2,"0","1",0,0,0,0,0,5.4,9,0.227,1,-1,2,3,0,0,0,0,0,1,0,0,1,0,0,0,0,0
"Fastball",26,"1","1",6,"0","0",1,1,1,0,-5,4.86,16,0.241,2,1,1,3,0,0,1,0,0,0,0,0,1,0,0,0,0,0
"Fastball",3,"1","0",1,"0","0",2,0,0,0,0,0,33,0.308,4,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
"Fastball",12,"1","1",4,"0","0",1,0,0,0,0,3,1,0.235,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
"Fastball",1,"1","0",1,"0","1",0,0,0,0,0,5.46,12,0.244,4,-1,2,2,0,0,0,0,0,1,0,0,1,0,0,0,0,0
"CurveBall",10,"1","1",3,"0","1",0,0,0,0,-2,8.71,5,0.295,3,-1,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0
"Fastball",2,"1","1",1,"3","1",1,0,0,0,0,2.67,1,0.191,1,-1,4,2,0,0,0,0,0,1,0,0,0,0,0,1,0,0
"CurveBall",29,"1","1",7,"0","0",1,0,0,0,-3,4.84,76,0.305,24,-1,9,8,0,0,1,0,0,0,0,0,1,0,0,0,0,0
"Fastball",7,"1","0",2,"0","0",1,0,0,0,0,4.68,9,0.216,2,1,14,12,0,0,1,0,0,0,0,0,1,0,0,0,0,0
"Slider/Cutter",20,"1","1",5,"3","2",1,0,0,0,1,4.88,46,0.247,7,-1,8,8,0,0,0,0,0,0,0,1,0,0,0,0,0,1
"Fastball",20,"1","0",6,"1","2",0,0,0,0,2,6.49,11,0.323,4,1,2,3,0,0,0,0,0,1,0,0,0,1,0,0,0,0
"Fastball",15,"1","0",4,"0","1",0,1,0,0,-3,4.68,50,0.296,12,-1,12,11,0,0,0,0,0,1,0,0,1,0,0,0,0,0
"Fastball",13,"1","1",4,"0","0",0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
"Slider/Cutter",26,"1","1",7,"2","0",0,0,1,1,3,3.45,36,0.217,1,-1,2,6,0,0,0,0,0,1,0,0,0,0,0,1,0,0
"Fastball",16,"1","0",5,"0","0",0,0,0,0,5,2.08,8,0.161,3,1,2,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0
"Fastball",11,"1","0",3,"2","2",1,1,1,0,0,2.57,7,0.175,2,1,1,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0
"Fastball",3,"1","1",1,"0","1",2,0,0,0,0,4.88,65,0.311,18,-1,8,8,0,0,0,0,0,1,0,0,1,0,0,0,0,0
"Fastball",28,"1","1",8,"0","0",1,0,0,0,0,3.58,44,0.254,3,1,3,8,0,0,1,0,0,0,0,0,1,0,0,0,0,0
"Slider/Cutter",22,"1","1",5,"2","2",0,0,0,0,-2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0
"Fastball",23,"1","0",6,"3","2",0,0,0,0,-1,4.82,31,0.221,6,-1,6,7,0,0,0,0,0,1,0,0,0,0,0,1,0,0
"Slider/Cutter",2,"1","1",1,"2","2",0,0,0,0,1,2.57,3,0.28,0,-1,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0
"Slider/Cutter",22,"1","0",6,"0","0",0,0,0,0,-1,3.43,68,0.233,15,-1,3,7,0,0,1,0,0,0,0,0,1,0,0,0,0,0
"Slider/Cutter",12,"1","1",4,"1","0",2,0,0,0,1,3.86,74,0.253,34,1,1,6,0,0,0,0,1,0,0,0,1,0,0,0,0,0
"Fastball",5,"1","1",2,"0","0",1,0,0,0,0,6.49,12,0.239,3,1,2,3,0,0,1,0,0,0,0,0,1,0,0,0,0,0
"Fastball",11,"1","0",3,"0","1",0,1,0,0,-1,4.11,54,0.244,15,1,1,5,0,0,0,0,0,0,0,1,1,0,0,0,0,0
"Slider/Cutter",24,"1","1",5,"3","2",0,0,1,0,-4,4.5,4,0.389,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0
"Fastball",7,"1","0",3,"3","2",0,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0
"Fastball",6,"1","1",2,"0","0",0,0,0,0,0,4.82,6,0.212,2,-1,6,7,0,0,1,0,0,0,0,0,1,0,0,0,0,0
"Slider/Cutter",23,"1","0",6,"0","1",1,0,0,0,0,4.98,28,0.196,10,-1,6,7,0,0,0,0,0,1,0,0,1,0,0,0,0,0
"Fastball",12,"1","1",4,"0","1",0,0,0,0,0,4.57,37,0.281,14,-1,1,5,0,0,0,0,0,0,0,1,1,0,0,0,0,0
"Fastball",19,"1","0",5,"0","0",2,0,1,0,-1,3.39,56,0.286,14,-1,5,8,0,0,1,0,0,0,0,0,1,0,0,0,0,0
"CurveBall",25,"1","1",6,"0","1",1,0,1,0,-3,4.84,28,0.264,9,-1,9,8,0,0,0,0,0,1,0,0,1,0,0,0,0,0
"CurveBall",28,"1","0",7,"2","2",0,0,0,0,2,2.57,0,0.35,0,-1,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0
"Fastball",13,"1","0",5,"0","0",0,0,0,0,0,5.57,17,0.254,3,-1,0,3,0,0,1,0,0,0,0,0,1,0,0,0,0,0
"Slider/Cutter",24,"1","1",7,"0","1",0,1,1,0,3,4.79,29,0.3,11,1,9,9,0,0,0,0,0,0,0,1,1,0,0,0,0,0
"Slider/Cutter",11,"1","1",3,"0","0",0,0,1,0,-2,2.18,0,0.118,0,-1,3,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0
"Slider/Cutter",20,"1","0",6,"0","1",0,0,0,0,-2,4.11,54,0.244,15,1,1,5,0,0,0,1,0,0,0,0,1,0,0,0,0,0
"Fastball",16,"1","0",5,"0","0",0,0,0,0,7,2.48,12,0.156,4,-1,3,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0
"CurveBall",22,"1","0",6,"0","1",1,0,1,0,1,3,3,0.278,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0
"Fastball",15,"1","0",4,"0","0",1,0,0,0,-1,4.84,6,0.313,0,-1,9,8,0,0,1,0,0,0,0,0,1,0,0,0,0,0
"Fastball",12,"1","0",4,"0","0",0,0,0,0,5,0,0,0,0,-1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
"Fastball",8,"1","1",3,"0","2",1,0,0,0,1,3.43,11,0.255,2,-1,3,7,0,0,0,0,0,0,0,1,0,0,0,0,0,1
"CurveBall",30,"1","1",7,"2","1",0,0,0,0,-2,6.17,44,0.294,9,1,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0
"Slider/Cutter",27,"1","1",8,"1","0",0,0,0,0,0,6.62,9,0.22,1,-1,0,3,0,0,0,0,0,1,0,0,1,0,0,0,0,0
"Fastball",10,"1","0",3,"2","0",0,1,1,0,4,5.79,5,0.204,2,1,1,2,0,0,0,0,0,1,0,0,0,0,0,1,0,0
"Fastball",10,"1","1",1,"1","1",2,1,1,0,-4,4.57,38,0.313,10,-1,10,10,0,0,0,0,0,1,0,0,0,0,0,0,0,1
"Slider/Cutter",5,"1","0",2,"1","2",0,0,0,0,0,4.82,31,0.221,6,-1,6,7,0,0,0,0,0,1,0,0,0,0,0,1,0,0
"Fastball",14,"1","1",5,"1","0",0,0,0,0,5,0,0,0,0,-1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0
"Fastball",19,"1","1",4,"0","0",0,1,1,0,-3,4.5,2,0.238,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
"Fastball",9,"1","1",3,"0","1",0,0,0,0,1,3.49,14,0.264,5,-1,4,8,0,0,0,0,0,1,0,0,1,0,0,0,0,0
"Slider/Cutter",26,"1","1",6,"0","1",0,0,0,0,-2,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0
"Slider/Cutter",25,"1","0",7,"0","0",0,0,1,0,6,5.79,3,0.167,0,1,1,2,0,0,1,0,0,0,0,0,1,0,0,0,0,0
"Fastball",2,"1","1",1,"1","0",0,1,0,0,-2,8.71,5,0.205,1,-1,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0
"CurveBall",1,"1","0",1,"0","2",0,0,0,0,0,5.05,26,0.274,2,1,1,4,0,0,0,0,0,1,0,0,0,0,0,1,0,0
"Slider/Cutter",9,"1","0",3,"1","2",0,0,0,0,4,4.81,52,0.215,15,-1,13,12,0,0,0,0,0,1,0,0,0,0,0,1,0,0
"Fastball",12,"1","1",4,"2","0",0,0,0,0,-1,5.09,55,0.245,16,1,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0
"Slider/Cutter",5,"1","1",2,"3","2",0,0,0,0,0,2.18,9,0.354,1,-1,3,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0
"CurveBall",4,"1","0",2,"0","2",0,0,0,0,0,6.49,18,0.198,2,1,2,3,0,0,0,0,1,0,0,0,0,0,0,1,0,0
"Fastball",8,"1","1",3,"0","0",1,1,0,0,0,2.57,6,0.293,2,1,1,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0
"Fastball",20,"1","1",5,"1","1",0,1,0,0,6,4.82,63,0.286,13,-1,11,11,0,0,0,0,0,1,0,0,0,0,0,1,0,0
"CurveBall",13,"1","1",4,"0","0",0,0,0,0,3,4.71,15,0.248,9,1,2,4,0,0,1,0,0,0,0,0,1,0,0,0,0,0
"Fastball",8,"1","1",2,"3","2",0,0,0,0,0,6.17,17,0.24,2,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1
"Fastball",14,"1","1",4,"3","1",1,1,0,0,0,3,3,0.176,2,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
"CurveBall",6,"1","0",2,"1","1",1,0,0,0,0,3,1,0.4,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0
"CurveBall",23,"1","0",7,"0","1",0,0,0,0,6,4.8,47,0.262,6,1,12,12,0,0,0,0,0,1,0,0,1,0,0,0,0,0
"Fastball",14,"1","1",3,"0","0",0,1,0,0,-1,6.17,25,0.265,4,1,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0
"Slider/Cutter",25,"1","0",6,"1","1",0,0,0,0,-3,3.99,22,0.268,3,1,6,4,0,0,0,0,0,0,0,1,0,0,0,1,0,0
"Fastball",19,"1","0",5,"3","1",0,0,0,0,1,4.82,26,0.264,3,1,13,12,0,0,0,0,0,1,0,0,0,1,0,0,0,0
"Fastball",22,"1","1",6,"1","2",1,1,0,0,7,2.48,12,0.231,1,-1,3,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1
"Fastball",27,"1","1",7,"0","0",1,0,0,0,0,4.68,25,0.23,5,1,14,12,0,0,1,0,0,0,0,0,1,0,0,0,0,0
"Fastball",26,"1","1",6,"1","1",2,0,0,0,-1,5.05,0,0.091,0,1,1,4,0,0,0,0,0,1,0,0,0,0,0,1,0,0
"Fastball",28,"1","0",7,"3","2",1,0,0,0,1,4.88,18,0.331,3,-1,8,8,0,0,0,0,1,0,0,0,0,0,0,1,0,0
"Fastball",25,"1","1",7,"0","0",1,0,0,0,2,6.49,14,0.29,0,1,2,3,0,0,1,0,0,0,0,0,1,0,0,0,0,0
"Fastball",20,"1","1",6,"0","0",0,0,0,1,4,0,0,0,0,-1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
"Slider/Cutter",11,"1","1",3,"1","0",2,1,0,0,2,2.48,19,0.286,2,-1,3,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0
"Fastball",29,"1","1",7,"2","1",1,0,0,0,-3,4.84,76,0.305,24,-1,9,8,0,0,0,0,1,0,0,0,0,0,0,0,0,1
"Fastball",5,"1","0",2,"1","2",0,0,0,0,0,4.04,31,0.247,7,-1,5,4,0,0,0,0,0,1,0,0,0,0,1,0,0,0
"CurveBall",26,"1","1",6,"0","1",1,0,0,0,2,2.67,14,0.232,3,-1,4,2,0,0,0,0,0,1,0,0,1,0,0,0,0,0
"CurveBall",21,"1","1",5,"1","2",2,0,0,0,1,4.8,55,0.273,14,1,6,7,0,0,0,0,0,1,0,0,0,0,0,1,0,0
"Fastball",18,"1","0",5,"0","2",0,0,0,0,0,4.19,3,0.283,0,-1,6,5,0,0,0,0,0,1,0,0,0,0,0,0,0,1
"Slider/Cutter",13,"1","1",4,"0","0",1,0,0,0,5,2.48,12,0.231,1,-1,3,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0
"CurveBall",6,"1","0",1,"3","2",1,0,1,1,-1,4.82,48,0.304,6,-1,11,11,0,0,0,0,0,1,0,0,0,0,0,1,0,0
"Fastball",23,"1","1",7,"0","0",0,1,0,0,5,3.46,57,0.259,12,1,3,8,0,0,1,0,0,0,0,0,1,0,0,0,0,0
"Slider/Cutter",12,"1","0",3,"2","2",0,0,0,0,-3,5.46,9,0.294,1,-1,2,2,0,0,0,1,0,0,0,0,0,0,1,0,0,0
"Fastball",8,"1","0",2,"2","2",2,1,1,0,0,2.68,7,0.178,1,1,4,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0
"CurveBall",27,"1","0",8,"0","0",0,0,0,0,-1,5.4,0,0.2,0,-1,2,3,0,0,1,0,0,0,0,0,1,0,0,0,0,0
"Fastball",12,"1","1",3,"3","1",0,1,0,0,-2,8.71,7,0.286,3,-1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1
"Slider/Cutter",12,"1","1",4,"2","1",0,0,0,0,3,0,0,0,0,-1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0
"CurveBall",15,"1","1",4,"0","2",0,1,0,0,0,4.82,62,0.285,18,1,13,12,0,0,0,1,0,0,0,0,0,0,0,1,0,0
"CurveBall",23,"1","1",7,"0","0",0,0,0,0,5,4.71,9,0.279,3,1,2,4,0,0,1,0,0,0,0,0,1,0,0,0,0,0
"Slider/Cutter",30,"1","1",7,"2","2",1,1,0,0,-4,4.86,46,0.314,11,1,1,3,0,0,0,0,0,1,0,0,0,0,0,1,0,0
"Slider/Cutter",18,"1","1",5,"0","2",0,1,1,0,-2,5.09,28,0.29,7,1,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0
"Fastball",21,"1","1",6,"0","0",0,0,0,0,-1,5.4,15,0.236,3,-1,2,3,0,0,1,0,0,0,0,0,1,0,0,0,0,0
"Fastball",8,"1","1",2,"2","1",1,1,0,0,-1,4.8,3,0.25,1,1,6,7,0,0,0,0,0,0,0,1,0,0,0,1,0,0
"CurveBall",10,"1","0",2,"1","1",1,0,0,0,-2,3.55,15,0.309,6,1,5,3,0,0,0,0,1,0,0,0,0,0,0,1,0,0
"CurveBall",29,"1","1",7,"1","0",1,0,0,0,2,2.57,3,0.28,0,-1,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0
"CurveBall",12,"1","1",4,"0","0",1,0,0,0,6,3.46,13,0.325,4,1,3,8,0,0,1,0,0,0,0,0,1,0,0,0,0,0
"Fastball",26,"1","1",6,"2","2",2,0,1,0,-3,4.84,25,0.265,5,-1,9,8,0,0,0,0,0,1,0,0,0,0,0,0,0,1
"Fastball",13,"1","1",4,"1","0",1,0,0,0,5,2.48,12,0.231,1,-1,3,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0
"Fastball",31,"1","1",6,"3","2",0,0,1,0,-7,3.55,18,0.284,5,1,5,3,0,0,0,0,0,1,0,0,0,0,0,0,0,1
"Fastball",20,"1","0",6,"1","1",1,0,0,0,1,4.57,29,0.255,11,-1,1,5,0,0,0,0,0,1,0,0,0,0,1,0,0,0
"Fastball",21,"1","1",6,"1","2",0,0,0,0,7,2.08,18,0.244,5,1,2,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0
"Fastball",2,"1","1",1,"3","1",0,0,0,0,0,4.71,50,0.307,12,1,7,7,0,0,0,0,1,0,0,0,0,0,1,0,0,0
"CurveBall",14,"1","1",3,"3","2",2,1,0,1,-2,8.71,10,0.412,3,-1,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0
"CurveBall",24,"1","0",7,"0","1",0,0,0,0,-1,5.4,9,0.227,1,-1,2,3,0,0,0,0,0,1,0,0,1,0,0,0,0,0
"Fastball",8,"1","1",2,"2","1",0,0,1,0,0,3.15,18,0.276,6,-1,5,2,0,0,0,0,0,1,0,0,0,0,0,1,0,0
"Fastball",22,"1","0",6,"0","0",2,1,0,0,2,6.49,18,0.198,2,1,2,3,0,0,1,0,0,0,0,0,1,0,0,0,0,0
"Fastball",3,"1","1",1,"0","1",1,1,0,0,0,4.84,66,0.275,20,-1,9,8,0,0,0,0,0,0,0,1,1,0,0,0,0,0
"CurveBall",11,"1","0",4,"0","0",0,0,0,0,1,3.43,34,0.306,8,-1,3,7,0,0,1,0,0,0,0,0,1,0,0,0,0,0
"Slider/Cutter",10,"1","0",2,"0","1",2,0,1,0,-1,4.84,30,0.29,11,-1,9,8,0,0,0,1,0,0,0,0,1,0,0,0,0,0
"Fastball",21,"1","1",6,"2","0",0,0,0,0,7,4.71,48,0.273,11,1,7,7,0,0,0,0,0,0,0,1,0,1,0,0,0,0
"Fastball",16,"1","0",4,"1","1",2,1,1,0,0,6.62,26,0.258,6,-1,0,3,0,0,0,0,0,0,0,1,0,0,0,1,0,0
"Fastball",2,"1","1",1,"2","1",1,0,0,0,0,2.67,1,0.191,1,-1,4,2,0,0,0,0,0,1,0,0,0,0,0,1,0,0
"Slider/Cutter",6,"1","1",2,"3","2",2,0,0,0,2,3.46,58,0.248,10,1,3,8,0,0,0,0,1,0,0,0,0,0,0,0,0,1
