"pitch_type","bat_order","pitch_rl","bat_rl","inning","balls","strikes","out","on_1b","on_2b","on_3b","score_diff","era","rbi","avg","hr","pitcher_at_home","pitcher_wins","pitcher_losses","batter_wins","batter_losses","prev_pitch_type0","prev_pitch_typeChangeUp","prev_pitch_typeFastball","prev_pitch_typeKnuckleBall","prev_pitch_typeOthers","prev_pitch_typeSlider.Cutter","prevprev_pitch_type0","prevprev_pitch_typeChangeUp","prevprev_pitch_typeFastball","prevprev_pitch_typeKnuckleBall","prevprev_pitch_typeOthers","prevprev_pitch_typeSlider.Cutter"
"KnuckleBall",6,"0","1",4,"0","1",2,1,1,0,1,0,0,0,0,-1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0
"Fastball",9,"0","1",3,"2","2",1,0,0,0,-4,0,2,0.286,0,-1,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,1
"Slider.Cutter",2,"0","1",3,"2","2",1,0,1,0,-4,0,22,0.264,7,-1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0
"Fastball",9,"0","1",5,"2","0",0,0,0,0,-1,5.74,2,0.184,1,-1,0,2,0,0,0,0,1,0,0,0,0,0,1,0,0,0
"Fastball",6,"0","1",2,"3","2",1,0,0,0,4,5.08,8,0.213,1,1,0,2,0,0,0,0,1,0,0,0,0,0,1,0,0,0
"Fastball",1,"0","0",1,"2","1",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0
"Fastball",1,"0","0",1,"2","0",0,0,0,0,0,2.25,37,0.282,8,-1,2,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0
"Fastball",2,"0","1",1,"2","0",0,0,1,0,0,0,2,0.286,1,-1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0
"Fastball",4,"0","1",4,"2","2",0,1,0,0,0,1.91,69,0.324,17,-1,5,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0
"Fastball",3,"0","1",3,"0","0",1,1,1,0,1,1.87,93,0.255,26,1,5,2,0,0,1,0,0,0,0,0,1,0,0,0,0,0
"Fastball",2,"0","1",3,"3","2",0,1,0,0,0,3.7,54,0.313,6,1,3,3,0,0,0,0,1,0,0,0,0,0,1,0,0,0
"KnuckleBall",2,"0","1",6,"3","2",0,0,0,0,1,3.59,25,0.219,7,-1,2,2,0,0,0,0,1,0,0,0,0,0,1,0,0,0
"KnuckleBall",6,"0","1",6,"0","0",0,0,0,0,0,3,4,0.429,1,-1,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0
"Fastball",4,"0","1",3,"1","1",1,1,0,1,1,1.87,52,0.274,10,1,5,2,0,0,0,1,0,0,0,0,0,1,0,0,0,0
"Fastball",5,"0","1",2,"1","1",0,0,0,0,1,1.87,45,0.249,6,1,5,2,0,0,0,0,1,0,0,0,0,0,1,0,0,0
"Fastball",2,"0","1",1,"1","0",0,1,0,0,0,8.4,6,0.232,1,1,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0
"Fastball",3,"0","1",4,"1","1",0,0,1,0,1,0,1,0.25,0,-1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0
"Fastball",6,"0","1",4,"1","1",2,0,0,0,2,2.2,13,0.339,3,1,3,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0
"Fastball",3,"0","1",3,"0","2",2,1,0,1,2,2.2,52,0.283,4,1,3,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0
"Fastball",1,"0","1",5,"1","0",0,0,0,0,5,5.08,0,0,0,1,0,2,0,0,0,0,1,0,0,0,1,0,0,0,0,0
"Fastball",7,"0","1",2,"2","2",0,0,0,0,0,3.59,16,0.228,1,-1,2,2,0,0,0,0,1,0,0,0,0,0,1,0,0,0
"KnuckleBall",2,"0","1",6,"0","2",0,0,0,0,1,3.59,25,0.219,7,-1,2,2,0,0,0,0,1,0,0,0,0,0,1,0,0,0
"Fastball",7,"0","1",2,"2","0",2,1,0,0,1,2.2,28,0.177,8,1,3,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0
"Fastball",4,"0","1",3,"1","0",1,0,0,0,-1,3.52,13,0.309,2,1,3,2,0,0,0,0,1,0,0,0,1,0,0,0,0,0
"Fastball",4,"0","0",1,"2","1",1,0,1,0,-1,3.7,86,0.303,15,-1,3,4,0,0,0,0,0,0,0,1,0,0,0,1,0,0
"KnuckleBall",8,"0","1",2,"0","1",1,1,0,0,2,5.11,0,0.059,0,1,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0
"KnuckleBall",7,"0","1",4,"0","2",2,0,0,0,4,2.38,48,0.265,9,-1,2,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0
"Fastball",4,"0","1",1,"1","1",1,0,1,0,0,2.38,71,0.323,23,-1,2,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0
"KnuckleBall",1,"0","0",5,"1","2",1,0,0,0,-2,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0
"Fastball",8,"0","1",3,"2","2",0,0,0,0,2,3,0,0,0,-1,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0
"Fastball",8,"0","1",7,"3","1",1,0,0,0,1,2.86,18,0.198,4,-1,1,2,0,0,0,0,1,0,0,0,0,0,1,0,0,0
"KnuckleBall",2,"0","1",3,"0","2",0,0,0,0,0,2.25,28,0.269,11,-1,2,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0
"Fastball",4,"0","1",1,"2","0",1,1,0,0,-1,3.59,23,0.288,7,-1,2,2,0,0,0,1,0,0,0,0,0,0,1,0,0,0
"Fastball",5,"0","1",8,"0","0",0,1,0,0,0,2.86,39,0.298,13,-1,1,2,0,0,1,0,0,0,0,0,1,0,0,0,0,0
"Fastball",4,"0","1",4,"1","1",0,1,0,0,0,1.91,69,0.324,17,-1,5,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0
"Fastball",3,"0","1",1,"0","2",1,1,1,0,0,0,1,0.25,0,-1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0
"Fastball",2,"0","1",3,"2","1",1,1,0,0,2,4.31,3,0.204,1,1,1,2,0,0,0,0,1,0,0,0,0,0,1,0,0,0
"Fastball",2,"0","1",4,"1","1",0,0,0,0,1,0,2,0.286,1,-1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0
"Fastball",8,"0","1",3,"0","0",0,0,0,0,0,1.91,3,0.257,0,-1,5,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0
"Fastball",1,"0","0",1,"0","0",0,0,0,0,0,5.74,14,0.294,3,-1,0,2,0,0,1,0,0,0,0,0,1,0,0,0,0,0
"Fastball",4,"0","1",2,"0","0",0,0,0,0,0,1.91,69,0.324,17,-1,5,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0
"Slider.Cutter",3,"0","1",1,"1","2",1,1,0,0,0,3.7,109,0.285,38,1,3,3,0,0,0,0,1,0,0,0,0,1,0,0,0,0
"Fastball",2,"0","1",6,"1","2",2,1,0,0,0,1.98,107,0.291,34,-1,6,2,0,0,0,0,1,0,0,0,0,0,1,0,0,0
"Fastball",1,"0","1",8,"2","2",0,0,0,0,3,4.31,21,0.228,5,1,1,2,0,0,0,0,1,0,0,0,0,1,0,0,0,0
"Slider.Cutter",6,"0","1",2,"1","1",1,1,1,0,-4,0,10,0.179,5,-1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
"Fastball",4,"0","1",2,"1","2",0,0,0,0,0,1.91,69,0.324,17,-1,5,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0
"Fastball",3,"0","1",1,"0","0",0,1,1,0,2,6.86,11,0.198,3,-1,0,2,0,0,1,0,0,0,0,0,1,0,0,0,0,0
"KnuckleBall",3,"0","0",3,"2","0",0,0,1,0,1,2.2,66,0.284,11,-1,3,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0
"Fastball",6,"0","1",2,"1","0",2,0,0,0,0,0,0,0.333,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0
"Fastball",5,"0","1",1,"0","1",1,1,0,0,-1,3.59,10,0.339,1,-1,2,2,0,0,0,1,0,0,0,0,1,0,0,0,0,0
