"pitch_type","bat_order","pitch_rl","bat_rl","inning","balls","strikes","out","on_1b","on_2b","on_3b","score_diff","era","rbi","avg","hr","pitcher_at_home","pitcher_wins","pitcher_losses","batter_wins","batter_losses","prev_pitch_type0","prev_pitch_typeChangeUp","prev_pitch_typeFastball","prev_pitch_typeKnuckleBall","prev_pitch_typeOthers","prev_pitch_typeSlider.Cutter","prevprev_pitch_type0","prevprev_pitch_typeChangeUp","prevprev_pitch_typeFastball","prevprev_pitch_typeKnuckleBall","prevprev_pitch_typeOthers","prevprev_pitch_typeSlider.Cutter"
"Fastball",6,"0","0",4,"3","1",0,0,1,0,-1,3.7,11,0.285,3,1,3,3,0,0,0,0,1,0,0,0,0,0,1,0,0,0
"Fastball",7,"0","1",6,"3","0",2,0,0,0,5,5.08,12,0.189,3,1,0,2,0,0,0,0,1,0,0,0,0,0,1,0,0,0
"Fastball",3,"0","1",2,"2","1",0,1,0,1,-4,0,33,0.229,13,-1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0
"Fastball",8,"0","0",4,"0","1",0,0,1,0,3,2.25,0,0,0,-1,0,2,0,0,0,0,1,0,0,0,1,0,0,0,0,0
"Fastball",7,"0","1",4,"3","1",0,0,0,0,-1,3.16,43,0.251,7,1,6,4,0,0,0,0,1,0,0,0,0,0,0,1,0,0
"Fastball",6,"0","1",6,"2","1",1,0,0,0,5,5.08,8,0.213,1,1,0,2,0,0,0,0,0,1,0,0,0,0,1,0,0,0
"Fastball",4,"0","1",4,"0","0",0,0,0,0,2,4.31,22,0.272,10,1,1,2,0,0,1,0,0,0,0,0,1,0,0,0,0,0
"Fastball",9,"0","1",3,"3","1",0,0,0,0,2,4.31,3,0.167,0,1,1,2,0,0,0,0,1,0,0,0,0,0,1,0,0,0
"Slider.Cutter",6,"0","1",6,"0","1",2,1,0,0,1,2.86,31,0.237,8,-1,1,2,0,0,0,1,0,0,0,0,1,0,0,0,0,0
"Fastball",2,"0","1",1,"0","1",1,0,0,0,0,5.08,17,0.304,2,1,0,2,0,0,0,0,1,0,0,0,1,0,0,0,0,0
"Fastball",3,"0","1",2,"2","0",1,1,0,0,-3,2.19,91,0.268,33,-1,6,3,0,0,0,1,0,0,0,0,0,0,1,0,0,0
"KnuckleBall",3,"0","1",6,"2","2",0,0,0,0,5,2.38,86,0.307,17,-1,2,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0
"Fastball",5,"0","1",2,"0","0",1,0,0,0,0,2.76,57,0.289,11,1,2,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
"KnuckleBall",2,"0","1",4,"1","2",0,0,0,0,0,0,1,0.25,1,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0
"Fastball",3,"0","1",3,"0","1",2,1,0,1,2,4.31,15,0.282,5,1,1,2,0,0,0,0,1,0,0,0,1,0,0,0,0,0
"Fastball",7,"0","1",4,"0","0",0,0,0,0,1,8.4,5,0.205,2,1,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0
"Fastball",9,"0","1",7,"0","0",2,0,1,1,3,4.31,3,0.167,0,1,1,2,0,0,1,0,0,0,0,0,1,0,0,0,0,0
"Fastball",3,"0","1",7,"0","0",0,0,0,0,1,2.76,86,0.302,31,1,2,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
"Fastball",1,"0","1",1,"2","2",0,0,0,0,0,3.82,28,0.253,2,-1,3,4,0,0,0,0,1,0,0,0,0,0,1,0,0,0
"Fastball",4,"0","1",4,"2","1",0,0,0,0,1,0,2,0.182,0,1,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0
"KnuckleBall",3,"0","1",5,"1","1",0,1,0,1,3,3.82,59,0.273,15,-1,3,4,0,0,0,0,1,0,0,0,0,0,1,0,0,0
"Fastball",8,"0","1",7,"1","0",1,0,0,0,1,2.86,18,0.198,4,-1,1,2,0,0,0,0,1,0,0,0,1,0,0,0,0,0
"Fastball",1,"0","1",5,"1","2",1,1,1,0,0,3.72,4,0.397,2,1,0,2,0,0,0,0,1,0,0,0,0,0,1,0,0,0
"Fastball",3,"0","1",3,"0","0",1,1,0,0,0,2.25,67,0.29,21,-1,2,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
"Fastball",9,"0","1",5,"1","0",0,0,0,0,-1,5.74,2,0.184,1,-1,0,2,0,0,0,0,1,0,0,0,1,0,0,0,0,0
"KnuckleBall",5,"0","0",3,"0","0",0,1,1,1,0,5.11,3,0.138,1,1,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0
"Fastball",5,"0","1",4,"0","0",0,0,0,0,4,2.38,64,0.273,15,-1,2,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
"Fastball",9,"0","1",3,"1","0",2,0,0,0,2,1.83,39,0.228,4,-1,4,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0
"Fastball",2,"0","1",4,"2","2",0,0,0,0,0,0,1,0.25,1,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0
"Slider.Cutter",3,"0","1",3,"1","1",2,0,0,0,-3,0,1,0.2,0,1,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0
"KnuckleBall",5,"0","1",4,"3","2",0,0,1,1,4,3,0,0,0,-1,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0
"Fastball",7,"0","1",2,"0","1",0,1,0,0,3,2.38,48,0.265,9,-1,2,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0
"Fastball",4,"0","1",5,"0","0",2,1,1,0,-1,5.74,19,0.22,5,-1,0,2,0,0,1,0,0,0,0,0,1,0,0,0,0,0
"Fastball",7,"0","1",6,"1","0",2,0,0,0,5,5.08,12,0.189,3,1,0,2,0,0,0,0,1,0,0,0,1,0,0,0,0,0
"KnuckleBall",1,"0","1",1,"1","1",0,0,0,0,0,1.87,45,0.257,9,1,5,2,0,0,0,0,1,0,0,0,0,0,1,0,0,0
"Fastball",3,"0","1",1,"1","1",2,0,0,0,0,3.16,105,0.273,28,1,6,4,0,0,0,1,0,0,0,0,0,0,1,0,0,0
"Fastball",9,"0","1",3,"0","1",1,1,0,0,0,1.98,21,0.261,5,-1,6,2,0,0,0,0,1,0,0,0,1,0,0,0,0,0
"Fastball",1,"0","0",2,"1","2",2,1,1,1,-1,3.16,58,0.275,17,1,6,4,0,0,0,0,0,1,0,0,0,0,0,1,0,0
"Fastball",8,"0","1",2,"2","2",1,1,1,0,1,6.86,5,0.243,1,-1,0,2,0,0,0,0,1,0,0,0,0,0,1,0,0,0
"KnuckleBall",2,"0","1",3,"1","2",1,0,0,1,3,2.38,63,0.287,11,-1,2,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0
"Fastball",3,"0","1",1,"2","1",1,0,0,0,3,2.25,24,0.338,9,-1,0,2,0,0,0,0,1,0,0,0,0,0,1,0,0,0
"Slider.Cutter",6,"0","0",2,"2","1",0,0,0,0,-1,3.7,73,0.278,20,-1,3,4,0,0,0,0,1,0,0,0,0,0,0,0,0,1
"Fastball",6,"0","1",6,"3","1",1,0,0,0,5,5.08,8,0.213,1,1,0,2,0,0,0,0,1,0,0,0,0,0,0,1,0,0
"Fastball",7,"0","1",3,"0","1",0,0,0,0,0,2.76,39,0.248,8,1,2,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0
"Fastball",4,"0","1",3,"0","0",1,0,0,0,-1,3.52,13,0.309,2,1,3,2,0,0,1,0,0,0,0,0,1,0,0,0,0,0
"Fastball",5,"0","0",1,"1","0",1,0,0,0,-3,0,6,0.5,2,1,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0
"Fastball",2,"0","1",1,"0","0",1,0,0,0,0,3.52,6,0.303,3,1,3,2,0,0,1,0,0,0,0,0,1,0,0,0,0,0
"Fastball",2,"0","0",5,"1","0",1,0,0,0,-2,7.36,29,0.271,7,1,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0
"Fastball",2,"0","1",1,"1","1",1,0,0,0,0,4.31,3,0.204,1,1,1,2,0,0,0,0,1,0,0,0,0,0,1,0,0,0
"Fastball",5,"0","1",5,"1","0",0,0,0,0,0,1.98,52,0.261,9,-1,6,2,0,0,0,0,1,0,0,0,1,0,0,0,0,0
"Fastball",8,"0","1",4,"0","0",0,1,1,0,1,1.87,13,0.207,2,1,5,2,0,0,1,0,0,0,0,0,1,0,0,0,0,0
"Fastball",1,"0","1",3,"0","0",0,0,0,0,3,2.25,14,0.305,4,-1,0,2,0,0,1,0,0,0,0,0,1,0,0,0,0,0
"Fastball",7,"0","1",4,"2","2",0,0,0,0,3,2.25,6,0.16,2,-1,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,1
"Fastball",1,"0","1",5,"2","1",0,0,0,0,3,3.82,28,0.253,2,-1,3,4,0,0,0,0,1,0,0,0,0,1,0,0,0,0
"Fastball",5,"0","1",2,"0","0",1,0,0,0,0,1.98,52,0.261,9,-1,6,2,0,0,1,0,0,0,0,0,1,0,0,0,0,0
"Fastball",2,"0","1",3,"2","2",1,0,1,0,-4,0,22,0.264,7,-1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
"Fastball",7,"0","1",2,"1","0",1,0,1,0,0,3.16,43,0.251,7,1,6,4,0,0,0,0,0,1,0,0,1,0,0,0,0,0
"Fastball",6,"0","1",7,"0","1",0,0,0,0,5,2.2,13,0.339,3,1,3,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0
"Fastball",7,"0","1",4,"2","1",0,0,0,0,3,3.82,55,0.257,6,-1,3,4,0,0,0,0,1,0,0,0,0,1,0,0,0,0
"Fastball",4,"0","1",1,"1","0",0,1,1,0,0,8.4,3,0.264,2,1,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0
"Fastball",8,"0","0",2,"2","0",1,0,0,0,3,3.82,55,0.274,14,-1,3,4,0,0,0,0,1,0,0,0,0,0,0,0,0,1
"Slider.Cutter",7,"0","1",4,"1","2",0,0,0,0,3,2.25,6,0.16,2,-1,0,2,0,0,0,0,0,0,0,1,0,0,1,0,0,0
"Slider.Cutter",2,"0","1",7,"0","2",2,0,1,0,0,2.86,13,0.354,1,-1,1,2,0,0,0,0,0,0,0,1,0,0,1,0,0,0
"Fastball",3,"0","1",1,"0","0",1,1,1,0,0,0,1,0.25,0,-1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
"Fastball",6,"0","1",2,"0","0",1,0,0,0,0,1.91,33,0.181,9,-1,5,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0
"Fastball",9,"0","0",6,"0","0",2,0,1,0,1,1.87,30,0.248,3,1,5,2,0,0,1,0,0,0,0,0,1,0,0,0,0,0
"Fastball",8,"0","1",4,"3","2",0,0,0,0,0,8.4,1,0.167,0,1,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0
"Fastball",4,"0","0",1,"3","1",1,0,0,0,-1,3.7,86,0.303,15,-1,3,4,0,0,0,0,1,0,0,0,0,0,0,0,0,1
"Fastball",3,"0","1",6,"3","2",0,0,0,0,5,2.2,52,0.283,4,1,3,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0
"Fastball",9,"0","1",3,"2","0",0,0,0,0,2,4.31,3,0.167,0,1,1,2,0,0,0,0,1,0,0,0,0,0,1,0,0,0
"Fastball",5,"0","1",6,"0","1",0,0,0,0,5,5.08,18,0.293,2,1,0,2,0,0,0,0,1,0,0,0,1,0,0,0,0,0
"Fastball",9,"0","1",2,"2","0",1,1,0,0,-1,5.74,2,0.184,1,-1,0,2,0,0,0,0,1,0,0,0,0,0,1,0,0,0
"Fastball",7,"0","1",2,"0","1",0,0,0,0,3,3.82,55,0.257,6,-1,3,4,0,0,0,0,1,0,0,0,1,0,0,0,0,0
"Fastball",3,"0","1",1,"0","1",0,1,0,0,0,3.82,59,0.273,15,-1,3,4,0,0,0,0,1,0,0,0,1,0,0,0,0,0
"Slider.Cutter",2,"0","0",1,"0","0",0,1,0,0,2,6.86,9,0.224,5,-1,0,2,0,0,1,0,0,0,0,0,1,0,0,0,0,0
"Slider.Cutter",1,"0","1",3,"2","2",2,0,0,0,0,3.72,4,0.397,2,1,0,2,0,0,0,0,1,0,0,0,0,1,0,0,0,0
"KnuckleBall",5,"0","1",1,"0","2",2,0,0,1,-1,2.25,14,0.328,4,-1,2,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0
"Fastball",3,"0","0",1,"3","2",0,0,1,0,0,8.4,5,0.271,0,1,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0
"Fastball",4,"0","1",4,"0","0",0,0,1,0,1,0,0,0.125,0,-1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
"Fastball",2,"0","0",4,"1","0",0,0,0,0,0,2.76,30,0.243,5,1,2,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0
"Fastball",5,"0","1",2,"0","2",0,0,0,0,0,2.86,39,0.298,13,-1,1,2,0,0,0,0,1,0,0,0,0,0,1,0,0,0
"Fastball",3,"0","1",3,"1","0",1,0,1,0,1,6.86,11,0.198,3,-1,0,2,0,0,0,0,0,1,0,0,1,0,0,0,0,0
"KnuckleBall",9,"0","1",3,"1","2",1,1,0,0,0,1.98,21,0.261,5,-1,6,2,0,0,0,0,1,0,0,0,0,0,1,0,0,0
"Fastball",8,"0","1",2,"1","0",1,1,1,0,1,6.86,5,0.243,1,-1,0,2,0,0,0,0,1,0,0,0,1,0,0,0,0,0
"Fastball",6,"0","1",6,"3","2",1,0,0,0,5,5.08,8,0.213,1,1,0,2,0,0,0,0,1,0,0,0,0,0,1,0,0,0
"Fastball",2,"0","1",1,"0","1",0,1,0,0,0,2.2,50,0.236,15,-1,3,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0
"Fastball",7,"0","1",2,"1","0",1,1,0,0,4,5.08,12,0.189,3,1,0,2,0,0,0,0,1,0,0,0,1,0,0,0,0,0
"Slider.Cutter",7,"0","0",2,"0","2",2,0,0,0,0,0,2,0.25,1,-1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
"Fastball",1,"0","1",1,"1","1",0,0,0,0,0,4.31,21,0.228,5,1,1,2,0,0,0,0,1,0,0,0,0,0,1,0,0,0
"Fastball",3,"0","0",4,"0","1",1,1,0,0,-1,2.2,66,0.284,11,-1,3,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0
"KnuckleBall",7,"0","0",3,"0","0",1,1,0,1,-2,5.11,4,0.158,1,1,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0
"Slider.Cutter",2,"0","1",5,"0","0",0,0,0,0,2,2.25,3,0.164,0,-1,0,2,0,0,1,0,0,0,0,0,1,0,0,0,0,0
"KnuckleBall",2,"0","0",4,"1","1",0,0,0,0,0,2.76,30,0.243,5,1,2,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0
"Fastball",8,"0","1",7,"0","0",0,0,0,0,-1,5.74,0,0,0,-1,0,2,0,0,1,0,0,0,0,0,1,0,0,0,0,0
"Fastball",2,"0","1",2,"0","0",2,1,1,0,-1,3.52,6,0.303,3,1,3,2,0,0,1,0,0,0,0,0,1,0,0,0,0,0
"Fastball",8,"0","0",5,"0","0",0,0,0,0,2,4.31,9,0.292,1,1,1,2,0,0,1,0,0,0,0,0,1,0,0,0,0,0
"KnuckleBall",1,"0","0",3,"0","2",1,0,0,0,-4,0,16,0.274,2,-1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0
"Fastball",5,"0","1",2,"0","0",0,0,0,0,3,2.25,15,0.187,5,-1,0,2,0,0,1,0,0,0,0,0,1,0,0,0,0,0
"Fastball",4,"0","1",1,"3","0",0,0,1,1,1,2.19,69,0.276,12,-1,6,3,0,0,0,0,1,0,0,0,0,0,1,0,0,0
"Fastball",4,"0","1",3,"0","0",2,0,0,0,-1,5.74,19,0.22,5,-1,0,2,0,0,1,0,0,0,0,0,1,0,0,0,0,0
"KnuckleBall",1,"0","0",5,"0","1",0,0,0,0,2,2.25,37,0.282,8,-1,2,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0
"Slider.Cutter",2,"0","0",3,"0","0",1,0,0,0,0,7.36,29,0.271,7,1,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0
"Fastball",5,"0","1",5,"0","1",0,0,0,0,1,2.76,57,0.289,11,1,2,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0
"Slider.Cutter",1,"0","1",5,"3","2",0,0,0,0,5,5.08,0,0,0,1,0,2,0,0,0,0,1,0,0,0,0,0,1,0,0,0
"Fastball",3,"0","1",6,"3","0",0,0,0,1,0,1.91,17,0.293,4,-1,5,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0
"Fastball",2,"0","1",3,"1","2",1,0,1,0,-4,0,22,0.264,7,-1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
"Slider.Cutter",1,"0","1",4,"0","0",2,0,0,0,2,2.25,14,0.305,4,-1,0,2,0,0,1,0,0,0,0,0,1,0,0,0,0,0
"KnuckleBall",3,"0","1",1,"1","1",0,0,0,0,2,0,33,0.229,13,-1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0
"Fastball",7,"0","0",4,"1","1",1,0,1,1,1,3,1,0.286,1,-1,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0
"KnuckleBall",7,"0","1",6,"1","1",2,1,0,0,-2,7.36,12,0.237,2,1,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0
"Fastball",3,"0","0",3,"0","0",0,0,0,0,-1,3.52,28,0.313,4,1,3,2,0,0,1,0,0,0,0,0,1,0,0,0,0,0
"KnuckleBall",5,"0","1",2,"1","2",0,0,0,0,0,3.7,25,0.268,5,1,3,3,0,0,0,0,1,0,0,0,0,0,1,0,0,0
"Fastball",2,"0","1",1,"1","0",1,0,0,0,2,3,2,0.136,1,-1,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0
"Fastball",3,"0","1",4,"0","0",0,0,1,0,1,0,1,0.25,0,-1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
"Fastball",2,"0","0",1,"0","1",0,1,0,0,2,6.86,9,0.224,5,-1,0,2,0,0,0,0,0,0,0,1,1,0,0,0,0,0
"Fastball",2,"0","0",6,"1","1",0,0,0,0,1,6.86,9,0.224,5,-1,0,2,0,0,0,1,0,0,0,0,0,0,1,0,0,0
"KnuckleBall",2,"0","1",3,"0","2",1,1,1,0,2,1.87,37,0.238,6,1,5,2,0,0,0,0,1,0,0,0,0,0,1,0,0,0
"KnuckleBall",8,"0","1",3,"1","2",0,0,0,0,2,3,0,0,0,-1,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0
"Fastball",3,"0","1",1,"0","0",2,0,0,0,0,2.76,86,0.302,31,1,2,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
"Fastball",5,"0","1",2,"1","0",0,0,0,0,2,3,0,0,0,-1,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0
"Fastball",2,"0","1",1,"2","1",1,0,0,0,0,3.16,111,0.29,36,1,6,4,0,0,0,0,1,0,0,0,0,0,1,0,0,0
"KnuckleBall",8,"0","1",4,"2","2",0,1,0,0,0,3.52,8,0.181,1,1,3,2,0,0,0,0,0,1,0,0,0,0,1,0,0,0
"KnuckleBall",2,"0","1",4,"0","1",0,0,0,0,0,1.91,17,0.292,0,-1,5,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0
"Fastball",9,"0","0",6,"0","1",2,0,1,0,1,1.87,30,0.248,3,1,5,2,0,0,0,0,1,0,0,0,1,0,0,0,0,0
"Fastball",1,"0","0",2,"0","0",1,1,0,0,-1,3.52,22,0.342,5,1,3,2,0,0,1,0,0,0,0,0,1,0,0,0,0,0
"Fastball",4,"0","1",4,"1","1",0,0,0,0,1,0,2,0.182,0,1,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0
"Fastball",1,"0","0",2,"0","0",2,1,0,1,-1,2.25,37,0.282,8,-1,2,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
"Fastball",3,"0","1",2,"2","0",0,1,0,1,-4,0,33,0.229,13,-1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0
"Fastball",2,"0","1",3,"0","0",1,0,0,0,-3,0,5,0.296,2,1,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
"Fastball",7,"0","1",4,"1","1",0,0,0,0,2,2.2,5,0.266,1,-1,3,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0
"Fastball",1,"0","1",1,"0","1",0,0,0,0,0,3.59,28,0.304,9,-1,2,2,0,0,0,0,1,0,0,0,1,0,0,0,0,0
"Fastball",1,"0","0",1,"0","0",0,0,0,0,0,3.52,22,0.342,5,1,3,2,0,0,1,0,0,0,0,0,1,0,0,0,0,0
"Fastball",7,"0","1",5,"0","1",0,0,0,0,0,3.72,21,0.274,2,1,0,2,0,0,0,0,1,0,0,0,1,0,0,0,0,0
"Fastball",2,"0","1",6,"1","2",0,0,0,0,1,3.59,25,0.219,7,-1,2,2,0,0,0,0,0,1,0,0,0,0,0,1,0,0
"KnuckleBall",4,"0","1",4,"3","2",0,0,1,0,1,0,0,0.125,0,-1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0
"KnuckleBall",8,"0","1",7,"1","2",1,0,0,0,5,2.2,33,0.232,11,1,3,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0
"Fastball",1,"0","1",5,"0","0",1,1,0,0,5,2.2,15,0.289,0,1,3,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0
"Fastball",7,"0","1",4,"0","0",0,0,0,0,2,2.2,5,0.266,1,-1,3,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
"Fastball",4,"0","1",5,"1","1",0,0,0,0,1,2.76,44,0.239,16,1,2,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0
"Fastball",4,"0","1",4,"1","2",0,0,0,0,2,2.2,66,0.325,17,1,3,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0
"Fastball",3,"0","0",1,"0","0",0,1,0,0,0,8.4,5,0.271,0,1,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0
"Fastball",7,"0","1",5,"1","0",0,0,0,0,5,2.2,28,0.177,8,1,3,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0
"Fastball",2,"0","1",4,"0","0",0,0,0,0,0,1.91,17,0.292,0,-1,5,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0
"Fastball",7,"0","1",4,"1","0",2,0,0,0,1,6.86,10,0.389,2,-1,0,2,0,0,0,0,1,0,0,0,1,0,0,0,0,0
"Fastball",5,"0","1",7,"1","0",0,1,0,0,-1,1.98,52,0.261,9,-1,6,2,0,0,0,0,1,0,0,0,1,0,0,0,0,0
"Fastball",1,"0","1",1,"1","1",0,0,0,0,0,3.59,28,0.304,9,-1,2,2,0,0,0,0,1,0,0,0,0,0,1,0,0,0
"Fastball",1,"0","1",3,"0","0",1,1,0,0,2,4.31,21,0.228,5,1,1,2,0,0,1,0,0,0,0,0,1,0,0,0,0,0
"Fastball",1,"0","1",4,"0","2",2,0,0,0,2,2.25,14,0.305,4,-1,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,1
"Fastball",8,"0","1",4,"1","0",0,1,0,0,0,3.52,8,0.181,1,1,3,2,0,0,0,0,1,0,0,0,1,0,0,0,0,0
"Fastball",7,"0","1",3,"1","1",0,0,0,0,0,1.98,43,0.258,7,-1,6,2,0,0,0,0,1,0,0,0,0,0,1,0,0,0
"Fastball",8,"0","0",2,"1","0",1,1,1,0,4,5.08,1,0.271,0,1,0,2,0,0,0,0,1,0,0,0,1,0,0,0,0,0
"Fastball",4,"0","1",5,"0","0",1,0,1,0,0,1.87,52,0.274,10,1,5,2,0,0,1,0,0,0,0,0,1,0,0,0,0,0
"Fastball",2,"0","1",5,"2","2",0,0,0,0,2,2.25,3,0.164,0,-1,0,2,0,0,0,0,0,0,0,1,0,0,1,0,0,0
"Fastball",5,"0","1",2,"0","2",1,1,1,0,-4,0,21,0.255,6,-1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
"Fastball",6,"0","1",5,"0","0",2,1,0,0,6,1.83,12,0.241,4,-1,4,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0
"Fastball",9,"0","1",3,"2","0",1,0,1,0,0,1.91,4,0.269,0,-1,5,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0
"Fastball",6,"0","0",2,"1","0",1,0,0,0,0,3.72,30,0.194,4,1,0,2,0,0,0,0,1,0,0,0,1,0,0,0,0,0
"Fastball",1,"0","1",1,"0","0",0,0,0,0,0,2.86,45,0.299,14,-1,1,2,0,0,1,0,0,0,0,0,1,0,0,0,0,0
"Fastball",3,"0","1",6,"1","0",0,1,0,0,1,3.59,29,0.238,11,-1,2,2,0,0,0,1,0,0,0,0,1,0,0,0,0,0
"Fastball",9,"0","1",5,"0","1",0,0,0,0,3,3.82,14,0.198,1,-1,3,4,0,0,0,0,1,0,0,0,1,0,0,0,0,0
"Fastball",4,"0","0",3,"1","2",1,1,1,0,1,2.2,77,0.221,18,-1,3,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0
"Fastball",1,"0","1",5,"2","0",1,1,0,0,5,2.2,15,0.289,0,1,3,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0
"Fastball",6,"0","1",2,"1","0",2,0,0,0,0,1.83,12,0.241,4,-1,4,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0
"Slider.Cutter",5,"0","0",4,"0","2",1,0,0,0,1,0,6,0.5,2,1,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0
"Fastball",7,"0","1",4,"0","0",0,0,0,0,3,3.82,55,0.257,6,-1,3,4,0,0,1,0,0,0,0,0,1,0,0,0,0,0
"Fastball",1,"0","1",5,"3","1",0,0,0,0,5,5.08,0,0,0,1,0,2,0,0,0,0,1,0,0,0,0,1,0,0,0,0
"KnuckleBall",2,"0","1",3,"2","2",1,0,0,1,3,2.38,63,0.287,11,-1,2,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0
"Fastball",4,"0","1",1,"1","1",0,1,1,0,0,8.4,3,0.264,2,1,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0
"Slider.Cutter",8,"0","0",2,"2","2",1,1,0,0,3,2.25,0,0,0,-1,0,2,0,0,0,0,0,0,0,1,0,0,1,0,0,0
"Fastball",8,"0","1",5,"0","1",1,0,0,0,2,0,0,0,0,-1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0
"Fastball",4,"0","1",6,"0","1",1,1,0,1,-1,1.91,69,0.324,17,-1,5,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0
"Fastball",9,"0","1",3,"0","2",1,1,0,0,0,1.98,21,0.261,5,-1,6,2,0,0,0,0,1,0,0,0,0,0,1,0,0,0
"KnuckleBall",2,"0","0",1,"1","2",1,0,0,0,0,2.76,30,0.243,5,1,2,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0
"Fastball",6,"0","1",4,"0","0",0,0,0,0,0,3.52,1,0.154,0,1,3,2,0,0,1,0,0,0,0,0,1,0,0,0,0,0
"Fastball",5,"0","1",4,"0","0",0,1,0,0,-4,0,21,0.255,6,-1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
"Fastball",7,"0","1",2,"2","0",2,1,0,0,0,3.72,21,0.274,2,1,0,2,0,0,0,0,1,0,0,0,0,0,1,0,0,0
"KnuckleBall",3,"0","0",2,"2","1",2,1,1,0,1,8.4,5,0.271,0,1,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0
