"pitch_type","batter_num","pitch_rl","bat_rl","inning","balls","strikes","out","on_1b","on_2b","on_3b","score_diff","era","rbi","avg","hr","pitcher_at_home","pitcher_wins","pitcher_losses","batter_wins","batter_losses","prev_pitch_type0","prev_pitch_typeCH","prev_pitch_typeCU","prev_pitch_typeFA","prev_pitch_typeFC","prev_pitch_typeFF","prev_pitch_typeFT","prev_pitch_typeSL","prevprev_pitch_type0","prevprev_pitch_typeCH","prevprev_pitch_typeCU","prevprev_pitch_typeFC","prevprev_pitch_typeFF","prevprev_pitch_typeFT","prevprev_pitch_typeSL"
"FF",26,"1","0",6,"0","1",2,1,1,1,3,7.2,0,0.231,0,-1,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0
"CH",22,"1","0",6,"2","2",1,0,0,0,-1,2.7,37,0.246,6,-1,7,6,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0
"CH",26,"1","0",7,"1","2",1,0,0,0,-2,4.5,0,0.263,0,-1,2,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
"CH",15,"1","1",5,"1","2",1,0,0,0,0,2.7,7,0.177,4,-1,6,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
"FF",13,"1","0",4,"1","2",0,0,0,0,5,7.2,7,0.304,1,-1,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
"FC",3,"1","1",1,"1","2",1,0,0,1,0,2.72,16,0.278,5,-1,2,3,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0
"FF",13,"1","0",4,"0","2",1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0
"FC",8,"1","1",3,"0","0",0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
"CH",27,"1","0",8,"1","2",1,1,0,0,-4,2.69,9,0.276,2,-1,7,7,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0
"FF",13,"1","0",3,"0","0",2,1,1,1,-1,1.86,36,0.277,12,-1,4,3,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
"FT",17,"1","0",4,"0","0",2,1,0,0,1,3.38,0,0.059,0,-1,3,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
"FC",24,"1","0",6,"2","0",0,0,0,0,1,2.86,31,0.276,9,-1,16,5,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
"FT",22,"1","0",6,"0","0",2,0,0,0,5,2.05,53,0.235,20,-1,12,6,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
"FC",16,"1","0",5,"0","1",0,0,0,0,-1,2.7,7,0.259,2,-1,7,6,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0
"CH",20,"1","1",6,"0","1",2,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0
"CH",10,"1","0",4,"1","2",0,0,0,0,-4,2.16,26,0.299,5,-1,9,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0
"CH",1,"1","0",1,"1","2",0,0,0,0,1,0.64,7,0.364,1,-1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0
"FF",17,"1","0",3,"0","0",1,1,0,1,4,3.04,0,0,0,-1,9,10,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
"CH",15,"1","0",5,"2","2",0,0,0,0,5,2.79,16,0.308,5,-1,6,6,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0
"FF",27,"1","1",7,"2","2",0,0,0,0,-2,3.43,4,0.136,1,-1,9,12,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0
"FC",2,"1","0",1,"0","0",1,0,0,0,1,3.03,12,0.289,1,-1,3,4,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
"CH",14,"1","0",4,"2","2",1,0,0,0,0,1.29,4,0.222,2,-1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
"FF",12,"1","1",4,"2","0",2,0,0,0,2,4.5,4,0.27,0,-1,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0
"CH",15,"1","1",4,"2","0",2,0,0,0,-1,1.25,6,0.254,1,-1,4,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
"CH",15,"1","1",5,"1","2",1,0,0,0,0,2.7,7,0.177,4,-1,6,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
"FC",29,"1","1",8,"3","2",1,0,0,0,0,1.38,2,0.209,1,-1,2,2,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0
"FT",24,"1","1",6,"0","1",0,0,1,0,2,2.62,49,0.263,15,-1,7,6,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0
"CH",26,"1","1",7,"1","0",2,0,0,0,2,2.72,6,0.189,1,-1,2,3,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0
"FF",14,"1","0",4,"1","2",0,0,0,0,-2,2.98,7,0.287,0,1,3,3,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0
"FF",26,"1","1",6,"2","1",0,0,1,0,-5,1.95,8,0.209,4,-1,2,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0
"FF",3,"1","1",1,"1","2",1,0,0,1,0,3.49,13,0.289,5,-1,3,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0
"FT",1,"1","1",1,"1","1",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0
"FF",33,"1","0",9,"1","1",2,1,0,0,3,1.5,9,0.27,2,-1,1,2,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0
"FT",6,"1","1",2,"3","2",2,0,0,0,0,2.7,7,0.177,4,-1,6,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
"FF",11,"1","1",3,"2","2",2,0,1,0,0,2.05,32,0.292,11,-1,14,6,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0
"FC",29,"1","0",8,"3","2",2,0,0,0,0,2.16,35,0.283,14,-1,9,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0
"FT",3,"1","1",1,"2","1",2,0,0,0,0,2.93,19,0.316,3,-1,3,3,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0
"FF",24,"1","1",7,"3","2",0,0,0,0,-1,1.86,8,0.239,2,-1,4,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
"FT",22,"1","0",7,"0","0",0,0,0,0,6,2.92,86,0.258,28,-1,14,5,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
"FT",26,"1","0",6,"0","1",2,1,0,0,0,2.64,0,0.235,0,-1,4,4,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0
"FC",6,"1","0",2,"1","1",2,0,0,0,0,1.43,11,0.216,4,1,3,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0
"CH",10,"1","0",3,"3","2",1,0,1,0,3,1.99,7,0.252,2,1,8,6,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0
"CH",14,"1","0",4,"1","0",1,0,0,0,4,2.05,46,0.306,11,-1,12,6,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0
"CH",23,"1","0",6,"0","1",0,1,0,0,0,3.47,55,0.239,9,-1,9,12,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0
"FT",24,"1","1",7,"3","1",0,1,0,1,3,4.5,7,0.44,2,-1,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0
"FC",27,"1","0",7,"1","1",2,0,0,0,0,3.47,15,0.26,2,-1,9,12,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0
"FT",26,"1","0",8,"0","1",1,0,0,0,0,3.61,4,0.159,0,-1,4,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0
"FF",26,"1","1",6,"0","1",2,1,1,1,0,2.05,30,0.261,4,-1,14,6,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0
"FT",7,"1","1",2,"0","2",1,1,1,0,0,2.93,21,0.288,5,-1,3,3,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0
"FF",12,"1","0",3,"0","1",0,1,1,0,0,2.15,48,0.245,16,-1,18,8,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0
"FF",5,"1","1",1,"1","1",1,0,0,0,-3,1.95,7,0.225,2,-1,2,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
"FT",19,"1","1",4,"1","1",0,1,0,1,4,3.48,6,0.216,2,-1,10,13,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0
"FF",3,"1","0",1,"2","2",1,0,0,0,-1,2.98,31,0.264,10,-1,4,4,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
"FT",23,"1","1",6,"1","0",1,1,0,0,1,2.98,88,0.241,19,-1,14,5,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0
