"pitch_type","batter_num","pitch_rl","bat_rl","inning","balls","strikes","out","on_1b","on_2b","on_3b","score_diff","era","rbi","avg","hr","pitcher_at_home","pitcher_wins","pitcher_losses","batter_wins","batter_losses","prev_pitch_type0","prev_pitch_typeCH","prev_pitch_typeCU","prev_pitch_typeFF","prev_pitch_typePO","prev_pitch_typeSI","prev_pitch_typeSL","prevprev_pitch_type0","prevprev_pitch_typeCH","prevprev_pitch_typeCU","prevprev_pitch_typeFF","prevprev_pitch_typePO","prevprev_pitch_typeSI","prevprev_pitch_typeSL"
"CU",15,"1","0",5,"0","0",0,0,1,1,0,1.99,41,0.207,8,-1,11,2,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0
"CH",14,"1","1",4,"0","1",0,1,0,0,3,3.46,24,0.29,1,1,5,4,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0
"CH",1,"1","0",1,"0","0",0,0,0,0,0,2.92,12,0.339,5,1,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0
"SI",8,"1","0",2,"0","0",1,0,0,0,0,1.85,2,0.125,0,1,6,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0
"CH",11,"1","1",3,"0","0",2,0,1,0,-1,2.3,25,0.224,7,-1,6,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0
"CH",4,"1","0",2,"0","0",0,0,0,0,0,2.23,57,0.226,21,-1,13,5,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0
"FF",19,"1","0",5,"0","1",2,0,0,0,0,1.82,8,0.204,0,-1,4,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0
"CU",4,"1","0",1,"0","1",2,1,0,0,0,3.03,4,0.276,2,-1,4,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0
"SI",19,"1","1",4,"0","1",2,1,0,1,0,2.53,1,0.3,0,-1,3,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0
"SI",28,"1","0",7,"0","0",2,1,0,0,-1,2.12,45,0.254,9,1,14,5,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0
"FF",3,"1","1",1,"0","0",1,0,0,0,0,3.03,25,0.239,2,-1,4,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0
"CH",22,"1","0",7,"0","1",0,0,0,0,3,3,2,0.308,0,-1,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0
"CU",10,"1","0",3,"0","0",1,0,1,0,0,2.23,27,0.255,3,-1,13,5,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0
"CH",12,"1","1",3,"1","2",2,0,0,1,-1,2.02,31,0.306,11,1,11,2,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0
"CU",16,"1","1",5,"1","2",0,0,0,0,0,3.38,29,0.289,6,1,9,3,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0
"CU",16,"1","1",5,"1","2",0,0,0,0,4,2.47,5,0.167,1,-1,3,3,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
"CH",15,"1","0",4,"0","1",0,0,0,0,-2,0,0,0,0,-1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0
"CH",10,"1","1",3,"0","0",0,0,1,0,1,2.94,15,0.31,2,1,5,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0
"CH",8,"1","1",3,"1","2",1,0,0,0,1,2.37,5,0.195,2,1,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
"SI",20,"1","1",6,"0","1",1,0,0,1,0,2.63,11,0.337,4,1,8,2,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0
"SI",1,"1","0",1,"0","0",0,0,0,0,0,2.07,49,0.288,9,-1,14,5,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0
"SI",28,"1","0",8,"0","0",0,1,1,0,2,3.26,45,0.278,11,-1,8,4,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0
"FF",8,"1","0",2,"2","2",0,0,1,0,0,1.95,34,0.223,10,-1,13,3,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0
"FF",5,"1","1",2,"0","2",1,0,0,0,1,1.88,6,0.25,1,1,2,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0
"CU",22,"1","0",6,"0","0",2,0,0,0,0,2.57,30,0.285,3,-1,8,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0
"FF",13,"1","0",4,"2","2",0,1,1,0,-1,1.91,35,0.239,14,1,8,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
"SI",13,"1","1",4,"1","0",0,0,0,0,-1,2.77,55,0.232,19,1,11,5,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0
"CH",18,"1","1",5,"0","2",1,0,0,0,2,2.11,3,0.174,1,-1,3,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0
"CU",21,"1","0",6,"0","0",1,0,0,0,3,2.01,60,0.282,15,1,11,3,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0
"CH",24,"1","1",7,"2","1",0,0,0,0,0,3.55,46,0.237,13,1,6,4,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
"CU",10,"1","0",3,"0","1",2,0,0,0,0,1.99,19,0.26,2,-1,13,4,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0
"SI",11,"1","1",3,"0","0",1,1,0,0,-1,0,0,0,0,-1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0
"CU",1,"1","1",1,"2","2",0,0,0,0,0,2.57,16,0.238,5,-1,8,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
"CU",23,"1","1",7,"0","0",0,0,0,0,3,2.3,7,0.356,1,-1,6,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0
"SI",20,"1","1",5,"3","2",0,1,1,0,6,3.45,68,0.289,26,-1,5,4,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
"SI",1,"1","1",1,"0","0",0,0,0,0,1,0,0,0,0,-1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0
"CH",7,"1","1",2,"0","1",1,1,0,1,2,3.6,0,0.333,0,-1,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0
"SI",5,"1","1",1,"1","2",2,1,0,1,0,2.63,26,0.225,11,1,8,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
"CU",9,"1","1",3,"1","1",1,0,0,0,0,1.99,12,0.241,0,-1,13,4,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0
"CU",13,"1","1",4,"0","1",1,0,0,0,2,2.3,23,0.297,7,-1,6,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0
"CH",3,"1","1",1,"0","1",1,1,0,0,0,2.53,23,0.268,7,-1,3,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0
"CH",2,"1","0",1,"3","2",1,0,0,0,0,1.88,4,0.25,1,1,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0
"CH",15,"1","0",4,"2","1",0,0,0,0,0,2.21,0,0.114,0,1,2,2,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0
"CU",7,"1","0",2,"0","0",2,0,0,0,3,3.74,2,0.158,0,1,14,8,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0
"CH",5,"1","1",2,"0","0",0,0,0,0,-1,0,0,0.143,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0
"CU",5,"1","0",2,"1","1",0,0,1,0,0,2.01,43,0.267,9,1,11,3,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0
"CH",12,"1","0",3,"0","0",2,0,1,0,0,2.18,31,0.272,8,1,14,5,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0
"FF",1,"1","0",1,"1","2",0,0,0,0,2,3.45,32,0.28,8,-1,5,4,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
"SI",14,"1","1",4,"0","1",2,0,0,0,0,2.63,26,0.225,11,1,8,2,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0
"CU",14,"1","1",4,"1","1",2,0,0,0,2,2.3,7,0.356,1,-1,6,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0
"SI",14,"1","0",4,"1","0",2,0,0,0,1,2.07,14,0.265,0,-1,14,5,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0
"CH",20,"1","0",5,"0","0",0,1,1,1,-3,1.91,23,0.255,6,1,8,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0
"SI",2,"1","0",1,"0","0",0,0,0,0,0,2.86,42,0.298,9,1,4,4,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0
"SI",20,"1","0",6,"0","0",0,0,0,0,3,2.01,24,0.289,0,1,11,3,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0
"SI",27,"1","0",7,"0","0",0,0,0,0,-4,2.69,10,0.237,1,1,12,5,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0
"CH",3,"1","1",1,"2","2",1,1,0,0,0,2.21,15,0.237,5,1,2,2,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0
"CU",6,"1","0",2,"2","1",1,0,0,0,0,2.23,42,0.239,5,-1,13,5,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0
"FF",7,"1","0",3,"1","2",0,0,0,0,0,3,0,0.125,0,-1,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0
"CH",14,"1","0",4,"0","2",0,0,0,0,0,2.27,4,0.237,1,1,3,2,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0
"CH",30,"1","1",9,"0","1",1,0,1,0,2,2.75,31,0.262,14,1,6,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0
"FF",20,"1","1",6,"1","2",2,0,0,0,1,2.12,73,0.313,22,-1,11,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0
"CU",12,"1","1",4,"2","2",0,0,0,0,1,2.07,93,0.269,33,-1,14,5,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0
"SI",1,"1","0",1,"1","0",0,0,0,0,0,2.1,23,0.275,1,-1,10,2,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0
"FF",25,"1","0",5,"2","1",1,0,0,1,2,0.69,2,0.174,0,-1,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0
"SI",15,"1","1",4,"3","0",1,0,0,0,0,2.27,14,0.266,3,1,3,2,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
"FF",16,"1","0",3,"2","1",0,1,0,0,-5,3.11,30,0.274,6,-1,14,6,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0
"CU",1,"1","0",1,"1","2",0,0,0,0,0,3.34,43,0.298,10,1,7,4,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0
"CH",5,"1","0",1,"0","0",0,1,0,1,-2,2.92,5,0.228,0,1,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0
"SI",3,"1","0",1,"0","0",2,0,0,0,0,3.38,16,0.274,0,1,9,3,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0
"CH",13,"1","0",4,"1","2",1,0,0,1,1,3.55,66,0.301,20,1,6,4,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
"FF",22,"1","1",6,"1","2",1,0,0,0,2,1.61,2,0.2,2,-1,3,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0
"SI",11,"1","0",4,"0","0",0,0,0,0,0,1.91,3,0.207,1,1,3,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0
"SI",2,"1","1",1,"2","2",1,0,0,0,0,2.12,73,0.313,22,-1,11,2,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0
"CU",6,"1","1",2,"1","2",1,0,0,0,0,1.99,11,0.193,2,-1,13,4,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0
"CH",6,"1","1",2,"2","2",0,1,0,0,0,2.12,32,0.255,4,-1,11,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0
"CH",19,"1","1",5,"0","0",1,0,1,0,0,2.27,10,0.307,3,1,3,2,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0
"CU",10,"1","0",3,"1","1",1,0,1,0,0,2.23,27,0.255,3,-1,13,5,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
"SI",12,"1","1",2,"0","0",2,1,0,1,-4,2.86,52,0.269,11,1,4,4,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0
"SI",24,"1","0",5,"0","2",2,1,1,1,4,3.45,31,0.23,5,-1,5,4,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
"FF",20,"1","1",5,"2","2",1,0,0,0,-2,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0
"CU",7,"1","0",2,"1","1",2,0,0,0,0,2.24,25,0.195,5,1,9,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0
"CU",20,"1","1",5,"1","1",1,1,0,0,0,2.18,49,0.34,7,1,14,5,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0
