"pitch_type","batter_num","pitch_rl","bat_rl","inning","balls","strikes","out","on_1b","on_2b","on_3b","score_diff","era","rbi","avg","hr","pitcher_at_home","pitcher_wins","pitcher_losses","batter_wins","batter_losses","prev_pitch_type0","prev_pitch_typeChangeUp","prev_pitch_typeCurveBall","prev_pitch_typeFastball","prev_pitch_typeSlider.Cutter","prevprev_pitch_type0","prevprev_pitch_typeChangeUp","prevprev_pitch_typeCurveBall","prevprev_pitch_typeFastball","prevprev_pitch_typeSlider.Cutter"
"Fastball",26,"1","1",7,"0","0",2,0,0,0,0,4.14,8,0.209,3,1,1,1,0,0,1,0,0,0,0,1,0,0,0,0
"Fastball",10,"1","0",3,"1","0",1,0,0,1,2,2.28,58,0.269,8,1,7,2,0,0,0,0,1,0,0,1,0,0,0,0
"Fastball",15,"1","1",4,"1","1",2,0,0,0,2,6.1,2,0.2,0,-1,0,0,0,0,0,1,0,0,0,0,0,0,1,0
"Fastball",20,"1","1",5,"0","0",2,1,0,0,0,6,5,0.27,1,1,1,0,0,0,1,0,0,0,0,1,0,0,0,0
"ChangeUp",18,"1","0",5,"0","0",1,1,0,0,1,2.05,1,0,0,-1,2,1,0,3,1,0,0,0,0,1,0,0,0,0
"ChangeUp",5,"1","1",2,"2","2",0,0,0,0,0,3.76,15,0.267,3,-1,1,1,0,0,0,1,0,0,0,0,0,0,1,0
"Fastball",9,"1","1",3,"0","0",0,0,0,0,1,5.74,0,0.111,0,1,0,0,3,0,1,0,0,0,0,1,0,0,0,0
"Fastball",4,"1","1",1,"1","2",1,1,0,1,-1,2.33,52,0.272,11,-1,1,1,0,0,0,0,0,1,0,0,0,0,1,0
"ChangeUp",18,"1","0",6,"1","2",0,0,0,0,-1,2.02,9,0.23,1,-1,6,1,0,0,0,1,0,0,0,0,0,0,1,0
"ChangeUp",22,"1","0",6,"1","0",0,1,0,0,3,6,21,0.214,9,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0
"ChangeUp",15,"1","1",4,"0","0",1,0,0,0,0,3.99,15,0.242,4,-1,1,2,0,0,1,0,0,0,0,1,0,0,0,0
"Fastball",12,"1","1",4,"0","1",0,0,0,0,-1,2.77,52,0.266,9,1,1,0,0,0,0,1,0,0,0,1,0,0,0,0
"ChangeUp",25,"1","1",7,"1","2",1,0,0,0,6,2.33,23,0.301,3,-1,1,1,0,0,0,0,0,1,0,0,0,1,0,0
"Fastball",12,"1","1",4,"2","1",0,0,0,0,-2,10.38,7,0.333,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0
"Fastball",23,"1","0",6,"0","0",1,1,0,0,-3,2.02,66,0.284,12,-1,6,1,0,0,1,0,0,0,0,1,0,0,0,0
"Fastball",22,"1","1",6,"0","0",2,0,0,0,0,1.51,56,0.273,8,-1,4,1,0,0,1,0,0,0,0,1,0,0,0,0
"Fastball",12,"1","1",3,"0","0",1,0,0,0,-1,1.78,68,0.263,13,-1,5,1,0,0,1,0,0,0,0,1,0,0,0,0
"ChangeUp",7,"1","0",2,"0","2",1,0,1,0,-1,2.77,6,0.205,1,1,1,0,0,0,0,1,0,0,0,0,0,0,1,0
"Fastball",14,"1","0",4,"0","1",1,1,0,1,1,2.05,38,0.244,11,-1,2,1,0,0,0,0,0,1,0,1,0,0,0,0
"Fastball",24,"1","0",7,"0","0",1,0,0,0,3,1.83,39,0.308,8,1,3,1,0,0,1,0,0,0,0,1,0,0,0,0
"Fastball",20,"1","0",5,"2","0",2,1,0,0,0,5.61,3,0.196,1,-1,0,1,0,0,0,0,0,0,1,0,0,0,1,0
"Fastball",16,"1","1",5,"1","1",0,0,0,0,2,1.83,59,0.253,19,1,3,1,0,0,0,0,0,1,0,0,0,0,1,0
"Fastball",5,"1","0",2,"0","0",0,0,0,0,-1,2.38,1,0.174,0,1,6,2,0,0,1,0,0,0,0,1,0,0,0,0
"Fastball",12,"1","1",3,"1","0",1,0,0,0,0,5.61,16,0.248,6,-1,0,1,0,0,0,0,0,1,0,1,0,0,0,0
"Fastball",27,"1","1",8,"0","1",0,1,0,0,3,1.83,26,0.235,4,1,3,1,0,0,0,0,0,1,0,1,0,0,0,0
"Fastball",19,"1","0",5,"1","0",2,0,0,0,-1,1.51,4,0.051,0,-1,4,1,7,8,0,0,0,1,0,1,0,0,0,0
"Fastball",15,"1","1",5,"0","0",0,0,0,0,-2,10.38,1,0.143,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0
"ChangeUp",3,"1","1",1,"0","2",0,0,1,0,-1,1.48,77,0.286,24,1,5,1,0,0,0,0,0,1,0,0,0,1,0,0
"Fastball",12,"1","1",3,"1","0",1,0,1,0,-1,6,3,0.25,1,1,1,0,0,0,0,0,0,1,0,1,0,0,0,0
"ChangeUp",12,"1","1",4,"3","2",0,0,0,0,-2,10.38,7,0.333,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0
"Fastball",15,"1","1",4,"0","1",2,0,0,0,1,4.14,32,0.238,5,1,1,1,0,0,0,0,0,1,0,1,0,0,0,0
"Fastball",13,"1","0",4,"1","2",2,0,0,0,-1,2.02,31,0.324,4,-1,6,1,0,0,0,0,0,1,0,0,0,0,1,0
"ChangeUp",6,"1","0",2,"2","1",0,0,0,0,-1,2.77,32,0.262,4,1,1,0,0,0,0,0,0,1,0,0,0,0,0,1
"ChangeUp",24,"1","0",6,"1","1",1,1,1,0,2,2.05,43,0.319,13,-1,2,1,0,0,0,1,0,0,0,0,0,0,0,1
"Fastball",13,"1","0",3,"1","1",1,0,0,0,0,5.61,17,0.327,6,-1,0,1,0,0,0,0,0,0,1,0,0,0,1,0
"ChangeUp",13,"1","1",3,"2","2",2,0,0,0,-1,3.99,0,0.273,0,-1,1,2,0,0,0,1,0,0,0,0,0,0,1,0
"Fastball",24,"1","1",6,"3","1",1,1,1,0,-4,2.02,22,0.271,4,-1,6,1,0,0,0,0,0,1,0,0,0,0,1,0
"ChangeUp",13,"1","0",3,"3","2",2,1,0,0,1,3.76,10,0.353,5,-1,1,1,0,0,0,0,0,1,0,0,0,0,1,0
"Fastball",27,"1","1",7,"0","2",1,0,0,0,2,2.05,31,0.306,11,-1,2,1,0,0,0,0,0,1,0,0,0,0,1,0
"Fastball",4,"1","1",1,"1","1",1,1,0,1,-1,2.33,52,0.272,11,-1,1,1,0,0,0,0,0,1,0,0,0,0,1,0
"Fastball",23,"1","1",6,"1","0",0,0,0,0,-1,0,24,0.256,5,-1,0,0,0,0,0,0,0,1,0,1,0,0,0,0
"Fastball",26,"1","0",7,"2","2",1,1,0,0,3,6,2,0.08,1,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0
"ChangeUp",28,"1","0",7,"3","2",2,0,0,0,2,2.05,56,0.291,14,-1,2,1,0,0,0,0,0,1,0,0,1,0,0,0
"Fastball",26,"1","0",6,"0","0",1,1,1,0,-1,0,1,0.133,1,-1,0,0,0,0,1,0,0,0,0,1,0,0,0,0
"Fastball",5,"1","1",1,"0","0",2,0,0,0,-2,10.38,6,0.244,2,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0
"Fastball",10,"1","0",2,"0","0",1,1,1,0,-2,1.48,42,0.29,11,1,5,1,0,0,1,0,0,0,0,1,0,0,0,0
"Fastball",18,"1","1",5,"2","1",1,0,0,0,-1,1.51,13,0.233,1,-1,4,1,0,0,0,0,0,1,0,0,0,0,0,1
"Fastball",20,"1","0",5,"0","0",0,0,0,0,-1,0,14,0.248,1,-1,0,0,0,0,1,0,0,0,0,1,0,0,0,0
"Fastball",17,"1","0",5,"2","0",1,0,0,0,1,2.38,1,0.146,1,1,6,2,0,0,0,0,0,0,1,0,0,0,1,0
"Fastball",27,"1","1",8,"0","0",2,0,0,0,3,5.15,9,0.211,2,-1,0,1,0,0,1,0,0,0,0,1,0,0,0,0
"ChangeUp",5,"1","1",2,"1","2",0,1,0,0,-1,6,3,0.381,2,1,1,0,0,0,0,0,0,1,0,0,0,0,1,0
"ChangeUp",1,"1","0",1,"1","2",0,0,0,0,0,1.48,42,0.29,11,1,5,1,0,0,0,1,0,0,0,0,0,0,1,0
"Fastball",8,"1","0",2,"0","0",2,0,0,0,1,6,2,0.08,1,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0
"Fastball",9,"1","0",3,"1","0",0,1,0,0,1,4.14,13,0.256,5,1,1,1,0,0,0,0,0,1,0,1,0,0,0,0
"Fastball",13,"1","0",3,"2","2",1,0,0,0,0,5.61,17,0.327,6,-1,0,1,0,0,0,1,0,0,0,0,0,0,1,0
"ChangeUp",12,"1","0",4,"3","1",0,0,1,0,1,2.05,63,0.313,13,-1,2,1,0,0,0,0,0,1,0,0,1,0,0,0
"Fastball",17,"1","1",5,"0","2",0,0,0,0,0,6,3,0.206,0,1,1,0,0,0,0,1,0,0,0,0,0,1,0,0
"ChangeUp",4,"1","0",1,"2","1",2,1,0,0,0,3.76,10,0.353,5,-1,1,1,0,0,0,0,0,1,0,0,0,0,1,0
"ChangeUp",20,"1","1",6,"1","2",0,0,1,0,-2,2.02,96,0.287,32,-1,6,1,0,0,0,0,1,0,0,0,1,0,0,0
"Fastball",13,"1","0",4,"1","2",0,1,0,0,-1,2.77,47,0.32,12,1,1,0,0,0,0,0,0,1,0,0,0,0,1,0
"Fastball",7,"1","1",2,"0","0",0,1,0,0,-1,1.48,36,0.216,12,1,5,1,0,0,1,0,0,0,0,1,0,0,0,0
"Fastball",4,"1","0",2,"2","2",0,0,0,0,0,1.51,65,0.255,21,-1,4,1,0,0,0,0,0,0,1,0,1,0,0,0
"Fastball",22,"1","1",6,"2","1",1,1,1,0,1,2.38,44,0.253,9,1,6,2,0,0,0,0,0,1,0,0,0,0,1,0
"Fastball",20,"1","0",6,"0","1",0,0,0,0,0,1.51,47,0.221,15,-1,4,1,0,0,0,0,1,0,0,1,0,0,0,0
"Fastball",12,"1","1",3,"0","1",1,1,0,0,1,3.76,44,0.228,15,-1,1,1,0,0,0,0,0,1,0,1,0,0,0,0
"ChangeUp",17,"1","0",5,"2","1",1,0,0,0,1,2.38,1,0.146,1,1,6,2,0,0,0,0,0,1,0,0,0,0,0,1
