"pitch_type","bat_order","pitch_rl","bat_rl","inning","balls","strikes","out","on_1b","on_2b","on_3b","score_diff","era","rbi","avg","hr","pitcher_at_home","pitcher_wins","pitcher_losses","batter_wins","batter_losses","prev_pitch_type0","prev_pitch_typeChangeUp","prev_pitch_typeCurveBall","prev_pitch_typeFastball","prev_pitch_typeSlider.Cutter","prevprev_pitch_type0","prevprev_pitch_typeChangeUp","prevprev_pitch_typeCurveBall","prevprev_pitch_typeFastball","prevprev_pitch_typeSlider.Cutter"
"Fastball",7,"1","1",6,"0","0",1,0,0,0,-2,3.42,9,0.286,4,-1,3,2,0,0,1,0,0,0,0,1,0,0,0,0
"ChangeUp",5,"1","0",1,"0","2",1,1,1,0,-1,6.06,20,0.287,2,-1,2,4,0,0,0,1,0,0,0,0,0,0,1,0
"Fastball",4,"1","0",1,"2","1",2,1,0,0,2,3.68,64,0.259,21,-1,8,10,0,0,0,0,0,1,0,0,1,0,0,0
"Fastball",9,"1","1",5,"0","0",0,1,0,0,-1,3.48,2,0.158,1,1,3,3,2,3,1,0,0,0,0,1,0,0,0,0
"Fastball",4,"1","1",1,"0","1",2,0,1,0,0,3.67,59,0.31,2,-1,7,8,0,0,0,0,0,1,0,1,0,0,0,0
"Fastball",8,"1","0",5,"0","1",0,0,1,0,3,3.15,8,0.283,1,1,4,4,0,0,0,0,0,1,0,1,0,0,0,0
"ChangeUp",3,"1","0",3,"0","1",0,1,0,0,-2,3.42,20,0.262,2,1,3,4,0,0,0,0,0,1,0,1,0,0,0,0
"Fastball",7,"1","0",5,"2","0",1,1,0,0,0,6.75,2,0.25,0,1,0,1,0,0,0,1,0,0,0,0,0,0,1,0
"ChangeUp",7,"1","0",4,"1","0",0,0,1,0,-2,3.42,16,0.283,2,1,3,4,0,0,0,0,0,1,0,1,0,0,0,0
"Fastball",2,"1","1",5,"2","1",0,1,0,0,0,3.42,13,0.253,0,-1,3,2,0,0,0,1,0,0,0,0,1,0,0,0
"Fastball",3,"1","1",4,"1","1",0,1,0,0,-6,4.24,16,0.305,4,-1,1,1,0,0,0,0,1,0,0,0,0,0,1,0
"Fastball",9,"1","1",5,"1","1",0,0,0,0,-2,4.5,0,0.2,0,-1,1,1,1,2,0,0,0,1,0,0,0,0,1,0
"ChangeUp",7,"1","0",2,"1","2",2,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0
"Fastball",6,"1","0",2,"2","1",2,0,0,0,0,3.23,10,0.221,3,1,13,11,0,0,0,0,0,1,0,0,1,0,0,0
"Fastball",7,"1","1",2,"2","1",1,0,0,0,-1,5.9,6,0.253,1,-1,4,5,0,0,0,0,1,0,0,0,0,1,0,0
"Fastball",1,"1","0",3,"1","1",0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0
"Fastball",8,"1","1",4,"1","1",1,0,1,0,1,6,1,0.25,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1
"ChangeUp",4,"1","0",6,"0","0",1,0,0,0,3,3.15,40,0.226,11,1,4,4,0,0,1,0,0,0,0,1,0,0,0,0
"Fastball",3,"1","1",4,"0","1",1,0,0,0,0,3.38,23,0.312,4,-1,3,3,0,0,0,0,0,1,0,1,0,0,0,0
"Fastball",1,"1","0",4,"0","0",1,0,0,0,-4,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0
"Fastball",5,"1","0",4,"0","0",0,0,0,0,6,5.33,2,0.203,0,1,1,2,0,0,1,0,0,0,0,1,0,0,0,0
"Fastball",2,"1","1",1,"0","0",1,0,0,0,0,4.73,15,0.287,4,-1,2,3,0,0,1,0,0,0,0,1,0,0,0,0
"Fastball",1,"1","0",5,"1","0",1,0,0,0,1,6.06,4,0.262,2,-1,2,4,0,0,0,1,0,0,0,1,0,0,0,0
"Fastball",8,"1","1",5,"1","1",1,0,0,0,-1,6,2,0.2,0,1,1,2,0,0,0,0,0,1,0,0,0,0,1,0
"Fastball",3,"1","0",5,"2","2",0,0,0,0,0,6,2,0.385,2,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0
"ChangeUp",5,"1","0",7,"1","2",0,0,0,0,3,6.75,2,0.167,0,1,0,1,0,0,0,1,0,0,0,0,1,0,0,0
"Fastball",6,"1","1",3,"3","2",2,0,0,0,-2,3.55,27,0.302,10,-1,7,7,0,0,0,1,0,0,0,0,0,0,1,0
