"pitch_type","batter_num","pitch_rl","bat_rl","inning","balls","strikes","out","on_1b","on_2b","on_3b","score_diff","era","rbi","avg","hr","pitcher_at_home","pitcher_wins","pitcher_losses","batter_wins","batter_losses","prev_pitch_type0","prev_pitch_typeChangeUp","prev_pitch_typeCurveBall","prev_pitch_typeFastball","prev_pitch_typeOthers","prev_pitch_typeSlider.Cutter","prevprev_pitch_type0","prevprev_pitch_typeChangeUp","prevprev_pitch_typeCurveBall","prevprev_pitch_typeFastball","prevprev_pitch_typeOthers","prevprev_pitch_typeSlider.Cutter"
"CurveBall",17,"0","0",5,"1","1",0,1,0,0,-1,2.47,16,0.261,4,1,5,10,0,0,0,0,1,0,0,0,0,0,0,1,0,0
"Fastball",22,"0","1",6,"3","1",0,0,0,0,-1,2.76,34,0.269,10,-1,5,9,0,0,0,0,0,1,0,0,0,0,0,1,0,0
"Fastball",22,"0","1",5,"2","0",0,0,0,0,-3,4.03,39,0.312,9,-1,4,4,0,0,0,0,1,0,0,0,0,0,0,1,0,0
"Fastball",10,"0","1",2,"1","2",1,0,0,0,-1,4.03,56,0.305,13,-1,4,4,0,0,0,0,0,1,0,0,0,0,0,1,0,0
"Fastball",3,"0","1",8,"0","1",0,1,0,0,-6,0,4,0.167,1,-1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0
"Fastball",3,"0","1",1,"1","0",0,1,0,0,-3,2.32,105,0.314,35,-1,9,11,0,0,0,0,0,1,0,0,1,0,0,0,0,0
"Fastball",6,"0","1",8,"3","2",1,0,0,0,-6,0,8,0.333,0,-1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0
"CurveBall",15,"0","1",4,"0","0",1,1,0,0,3,4.18,24,0.226,7,1,6,6,0,0,1,0,0,0,0,0,1,0,0,0,0,0
"Fastball",1,"0","1",1,"2","2",0,0,0,0,0,5.44,40,0.259,16,1,2,4,0,0,0,0,0,1,0,0,0,0,1,0,0,0
"Fastball",3,"0","1",8,"0","2",0,1,0,0,-6,0,4,0.167,1,-1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0
"Fastball",15,"0","1",3,"0","0",1,0,0,0,-4,2.59,4,0.204,2,1,2,4,0,0,1,0,0,0,0,0,1,0,0,0,0,0
"Fastball",13,"0","1",4,"1","0",0,1,0,0,0,4.11,54,0.263,12,1,7,6,0,0,0,1,0,0,0,0,1,0,0,0,0,0
