"pitch_type","batter_num","pitch_rl","bat_rl","inning","balls","strikes","out","on_1b","on_2b","on_3b","score_diff","era","rbi","avg","hr","pitcher_at_home","pitcher_wins","pitcher_losses","batter_wins","batter_losses","prev_pitch_type0","prev_pitch_typeChangeUp","prev_pitch_typeFastball","prev_pitch_typeOthers","prev_pitch_typeSlider.Cutter","prevprev_pitch_type0","prevprev_pitch_typeChangeUp","prevprev_pitch_typeFastball","prevprev_pitch_typeOthers","prevprev_pitch_typeSlider.Cutter"
"Fastball",23,"0","1",5,"1","0",2,0,0,1,-1,5.32,17,0.301,4,1,2,1,0,0,0,0,1,0,0,1,0,0,0,0
"ChangeUp",25,"0","1",7,"3","2",2,0,0,0,-1,2.87,31,0.335,7,1,6,4,0,0,0,0,0,0,1,0,1,0,0,0
"Slider/Cutter",20,"0","1",5,"0","0",2,0,1,0,1,2.08,47,0.279,5,1,8,1,0,0,1,0,0,0,0,1,0,0,0,0
"Fastball",18,"0","0",5,"0","0",0,1,0,0,1,2.08,13,0.294,1,1,8,1,0,0,1,0,0,0,0,1,0,0,0,0
"Fastball",25,"0","1",7,"0","2",2,1,0,0,-1,2.06,21,0.269,5,1,5,0,0,0,0,1,0,0,0,0,0,1,0,0
"Fastball",4,"0","1",1,"0","0",2,1,0,0,0,2.09,37,0.241,6,1,11,3,0,0,1,0,0,0,0,1,0,0,0,0
"Slider/Cutter",14,"0","0",4,"0","0",2,1,0,0,0,4.21,26,0.216,10,-1,3,2,0,0,1,0,0,0,0,1,0,0,0,0
"ChangeUp",27,"0","1",8,"0","0",0,0,1,0,4,2.16,0,0,0,-1,8,1,0,0,1,0,0,0,0,1,0,0,0,0
"Fastball",24,"0","0",7,"0","0",1,0,0,0,1,3.68,4,0.267,0,-1,1,0,0,0,1,0,0,0,0,1,0,0,0,0
"ChangeUp",20,"0","1",5,"0","1",0,0,0,0,3,2.03,73,0.28,15,1,10,3,0,0,0,0,0,0,1,1,0,0,0,0
"ChangeUp",2,"0","0",1,"3","1",0,0,0,0,2,2.8,48,0.294,16,-1,7,4,0,0,0,0,0,0,1,0,0,1,0,0
"ChangeUp",14,"0","0",4,"1","2",2,1,0,0,0,4.21,26,0.216,10,-1,3,2,0,0,0,0,0,0,1,0,0,0,0,1
"Fastball",12,"0","0",3,"0","0",2,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0
"Fastball",20,"0","1",6,"1","1",2,0,0,0,0,0,1,0,0,-1,0,0,0,0,0,0,1,0,0,0,0,0,0,1
"Fastball",20,"0","1",6,"1","2",0,0,0,0,-1,2.87,56,0.296,19,1,6,4,0,0,0,0,0,0,1,0,0,1,0,0
"Slider/Cutter",12,"0","0",4,"1","2",0,1,0,0,0,2.66,8,0.237,2,1,3,0,0,0,0,1,0,0,0,0,0,0,0,1
"Slider/Cutter",25,"0","1",7,"1","1",2,0,0,0,-1,2.87,31,0.335,7,1,6,4,0,0,0,1,0,0,0,0,1,0,0,0
"Fastball",29,"0","1",8,"0","2",0,1,1,1,0,1.59,39,0.294,11,-1,5,0,0,0,0,0,1,0,0,0,0,1,0,0
"Slider/Cutter",12,"0","0",3,"1","2",2,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1
"Fastball",9,"0","1",2,"2","2",0,1,0,0,-2,2.25,2,0.263,0,1,2,0,0,0,0,0,1,0,0,0,1,0,0,0
"Fastball",3,"0","0",1,"0","1",2,0,0,0,0,2.66,8,0.237,2,1,3,0,0,0,0,0,1,0,0,1,0,0,0,0
"ChangeUp",16,"0","1",5,"0","0",1,1,0,0,-1,2.06,21,0.269,5,1,5,0,0,0,1,0,0,0,0,1,0,0,0,0
"ChangeUp",11,"0","1",3,"0","0",2,0,0,0,2,2.03,47,0.235,19,-1,9,1,0,0,1,0,0,0,0,1,0,0,0,0
"Fastball",24,"0","1",7,"0","0",1,0,0,0,0,5.93,3,0.296,1,-1,2,1,0,0,1,0,0,0,0,1,0,0,0,0
"ChangeUp",20,"0","0",6,"0","0",2,0,0,0,0,2.09,30,0.248,3,1,11,3,0,0,1,0,0,0,0,1,0,0,0,0
"ChangeUp",17,"0","1",6,"0","0",1,0,0,0,2,2.3,1,0.571,0,1,3,0,0,0,1,0,0,0,0,1,0,0,0,0
"Fastball",5,"0","1",2,"0","1",1,0,0,0,0,1.89,18,0.273,6,1,4,0,0,0,0,1,0,0,0,1,0,0,0,0
"ChangeUp",6,"0","1",1,"0","0",2,0,0,0,-3,2.03,57,0.263,10,1,10,3,0,0,1,0,0,0,0,1,0,0,0,0
"ChangeUp",14,"0","1",5,"1","1",1,0,0,0,0,3.01,7,0.244,3,1,6,3,0,0,0,1,0,0,0,0,0,0,0,1
"Fastball",3,"0","0",1,"1","1",2,0,0,0,0,3.68,0,0.357,0,-1,1,0,0,0,0,0,1,0,0,0,1,0,0,0
"Fastball",8,"0","1",2,"1","2",0,0,0,0,-2,2.25,3,0.242,0,1,2,0,0,0,0,0,1,0,0,0,0,1,0,0
"ChangeUp",17,"0","1",4,"2","2",1,0,0,0,2,2.03,18,0.255,4,1,10,3,0,0,0,0,1,0,0,0,0,1,0,0
"Fastball",4,"0","1",2,"0","0",0,0,0,0,0,2.66,9,0.302,3,1,3,0,0,0,1,0,0,0,0,1,0,0,0,0
"Fastball",21,"0","1",6,"0","0",0,0,1,0,0,3.02,40,0.303,11,-1,6,4,0,0,1,0,0,0,0,1,0,0,0,0
"ChangeUp",15,"0","1",5,"0","0",0,0,0,0,0,4.21,18,0.19,6,-1,3,2,0,0,1,0,0,0,0,1,0,0,0,0
"Fastball",23,"0","1",7,"1","0",0,0,0,0,2,2.14,52,0.273,15,-1,10,2,0,0,0,0,1,0,0,1,0,0,0,0
"Slider/Cutter",29,"0","1",7,"0","1",0,0,0,1,-5,2.74,35,0.257,14,-1,6,3,0,0,0,0,1,0,0,1,0,0,0,0
