"pitch_type","batter_num","pitch_rl","bat_rl","inning","balls","strikes","out","on_1b","on_2b","on_3b","score_diff","era","rbi","avg","hr","pitcher_at_home","pitcher_wins","pitcher_losses","batter_wins","batter_losses","prev_pitch_type0","prev_pitch_typeChangeUp","prev_pitch_typeFastball","prev_pitch_typeOthers","prev_pitch_typeSlider.Cutter","prevprev_pitch_type0","prevprev_pitch_typeChangeUp","prevprev_pitch_typeFastball","prevprev_pitch_typeOthers","prevprev_pitch_typeSlider.Cutter"
"ChangeUp",7,"0","1",2,"0","0",0,0,0,0,0,1.76,4,0.241,2,1,2,0,0,0,1,0,0,0,0,1,0,0,0,0
"Fastball",24,"0","1",7,"0","1",2,1,0,1,5,1.59,14,0.299,3,-1,5,0,0,0,0,1,0,0,0,1,0,0,0,0
"ChangeUp",3,"0","1",1,"1","0",2,0,0,0,0,4.36,21,0.257,6,1,3,1,0,0,0,0,1,0,0,1,0,0,0,0
"ChangeUp",18,"0","1",5,"0","0",1,1,0,0,2,0,1,0.2,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0
"ChangeUp",20,"0","1",5,"0","0",2,1,1,0,2,0,2,0.19,1,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0
"Fastball",28,"0","1",8,"1","1",2,1,1,0,1,2.09,45,0.259,9,1,11,3,0,0,0,0,1,0,0,0,0,0,0,1
"ChangeUp",12,"0","1",4,"3","0",2,0,0,0,0,2.06,52,0.326,12,1,5,0,0,0,0,0,1,0,0,0,1,0,0,0
"Fastball",24,"0","1",7,"1","1",0,1,0,0,-1,3.04,13,0.205,2,-1,6,2,0,0,0,1,0,0,0,0,1,0,0,0
"Fastball",25,"0","0",6,"2","2",1,0,0,1,-3,2.01,58,0.195,21,1,10,2,0,0,0,0,0,0,1,0,0,0,0,1
"Fastball",24,"0","1",7,"1","2",2,0,1,1,5,1.59,14,0.299,3,-1,5,0,0,0,0,0,1,0,0,0,0,1,0,0
"ChangeUp",14,"0","1",4,"0","1",0,0,0,0,1,3.04,29,0.22,12,-1,6,2,0,0,0,0,0,0,1,1,0,0,0,0
"Fastball",20,"0","1",6,"0","0",0,0,0,0,0,5.93,12,0.262,2,-1,2,1,0,0,1,0,0,0,0,1,0,0,0,0
"ChangeUp",15,"0","1",5,"0","0",1,0,0,0,1,2.3,32,0.223,12,1,7,1,0,0,1,0,0,0,0,1,0,0,0,0
"Slider/Cutter",3,"0","0",1,"1","1",2,0,0,0,0,2.74,37,0.26,4,-1,6,3,0,0,0,0,1,0,0,0,1,0,0,0
"Fastball",9,"0","0",3,"0","2",1,0,0,0,2,2.08,13,0.294,1,1,8,1,0,0,0,0,1,0,0,0,0,1,0,0
"Fastball",9,"0","0",3,"0","0",1,0,0,0,2,2.08,13,0.294,1,1,8,1,0,0,1,0,0,0,0,1,0,0,0,0
"Fastball",8,"0","0",3,"2","1",1,0,0,0,0,3.01,21,0.239,4,1,6,3,0,0,0,1,0,0,0,0,0,1,0,0
"ChangeUp",5,"0","1",1,"1","2",2,1,1,0,0,2.2,76,0.316,23,-1,12,4,0,0,0,0,0,0,1,0,0,1,0,0
"Fastball",2,"0","1",1,"0","1",0,1,0,0,0,2.2,82,0.287,17,-1,12,4,0,0,0,1,0,0,0,1,0,0,0,0
"Slider/Cutter",27,"0","1",8,"1","2",1,0,0,0,2,4.21,4,0.205,0,-1,3,2,0,0,0,0,1,0,0,0,0,1,0,0
"ChangeUp",7,"0","1",2,"1","2",1,1,0,0,6,3.66,6,0.151,1,-1,4,2,0,0,0,0,0,0,1,0,0,1,0,0
"Fastball",1,"0","1",1,"1","1",0,0,0,0,-1,2.03,71,0.278,12,1,10,3,0,0,0,0,1,0,0,0,0,1,0,0
"Fastball",7,"0","1",3,"1","2",0,0,0,0,1,2.74,20,0.23,3,-1,6,3,0,0,0,1,0,0,0,0,1,0,0,0
"ChangeUp",21,"0","1",6,"1","2",0,0,0,0,2,2.8,50,0.272,12,-1,7,4,0,0,0,0,0,0,1,0,0,1,0,0
"ChangeUp",7,"0","1",1,"0","0",2,1,1,0,-2,2.25,12,0.345,3,1,2,0,0,0,1,0,0,0,0,1,0,0,0,0
"Slider/Cutter",9,"0","1",3,"1","2",2,0,0,0,2,2.3,1,0.167,1,1,3,0,0,0,0,1,0,0,0,0,0,0,0,1
"ChangeUp",14,"0","1",4,"1","2",2,0,1,0,0,2.66,3,0.212,1,1,3,0,0,0,0,0,0,0,1,0,1,0,0,0
"Fastball",25,"0","1",7,"0","2",0,1,0,0,5,2.8,1,0.2,0,-1,7,4,0,0,0,1,0,0,0,0,1,0,0,0
"Slider/Cutter",18,"0","0",6,"0","0",0,0,0,0,0,2.66,7,0.244,0,1,3,0,0,0,1,0,0,0,0,1,0,0,0,0
"ChangeUp",10,"0","1",4,"0","0",0,0,0,0,1,1.73,10,0.251,3,1,4,0,0,0,1,0,0,0,0,1,0,0,0,0
"Fastball",11,"0","1",3,"0","2",1,0,0,0,-1,2.01,32,0.284,12,1,10,2,0,0,0,0,0,0,1,0,0,0,0,1
"Slider/Cutter",28,"0","0",6,"1","1",1,1,0,0,1,2.2,28,0.297,6,-1,6,1,0,0,0,0,0,0,1,0,0,0,0,1
"ChangeUp",8,"0","1",3,"1","2",0,0,0,0,1,3.27,13,0.227,2,1,5,2,0,0,0,0,0,0,1,0,0,1,0,0
"Slider/Cutter",3,"0","1",1,"1","2",2,0,0,0,0,1.73,6,0.345,2,1,4,0,0,0,0,1,0,0,0,0,0,0,0,1
"Fastball",14,"0","1",5,"2","1",1,0,0,0,2,2.3,24,0.317,5,1,3,0,0,0,0,0,1,0,0,0,0,1,0,0
"ChangeUp",15,"0","0",4,"0","1",0,0,0,0,-2,2.25,5,0.231,1,1,2,0,0,0,0,1,0,0,0,1,0,0,0,0
"Fastball",7,"0","1",2,"0","1",2,1,0,0,0,3.02,6,0.474,0,-1,6,4,0,0,0,0,0,0,1,1,0,0,0,0
"Fastball",23,"0","1",7,"3","2",0,0,0,0,2,2.14,52,0.273,15,-1,10,2,0,0,0,0,0,0,1,0,0,0,0,1
"ChangeUp",27,"0","1",7,"0","0",0,1,1,0,0,2.25,3,0.242,0,1,2,0,0,0,1,0,0,0,0,1,0,0,0,0
"Slider/Cutter",4,"0","1",2,"1","2",0,0,0,0,1,2.74,38,0.263,8,-1,6,3,0,0,0,0,1,0,0,0,0,1,0,0
"ChangeUp",1,"0","1",1,"0","2",0,0,0,0,0,2.3,12,0.269,1,1,7,1,0,0,0,0,1,0,0,0,0,1,0,0
"ChangeUp",6,"0","1",1,"0","1",2,0,0,0,-3,2.03,57,0.263,10,1,10,3,0,0,0,1,0,0,0,1,0,0,0,0
"Fastball",2,"0","1",1,"2","0",0,1,0,0,0,3.04,16,0.347,4,-1,6,2,0,0,0,0,1,0,0,0,0,1,0,0
"ChangeUp",23,"0","0",7,"2","1",1,1,0,0,5,1.59,8,0.357,3,-1,5,0,0,0,0,0,1,0,0,0,0,1,0,0
"ChangeUp",8,"0","1",2,"0","0",1,1,0,0,0,2.27,0,0,0,-1,6,1,0,0,1,0,0,0,0,1,0,0,0,0
"Slider/Cutter",5,"0","1",1,"0","0",2,1,1,0,0,2.2,76,0.316,23,-1,12,4,0,0,1,0,0,0,0,1,0,0,0,0
"Fastball",21,"0","1",6,"1","1",0,0,0,0,7,2.03,45,0.243,7,-1,9,1,0,0,0,0,1,0,0,0,1,0,0,0
"Fastball",24,"0","1",7,"2","2",1,1,0,0,2,4.21,18,0.19,6,-1,3,2,0,0,0,1,0,0,0,0,0,0,0,1
"Fastball",15,"0","1",3,"1","2",0,0,1,1,-1,2.37,4,0.183,1,-1,2,0,0,0,0,0,1,0,0,0,1,0,0,0
"Fastball",16,"0","1",5,"1","1",0,0,0,0,0,3.02,6,0.474,0,-1,6,4,0,0,0,0,1,0,0,0,0,1,0,0
"Fastball",3,"0","1",1,"2","2",2,0,0,0,0,1.73,6,0.345,2,1,4,0,0,0,0,1,0,0,0,0,0,0,0,1
"Fastball",29,"0","1",8,"1","1",1,0,1,0,2,3.27,7,0.264,1,1,5,2,0,0,0,0,1,0,0,0,0,1,0,0
"Fastball",16,"0","1",4,"1","2",1,0,0,0,9,1.5,2,0.182,0,-1,1,0,0,0,0,1,0,0,0,0,1,0,0,0
"ChangeUp",20,"0","1",4,"0","1",1,1,1,1,-1,2.2,19,0.339,6,-1,6,1,0,0,0,0,0,0,1,1,0,0,0,0
"ChangeUp",12,"0","0",4,"1","0",1,0,0,0,0,2.3,51,0.323,6,1,7,1,0,0,0,0,1,0,0,1,0,0,0,0
"Fastball",21,"0","1",5,"0","0",2,0,1,0,-2,2.01,75,0.284,23,1,10,2,0,0,1,0,0,0,0,1,0,0,0,0
"Fastball",19,"0","1",6,"0","1",0,0,0,0,-1,2.06,19,0.277,4,1,5,0,0,0,0,1,0,0,0,1,0,0,0,0
"Fastball",7,"0","0",2,"0","0",1,1,0,0,2,2.16,24,0.22,1,-1,8,1,0,0,1,0,0,0,0,1,0,0,0,0
"Fastball",6,"0","0",2,"0","2",1,1,0,0,1,2.03,20,0.225,7,-1,9,1,0,0,0,0,1,0,0,0,0,1,0,0
"Fastball",25,"0","1",7,"1","0",1,0,0,0,0,3.02,6,0.474,0,-1,6,4,0,0,0,0,0,0,1,1,0,0,0,0
"Fastball",24,"0","1",8,"0","1",0,0,0,0,1,3.01,0,0.235,0,1,6,3,0,0,0,0,1,0,0,1,0,0,0,0
"Fastball",12,"0","1",4,"1","2",0,0,0,0,2,2.08,37,0.282,11,1,8,1,0,0,0,0,1,0,0,0,1,0,0,0
"Fastball",3,"0","1",1,"0","0",0,1,1,0,0,3.66,19,0.241,2,-1,4,2,0,0,1,0,0,0,0,1,0,0,0,0
"Fastball",14,"0","0",4,"2","0",1,0,0,0,0,3.02,28,0.277,9,-1,6,4,0,0,0,0,0,0,1,0,0,0,0,1
"ChangeUp",31,"0","1",9,"1","0",1,0,1,1,6,2.3,17,0.209,5,1,7,1,0,0,0,0,1,0,0,1,0,0,0,0
"Slider/Cutter",14,"0","1",4,"0","0",1,0,0,0,2,0,0,0.133,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0
"Slider/Cutter",22,"0","1",6,"1","2",2,0,0,0,0,5.93,17,0.257,6,-1,2,1,0,0,0,0,1,0,0,0,0,1,0,0
"Fastball",12,"0","1",4,"1","0",2,0,0,0,2,2.3,23,0.264,9,1,3,0,0,0,0,0,0,0,1,1,0,0,0,0
"ChangeUp",19,"0","1",6,"0","0",0,0,0,0,-1,2.06,19,0.277,4,1,5,0,0,0,1,0,0,0,0,1,0,0,0,0
"Slider/Cutter",5,"0","1",2,"2","2",0,0,0,0,0,2.09,26,0.198,7,1,10,1,0,0,0,0,1,0,0,0,0,1,0,0
"Fastball",4,"0","1",1,"3","1",1,1,0,0,0,2.27,34,0.27,5,-1,6,1,0,0,0,0,1,0,0,0,0,1,0,0
"Fastball",7,"0","1",1,"0","1",2,1,1,0,-2,2.25,12,0.345,3,1,2,0,0,0,0,1,0,0,0,1,0,0,0,0
"Fastball",11,"0","1",3,"1","2",2,1,0,0,1,2.12,53,0.271,8,-1,10,3,0,0,0,0,1,0,0,0,0,1,0,0
"Fastball",17,"0","1",3,"0","1",0,0,0,1,-4,2.37,5,0.324,0,-1,2,0,0,0,0,0,0,0,1,1,0,0,0,0
"Slider/Cutter",20,"0","1",4,"1","2",1,1,1,1,-1,2.2,19,0.339,6,-1,6,1,0,0,0,0,1,0,0,0,1,0,0,0
"Fastball",17,"0","1",5,"0","0",0,0,0,0,-1,2.01,21,0.226,8,1,10,2,0,0,1,0,0,0,0,1,0,0,0,0
"Fastball",8,"0","1",2,"0","1",2,0,0,0,-1,5.93,6,0.235,1,-1,2,1,0,0,0,1,0,0,0,1,0,0,0,0
"Fastball",15,"0","1",4,"1","1",1,0,0,0,1,3.04,13,0.205,2,-1,6,2,0,0,0,1,0,0,0,0,0,1,0,0
"Fastball",28,"0","1",9,"2","1",2,0,0,0,3,1.73,10,0.251,3,1,4,0,0,0,0,0,1,0,0,0,1,0,0,0
"Slider/Cutter",23,"0","1",5,"2","2",1,0,0,0,-1,1.88,42,0.306,2,1,10,1,0,0,0,0,1,0,0,0,0,0,0,1
"Fastball",18,"0","1",5,"0","0",1,0,0,0,0,5.93,6,0.235,1,-1,2,1,0,0,1,0,0,0,0,1,0,0,0,0
"Fastball",13,"0","1",4,"3","2",0,0,0,0,-1,2.01,83,0.26,31,1,10,2,0,0,0,1,0,0,0,0,0,0,0,1
"Fastball",7,"0","1",2,"0","1",0,0,0,0,-2,2.09,31,0.24,11,1,10,1,0,0,0,1,0,0,0,1,0,0,0,0
"Fastball",8,"0","1",2,"2","2",2,1,0,0,2,2.16,2,0.174,1,-1,8,1,0,0,0,0,1,0,0,0,1,0,0,0
"Fastball",2,"0","1",1,"0","2",1,0,0,0,0,2.27,42,0.305,11,-1,6,1,0,0,0,0,1,0,0,0,0,1,0,0
"Fastball",11,"0","1",3,"0","1",2,0,1,0,2,2.08,47,0.279,5,1,8,1,0,0,0,0,0,0,1,1,0,0,0,0
"Fastball",8,"0","1",2,"1","0",1,0,0,0,-2,2.2,21,0.222,6,-1,6,1,0,0,0,1,0,0,0,1,0,0,0,0
"Slider/Cutter",12,"0","0",3,"2","1",2,0,1,0,1,0,1,0.25,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0
"Fastball",25,"0","1",6,"2","2",1,0,0,0,5,1.97,22,0.175,8,1,5,1,0,0,0,0,1,0,0,0,0,0,0,1
"ChangeUp",7,"0","1",3,"0","0",0,0,0,0,0,2.06,21,0.269,5,1,5,0,0,0,1,0,0,0,0,1,0,0,0,0
"ChangeUp",3,"0","1",1,"0","0",2,0,0,0,0,2.03,45,0.243,7,-1,9,1,0,0,1,0,0,0,0,1,0,0,0,0
"ChangeUp",26,"0","1",8,"1","2",0,0,0,0,2,4.21,18,0.267,4,-1,3,2,0,0,0,0,0,0,1,0,0,1,0,0
"Slider/Cutter",20,"0","1",4,"1","2",1,1,1,1,-1,2.2,19,0.339,6,-1,6,1,0,0,0,0,0,0,1,0,0,1,0,0
"Fastball",13,"0","1",3,"1","1",0,1,0,0,-1,2.2,60,0.293,23,-1,6,1,0,0,0,1,0,0,0,0,1,0,0,0
"Fastball",11,"0","0",3,"2","2",0,0,0,0,-2,2.25,5,0.305,3,1,2,0,0,0,0,0,1,0,0,0,1,0,0,0
"ChangeUp",8,"0","1",2,"0","1",2,0,0,0,-1,2.11,15,0.177,9,-1,11,3,0,0,0,1,0,0,0,1,0,0,0,0
"Slider/Cutter",18,"0","1",4,"0","0",2,0,0,0,-1,4.36,10,0.238,0,1,3,1,0,0,1,0,0,0,0,1,0,0,0,0
"Fastball",8,"0","0",3,"0","0",0,0,0,0,-1,1.23,0,0.209,0,-1,0,1,0,0,1,0,0,0,0,1,0,0,0,0
"Fastball",22,"0","1",5,"0","1",1,1,0,1,2,1.97,29,0.26,9,1,5,1,0,0,0,0,1,0,0,1,0,0,0,0
"Slider/Cutter",14,"0","0",4,"1","2",2,0,0,0,0,3.68,4,0.267,0,-1,1,0,0,0,0,1,0,0,0,0,0,0,0,1
"ChangeUp",19,"0","1",6,"2","2",1,0,0,0,0,2.66,1,0.246,0,1,3,0,0,0,0,0,0,0,1,0,0,1,0,0
"Fastball",20,"0","1",6,"0","0",0,0,0,0,0,2.11,10,0.25,1,-1,11,3,0,0,1,0,0,0,0,1,0,0,0,0
"ChangeUp",25,"0","1",7,"0","1",2,1,0,0,-1,2.06,21,0.269,5,1,5,0,0,0,0,0,1,0,0,1,0,0,0,0
"Fastball",27,"0","1",6,"0","0",2,1,0,1,-3,2.01,33,0.219,12,1,10,2,0,0,1,0,0,0,0,1,0,0,0,0
"Fastball",18,"0","1",5,"0","0",2,0,0,0,1,2.12,6,0.222,0,-1,10,3,0,0,1,0,0,0,0,1,0,0,0,0
"Fastball",7,"0","1",2,"3","2",2,0,0,0,2,0,1,0.231,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0
"ChangeUp",17,"0","1",5,"3","2",0,0,0,0,3,2.16,2,0.174,1,-1,8,1,0,0,0,1,0,0,0,0,0,1,0,0
"Fastball",4,"0","1",2,"1","2",0,0,0,0,1,2.12,46,0.239,15,-1,10,3,0,0,0,0,0,0,1,0,0,1,0,0
"Slider/Cutter",5,"0","0",1,"0","0",2,1,1,0,0,1.99,70,0.27,19,-1,12,3,0,0,1,0,0,0,0,1,0,0,0,0
"Fastball",14,"0","0",4,"1","2",2,1,0,0,0,4.21,26,0.216,10,-1,3,2,0,0,0,1,0,0,0,0,0,0,0,1
"Slider/Cutter",19,"0","1",5,"1","1",1,0,0,0,-2,2.74,0,0.212,0,-1,6,3,0,0,0,0,0,0,1,0,1,0,0,0
"Slider/Cutter",22,"0","1",6,"1","2",0,0,0,0,2,0,0,0.118,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0
"ChangeUp",15,"0","1",5,"0","2",0,0,0,0,0,3.68,2,0.538,0,-1,1,0,0,0,0,1,0,0,0,0,1,0,0,0
"Slider/Cutter",24,"0","0",7,"1","2",1,0,0,0,9,3.66,4,0.75,1,-1,4,2,0,0,0,0,0,0,1,0,1,0,0,0
"Slider/Cutter",22,"0","0",6,"0","0",0,1,0,0,1,2.08,45,0.269,9,1,8,1,0,0,1,0,0,0,0,1,0,0,0,0
"Fastball",16,"0","0",4,"1","1",1,0,0,0,0,2.27,26,0.233,11,-1,6,1,0,0,0,0,0,0,1,0,1,0,0,0
"Slider/Cutter",17,"0","1",5,"2","2",2,0,0,0,0,4.21,18,0.267,4,-1,3,2,0,0,0,1,0,0,0,0,1,0,0,0
"Slider/Cutter",15,"0","1",4,"2","0",1,0,1,0,1,2.08,10,0.291,2,1,8,1,0,0,0,1,0,0,0,0,0,1,0,0
"Fastball",24,"0","1",6,"3","2",1,1,1,0,1,2.08,10,0.291,2,1,8,1,0,0,0,1,0,0,0,0,0,1,0,0
"Fastball",11,"0","1",3,"0","1",0,1,0,0,1,3.04,16,0.347,4,-1,6,2,0,0,0,0,1,0,0,1,0,0,0,0
"Fastball",1,"0","1",1,"1","0",0,0,0,0,0,2.25,5,0.327,0,1,2,0,0,0,0,0,1,0,0,1,0,0,0,0
"Fastball",6,"0","1",1,"0","1",2,1,0,0,-2,2.2,19,0.295,1,-1,6,1,0,0,0,0,1,0,0,1,0,0,0,0
"ChangeUp",20,"0","1",5,"1","1",2,0,1,0,1,2.08,47,0.279,5,1,8,1,0,0,0,1,0,0,0,0,0,0,0,1
"Slider/Cutter",3,"0","0",1,"1","2",0,0,1,0,-1,2.37,11,0.3,0,-1,2,0,0,0,0,0,1,0,0,0,0,0,0,1
"Slider/Cutter",20,"0","1",7,"0","1",0,0,0,0,3,1.73,13,0.277,1,1,4,0,0,0,0,1,0,0,0,1,0,0,0,0
"ChangeUp",7,"0","1",2,"0","0",0,0,0,0,0,1.88,38,0.228,6,1,10,1,0,0,1,0,0,0,0,1,0,0,0,0
"Fastball",13,"0","1",3,"1","2",2,1,1,1,2,1.97,29,0.26,9,1,5,1,0,0,0,0,1,0,0,0,0,1,0,0
"Fastball",23,"0","1",7,"0","0",1,0,0,0,-1,2.06,33,0.263,9,1,5,0,0,0,1,0,0,0,0,1,0,0,0,0
"Fastball",19,"0","1",5,"2","2",2,0,1,0,0,3.02,8,0.25,2,-1,6,4,0,0,0,1,0,0,0,0,0,0,0,1
"Fastball",2,"0","1",1,"0","0",0,0,0,0,0,1.88,48,0.234,19,1,10,1,0,0,1,0,0,0,0,1,0,0,0,0
"Fastball",11,"0","1",4,"1","2",1,0,0,0,0,3.01,24,0.238,3,1,6,3,0,0,0,0,1,0,0,0,0,1,0,0
"ChangeUp",2,"0","1",1,"0","2",1,0,0,0,1,2.16,33,0.282,4,-1,8,1,0,0,0,0,1,0,0,0,1,0,0,0
"Fastball",1,"0","1",1,"0","1",0,0,0,0,0,2.74,0,0.212,0,-1,6,3,0,0,0,0,1,0,0,1,0,0,0,0
"Slider/Cutter",25,"0","1",7,"0","2",0,0,0,0,-2,2.74,20,0.23,3,-1,6,3,0,0,0,1,0,0,0,0,0,0,0,1
"ChangeUp",8,"0","1",2,"0","1",0,1,0,0,0,1.76,3,0.143,1,1,2,0,0,0,0,1,0,0,0,1,0,0,0,0
"Fastball",2,"0","1",1,"0","0",0,0,0,0,0,1.59,39,0.294,11,-1,5,0,0,0,1,0,0,0,0,1,0,0,0,0
"ChangeUp",8,"0","1",3,"0","2",0,0,0,0,2,2.08,2,0.111,1,1,8,1,0,0,0,0,0,0,1,0,0,1,0,0
"Slider/Cutter",23,"0","1",7,"0","0",1,0,0,0,0,0,0,0.5,0,-1,0,0,0,0,1,0,0,0,0,1,0,0,0,0
"Fastball",17,"0","1",5,"0","0",0,0,0,0,0,2.2,11,0.222,2,-1,12,4,0,0,1,0,0,0,0,1,0,0,0,0
"Fastball",24,"0","1",6,"2","1",2,1,0,0,2,0,0,0.222,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0
"Fastball",28,"0","1",8,"1","0",2,1,1,0,1,2.09,45,0.259,9,1,11,3,0,0,0,0,0,0,1,1,0,0,0,0
"ChangeUp",16,"0","1",4,"0","2",2,1,0,0,0,2.2,15,0.237,0,-1,12,4,0,0,0,0,1,0,0,0,1,0,0,0
"ChangeUp",21,"0","1",5,"3","2",2,0,1,0,-2,2.01,75,0.284,23,1,10,2,0,0,0,0,0,0,1,0,0,1,0,0
"Slider/Cutter",26,"0","0",7,"0","0",1,1,0,0,2,2.14,46,0.229,8,-1,10,2,0,0,1,0,0,0,0,1,0,0,0,0
"Fastball",11,"0","1",3,"3","2",0,0,0,0,-2,2.09,30,0.271,2,1,10,1,0,0,0,1,0,0,0,0,0,0,0,1
"ChangeUp",20,"0","1",6,"2","1",0,0,0,0,0,3.68,0,0,0,-1,1,0,0,0,0,0,1,0,0,0,0,0,0,1
"Fastball",1,"0","1",1,"0","0",0,0,0,0,0,2.09,45,0.259,9,1,11,3,0,0,1,0,0,0,0,1,0,0,0,0
"Fastball",18,"0","1",5,"0","2",1,0,0,0,0,5.93,6,0.235,1,-1,2,1,0,0,0,1,0,0,0,0,0,1,0,0
"Slider/Cutter",10,"0","1",3,"2","2",2,0,1,0,0,2.3,12,0.269,1,1,7,1,0,0,0,0,1,0,0,0,0,1,0,0
"Slider/Cutter",10,"0","1",3,"0","2",1,0,0,0,0,2.11,2,0.275,0,-1,11,3,0,0,0,0,0,0,1,0,0,1,0,0
"Fastball",5,"0","1",2,"3","2",0,0,0,0,0,2.09,52,0.277,10,1,11,3,0,0,0,0,1,0,0,0,1,0,0,0
"Slider/Cutter",15,"0","1",4,"0","0",0,0,0,0,-1,5.32,15,0.231,6,1,2,1,0,0,1,0,0,0,0,1,0,0,0,0
"Fastball",28,"0","1",7,"1","1",1,0,0,0,3,2.03,71,0.278,12,1,10,3,0,0,0,1,0,0,0,0,1,0,0,0
"ChangeUp",22,"0","1",7,"0","0",0,0,0,0,5,2.3,17,0.209,5,1,7,1,0,0,1,0,0,0,0,1,0,0,0,0
"Fastball",17,"0","1",5,"0","1",1,0,0,0,0,2.87,36,0.283,7,1,6,4,0,0,0,0,1,0,0,1,0,0,0,0
"ChangeUp",28,"0","1",7,"0","0",1,0,0,0,3,2.03,71,0.278,12,1,10,3,0,0,1,0,0,0,0,1,0,0,0,0
"Fastball",17,"0","1",6,"2","1",1,0,0,0,2,2.3,1,0.571,0,1,3,0,0,0,0,0,1,0,0,0,1,0,0,0
"ChangeUp",5,"0","1",2,"1","0",0,0,0,0,0,2.09,52,0.277,10,1,11,3,0,0,0,1,0,0,0,1,0,0,0,0
"Fastball",18,"0","1",6,"0","0",1,0,0,0,2,2.3,1,0.167,1,1,3,0,0,0,1,0,0,0,0,1,0,0,0,0
"Fastball",27,"0","1",7,"1","1",1,1,0,0,-1,3.04,11,0.156,2,-1,6,2,0,0,0,0,1,0,0,0,0,1,0,0
"ChangeUp",21,"0","1",5,"0","0",2,1,0,0,-1,2.25,12,0.377,2,1,2,0,0,0,1,0,0,0,0,1,0,0,0,0
"Fastball",10,"0","1",3,"2","1",1,0,0,0,2,2.03,18,0.323,3,-1,9,1,0,0,0,1,0,0,0,0,1,0,0,0
"Slider/Cutter",16,"0","1",4,"1","1",2,0,0,0,1,3.04,10,0.286,1,-1,6,2,0,0,0,0,1,0,0,0,0,1,0,0
"Fastball",6,"0","1",2,"0","1",0,0,0,0,0,2.09,45,0.247,6,1,11,3,0,0,0,0,1,0,0,1,0,0,0,0
"ChangeUp",24,"0","1",7,"2","2",1,0,0,0,3,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0
"ChangeUp",26,"0","1",9,"1","2",0,0,0,0,3,1.73,12,0.243,3,1,4,0,0,0,0,0,0,0,1,0,0,1,0,0
"ChangeUp",18,"0","1",5,"2","1",2,1,1,0,-1,2.06,4,0.333,2,1,5,0,0,0,0,0,1,0,0,0,1,0,0,0
"Fastball",26,"0","1",8,"1","0",0,0,0,0,3,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0
"Slider/Cutter",14,"0","1",4,"0","0",2,0,0,0,0,0,0,0.5,0,-1,0,0,0,0,1,0,0,0,0,1,0,0,0,0
"Fastball",5,"0","1",1,"3","2",2,1,1,0,0,1.76,1,0.292,0,1,2,0,0,0,0,1,0,0,0,0,0,1,0,0
"Fastball",3,"0","0",1,"0","0",2,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0
"ChangeUp",13,"0","1",4,"1","1",0,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0
"ChangeUp",11,"0","0",3,"0","1",0,0,0,0,-2,2.25,5,0.305,3,1,2,0,0,0,0,1,0,0,0,1,0,0,0,0
"ChangeUp",21,"0","1",4,"2","2",1,1,0,0,-4,1.99,47,0.295,4,-1,12,3,0,0,0,0,1,0,0,0,1,0,0,0
"Fastball",21,"0","0",3,"0","0",2,0,0,0,-7,2.37,11,0.3,0,-1,2,0,0,0,1,0,0,0,0,1,0,0,0,0
"Slider/Cutter",12,"0","1",4,"1","2",0,0,0,0,2,2.14,57,0.283,13,-1,10,2,0,0,0,0,1,0,0,0,0,0,0,1
"Fastball",18,"0","1",4,"0","0",1,0,0,0,2,2.03,43,0.282,7,1,10,3,0,0,1,0,0,0,0,1,0,0,0,0
"Fastball",4,"0","1",1,"0","1",2,1,0,0,1,2.16,34,0.273,10,-1,8,1,0,0,0,0,1,0,0,1,0,0,0,0
"ChangeUp",16,"0","1",4,"0","0",2,0,0,0,7,3.66,6,0.151,1,-1,4,2,0,0,1,0,0,0,0,1,0,0,0,0
"Fastball",19,"0","1",6,"0","2",0,0,0,0,0,2.11,2,0.275,0,-1,11,3,0,0,0,0,1,0,0,0,1,0,0,0
"Fastball",1,"0","1",1,"1","1",0,0,0,0,0,2.2,87,0.274,16,-1,12,4,0,0,0,0,1,0,0,0,0,1,0,0
"Fastball",19,"0","1",5,"1","0",0,0,1,1,1,1.76,2,0.2,1,1,2,0,0,0,0,0,0,0,1,1,0,0,0,0
"Slider/Cutter",12,"0","1",3,"0","2",2,0,0,0,-1,2.01,75,0.284,23,1,10,2,0,0,0,0,0,0,1,0,0,0,0,1
"Fastball",28,"0","1",8,"1","0",0,0,0,0,2,3.27,19,0.235,8,1,5,2,0,0,0,0,1,0,0,1,0,0,0,0
"Slider/Cutter",12,"0","1",3,"2","2",1,1,1,0,6,3.66,19,0.241,2,-1,4,2,0,0,0,0,1,0,0,0,0,1,0,0
"Fastball",23,"0","1",6,"0","1",1,1,0,0,2,0,0,0.133,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0
