"pitch_type","batter_num","pitch_rl","bat_rl","inning","balls","strikes","out","on_1b","on_2b","on_3b","score_diff","era","rbi","avg","hr","pitcher_at_home","pitcher_wins","pitcher_losses","batter_wins","batter_losses","prev_pitch_type0","prev_pitch_typeChangeUp","prev_pitch_typeCurveBall","prev_pitch_typeFastball","prev_pitch_typeOthers","prevprev_pitch_type0","prevprev_pitch_typeChangeUp","prevprev_pitch_typeCurveBall","prevprev_pitch_typeFastball","prevprev_pitch_typeOthers"
"Fastball",24,"1","0",6,"0","1",2,1,1,0,2,4.02,50,0.24,5,1,5,2,0,0,0,1,0,0,0,1,0,0,0,0
"CurveBall",20,"1","0",6,"0","0",0,0,0,0,1,4.41,35,0.336,2,-1,3,1,0,0,1,0,0,0,0,1,0,0,0,0
"Fastball",1,"1","1",1,"0","0",0,0,0,0,0,3.84,25,0.275,5,-1,6,2,0,0,1,0,0,0,0,1,0,0,0,0
"Fastball",4,"1","1",2,"0","2",0,0,0,0,0,3.26,5,0.317,2,-1,5,1,0,0,0,0,0,1,0,0,0,0,1,0
"Fastball",24,"1","0",7,"1","1",0,1,0,0,2,3.13,23,0.237,6,1,2,2,0,0,0,0,0,1,0,0,0,0,1,0
"CurveBall",16,"1","1",4,"0","1",0,1,0,0,1,3.65,1,0.333,0,-1,2,1,0,0,0,0,0,1,0,1,0,0,0,0
"Fastball",21,"1","1",6,"0","0",2,0,0,0,1,3.55,13,0.256,3,-1,1,2,0,0,1,0,0,0,0,1,0,0,0,0
"Fastball",14,"1","0",3,"1","0",1,0,1,0,-6,3.26,15,0.302,4,-1,5,1,0,0,0,1,0,0,0,1,0,0,0,0
"CurveBall",17,"1","1",4,"0","2",2,0,0,0,-1,3.29,4,0.27,0,1,1,1,0,0,0,0,0,1,0,0,0,0,1,0
"CurveBall",11,"1","1",3,"1","2",2,0,0,0,1,0,0,0,0,-1,0,0,0,0,0,0,1,0,0,0,0,0,1,0
"Fastball",18,"1","1",5,"0","0",2,0,0,0,0,3.55,0,0,0,-1,1,2,2,1,1,0,0,0,0,1,0,0,0,0
"Fastball",18,"1","1",6,"0","1",0,0,0,0,0,4.5,0,0,0,-1,1,2,2,2,0,0,0,1,0,1,0,0,0,0
"Fastball",7,"1","1",2,"0","0",1,1,0,0,1,0,0,0,0,-1,0,0,0,0,1,0,0,0,0,1,0,0,0,0
"CurveBall",6,"1","0",2,"2","2",1,0,0,0,2,1.5,23,0.257,10,-1,0,1,0,0,0,0,0,1,0,0,1,0,0,0
"Fastball",16,"1","1",5,"0","1",0,0,0,0,1,4.02,35,0.258,3,1,5,2,0,0,0,0,0,1,0,1,0,0,0,0
"Fastball",18,"1","1",5,"1","2",0,0,0,0,0,3.84,0,0.121,0,-1,6,2,10,7,0,0,0,1,0,0,0,0,1,0
"Fastball",22,"1","1",7,"0","0",0,0,0,0,-1,4.11,19,0.275,8,-1,6,2,0,0,1,0,0,0,0,1,0,0,0,0
"Fastball",8,"1","0",2,"1","2",0,0,0,0,-3,3.21,3,0.179,0,1,0,1,0,0,0,0,1,0,0,0,0,1,0,0
"Fastball",9,"1","1",3,"2","1",0,0,0,0,0,3.55,0,0,0,-1,1,2,2,1,0,0,0,1,0,0,0,1,0,0
"Fastball",28,"1","0",6,"0","1",2,1,1,0,-1,3.38,26,0.208,3,-1,2,1,0,0,0,1,0,0,0,1,0,0,0,0
"Fastball",11,"1","0",4,"1","0",0,0,0,0,0,3.59,51,0.266,10,1,4,1,0,0,0,0,1,0,0,1,0,0,0,0
"Fastball",6,"1","1",2,"0","0",1,0,0,0,0,4.41,29,0.246,6,-1,3,1,0,0,1,0,0,0,0,1,0,0,0,0
"Fastball",12,"1","0",4,"2","2",0,0,0,0,13,0,5,0.357,2,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0
"CurveBall",16,"1","1",4,"2","2",1,0,1,1,-3,2.93,8,0.319,2,-1,2,2,0,0,0,0,0,1,0,0,0,1,0,0
"Fastball",7,"1","0",2,"0","0",0,0,0,0,-1,4.11,51,0.239,5,-1,6,2,0,0,1,0,0,0,0,1,0,0,0,0
"CurveBall",4,"1","1",1,"1","2",1,1,0,1,0,5.68,5,0.291,0,-1,0,2,0,0,0,0,0,1,0,0,0,0,1,0
"CurveBall",24,"1","1",7,"1","2",1,1,0,0,1,3.59,54,0.247,13,1,4,1,0,0,0,0,0,1,0,0,0,1,0,0
"Fastball",6,"1","1",2,"0","1",1,1,0,0,0,3.26,31,0.271,9,-1,5,1,0,0,0,0,0,1,0,1,0,0,0,0
"Fastball",7,"1","1",2,"0","1",1,0,0,1,-1,3.38,51,0.238,12,-1,2,1,0,0,0,0,1,0,0,1,0,0,0,0
"CurveBall",7,"1","1",1,"1","1",2,0,0,1,-3,3.21,5,0.406,1,1,0,1,0,0,0,0,1,0,0,0,0,0,1,0
"Fastball",2,"1","1",1,"0","1",1,0,0,0,0,3.26,86,0.29,27,-1,5,1,0,0,0,0,1,0,0,1,0,0,0,0
"Fastball",6,"1","1",2,"1","0",1,0,0,1,0,3.38,23,0.23,6,-1,2,1,0,0,0,0,1,0,0,1,0,0,0,0
"Fastball",5,"1","1",1,"0","2",1,0,0,1,-2,3.65,36,0.254,15,-1,2,1,0,0,0,0,0,1,0,0,0,1,0,0
"Fastball",14,"1","1",4,"0","1",1,0,1,0,-1,4.11,53,0.263,10,-1,6,2,0,0,0,0,0,1,0,1,0,0,0,0
"CurveBall",26,"1","1",8,"1","0",0,0,0,0,2,4.41,48,0.282,5,-1,3,1,0,0,0,0,0,1,0,1,0,0,0,0
"Fastball",12,"1","0",4,"3","2",0,0,0,0,13,0,5,0.357,2,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0
"Fastball",12,"1","1",3,"1","0",1,1,0,0,0,4.25,82,0.242,28,1,3,1,0,0,0,0,0,1,0,1,0,0,0,0
"CurveBall",17,"1","1",5,"1","2",1,0,1,0,1,3.59,0,0.121,0,1,4,1,8,11,0,0,1,0,0,0,0,1,0,0
"Fastball",1,"1","0",1,"2","1",0,0,0,0,0,3.65,29,0.292,3,-1,2,1,0,0,0,0,0,1,0,0,0,0,1,0
"CurveBall",14,"1","0",4,"1","2",2,0,0,0,1,0,2,0.25,0,-1,0,0,0,0,0,0,0,1,0,0,0,1,0,0
"Fastball",6,"1","0",2,"0","0",0,0,0,0,-1,4.25,21,0.279,3,1,3,1,0,0,1,0,0,0,0,1,0,0,0,0
"Fastball",4,"1","0",1,"1","1",0,0,1,0,-2,3.29,31,0.294,6,1,1,1,0,0,0,0,0,1,0,0,0,0,1,0
"CurveBall",11,"1","1",3,"0","2",0,0,0,0,0,4.25,87,0.292,31,1,3,1,0,0,0,0,0,1,0,0,1,0,0,0
"Fastball",7,"1","0",2,"0","1",0,0,0,0,-1,5.68,2,0.161,0,-1,0,2,0,0,0,0,0,1,0,1,0,0,0,0
"CurveBall",20,"1","1",5,"0","0",0,1,0,0,1,3.65,49,0.311,12,-1,2,1,0,0,1,0,0,0,0,1,0,0,0,0
"Fastball",1,"1","0",1,"0","2",0,0,0,0,0,4.41,35,0.336,2,-1,3,1,0,0,0,0,0,1,0,0,0,0,1,0
"Fastball",12,"1","1",3,"0","0",1,1,0,0,0,4.25,82,0.242,28,1,3,1,0,0,1,0,0,0,0,1,0,0,0,0
"Fastball",18,"1","1",4,"1","0",2,1,0,0,-2,3.38,0,0.152,0,-1,2,1,8,4,0,0,0,1,0,1,0,0,0,0
"CurveBall",6,"1","1",2,"1","2",1,1,0,0,0,3.59,54,0.247,13,1,4,1,0,0,0,0,0,1,0,0,0,0,1,0
"CurveBall",25,"1","1",7,"0","0",2,0,0,0,1,0,0,0,0,-1,0,0,0,0,1,0,0,0,0,1,0,0,0,0
"Fastball",24,"1","0",7,"0","1",0,1,0,0,2,3.13,23,0.237,6,1,2,2,0,0,0,0,0,1,0,1,0,0,0,0
"CurveBall",18,"1","1",5,"1","2",2,0,0,0,-1,4.11,2,0.109,0,-1,6,2,10,7,0,0,0,1,0,0,0,0,1,0
"Fastball",20,"1","1",4,"0","0",1,0,1,0,-1,4.25,87,0.292,31,1,3,1,0,0,1,0,0,0,0,1,0,0,0,0
"Fastball",2,"1","1",1,"1","1",0,1,0,0,0,2.89,8,0.333,0,1,3,2,0,0,0,0,0,1,0,0,0,0,1,0
"CurveBall",21,"1","1",4,"0","2",2,1,0,0,-6,3.26,38,0.265,10,-1,5,1,0,0,0,0,1,0,0,0,0,0,1,0
"Fastball",9,"1","1",3,"0","0",0,1,1,0,0,1.29,0,0,0,1,0,0,0,1,1,0,0,0,0,1,0,0,0,0
"Fastball",14,"1","1",3,"0","1",2,1,0,1,0,4.5,6,0.382,3,-1,1,0,0,0,0,0,1,0,0,1,0,0,0,0
"Fastball",12,"1","0",4,"2","0",0,1,0,0,0,2.93,16,0.343,4,-1,2,2,0,0,0,0,0,1,0,0,0,0,1,0
"CurveBall",7,"1","1",2,"1","2",1,0,0,1,-1,3.38,51,0.238,12,-1,2,1,0,0,0,0,0,1,0,0,0,0,1,0
"CurveBall",6,"1","1",2,"1","2",1,0,0,0,0,4.5,8,0.18,3,-1,1,2,0,0,0,0,0,1,0,0,0,0,1,0
"Fastball",6,"1","1",2,"0","0",0,0,0,0,-1,4.11,40,0.261,3,-1,6,2,0,0,1,0,0,0,0,1,0,0,0,0
"Fastball",3,"1","0",1,"0","0",1,0,0,0,1,0,2,0.25,0,-1,0,0,0,0,1,0,0,0,0,1,0,0,0,0
"Fastball",6,"1","0",2,"0","1",0,0,0,0,-1,4.25,21,0.279,3,1,3,1,0,0,0,0,0,1,0,1,0,0,0,0
"Fastball",3,"1","0",1,"1","2",1,0,0,0,1,0,2,0.25,0,-1,0,0,0,0,0,0,1,0,0,0,0,1,0,0
"CurveBall",22,"1","1",5,"0","2",1,1,0,0,-2,3.38,57,0.248,18,-1,2,1,0,0,0,0,1,0,0,0,0,0,1,0
"CurveBall",18,"1","1",4,"0","0",1,1,1,0,-5,3.21,0,0,0,1,0,1,1,0,1,0,0,0,0,1,0,0,0,0
"Fastball",6,"1","1",1,"1","2",2,0,0,1,-2,3.65,28,0.225,5,-1,2,1,0,0,0,0,0,1,0,0,0,0,1,0
"Fastball",12,"1","1",3,"2","2",0,1,0,0,0,3.65,81,0.337,22,-1,2,1,0,0,0,0,0,1,0,0,1,0,0,0
"Fastball",7,"1","1",3,"0","1",0,0,0,0,0,1.29,0,0.174,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0
"CurveBall",2,"1","0",1,"0","1",1,0,0,0,0,1.29,7,0.25,1,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0
"Fastball",18,"1","1",6,"0","0",0,0,0,0,0,4.5,0,0,0,-1,1,2,2,2,1,0,0,0,0,1,0,0,0,0
"CurveBall",21,"1","1",6,"2","2",2,0,0,0,1,3.59,70,0.256,22,1,4,1,0,0,0,0,1,0,0,0,0,0,1,0
"CurveBall",21,"1","1",6,"2","1",2,0,0,0,1,3.59,70,0.256,22,1,4,1,0,0,0,0,0,1,0,0,0,0,1,0
"Fastball",6,"1","1",1,"1","0",2,1,0,1,-1,3.13,18,0.238,6,1,2,2,0,0,0,0,1,0,0,1,0,0,0,0
"Fastball",6,"1","0",2,"1","0",2,1,0,0,0,4.02,50,0.24,5,1,5,2,0,0,0,0,0,1,0,1,0,0,0,0
"CurveBall",10,"1","0",3,"1","0",1,0,0,0,0,3.55,17,0.234,3,-1,1,2,0,0,0,0,1,0,0,1,0,0,0,0
"CurveBall",9,"1","1",3,"0","2",0,0,0,0,-1,3.38,0,0.152,0,-1,2,1,8,4,0,0,0,1,0,0,0,0,1,0
"CurveBall",18,"1","0",5,"2","2",0,0,0,0,3,5.68,2,0.283,1,-1,0,2,0,0,0,0,1,0,0,0,0,0,1,0
"Fastball",19,"1","0",5,"0","1",1,0,0,0,-1,2.89,1,0.228,0,1,3,2,0,0,0,0,0,1,0,1,0,0,0,0
"CurveBall",16,"1","0",4,"0","2",1,0,0,0,0,5.68,2,0.161,0,-1,0,2,0,0,0,0,0,1,0,0,1,0,0,0
"CurveBall",12,"1","0",4,"0","0",1,0,0,0,0,4.5,24,0.318,9,-1,1,2,0,0,1,0,0,0,0,1,0,0,0,0
"Fastball",13,"1","0",4,"1","1",0,0,0,0,-1,0,16,0.258,3,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0
"Fastball",18,"1","0",5,"1","0",0,0,0,0,-1,2.89,14,0.24,3,1,3,2,0,0,0,0,1,0,0,1,0,0,0,0
"CurveBall",20,"1","0",6,"0","1",0,0,0,0,1,4.41,35,0.336,2,-1,3,1,0,0,0,0,1,0,0,1,0,0,0,0
"Fastball",17,"1","1",5,"0","0",1,0,1,0,1,3.59,0,0.121,0,1,4,1,8,11,1,0,0,0,0,1,0,0,0,0
"CurveBall",26,"1","1",7,"1","1",0,1,0,1,1,3.13,11,0.258,6,1,2,2,0,0,0,0,0,1,0,0,1,0,0,0
"Fastball",23,"1","0",7,"3","1",0,0,0,0,1,0,2,0.25,0,-1,0,0,0,0,0,0,0,1,0,0,0,0,1,0
"CurveBall",12,"1","1",3,"0","0",2,1,0,0,1,1.5,55,0.254,13,-1,0,1,0,0,1,0,0,0,0,1,0,0,0,0
"Fastball",7,"1","1",3,"3","2",0,0,0,0,0,4.02,35,0.258,3,1,5,2,0,0,0,0,1,0,0,0,0,0,1,0
"Fastball",15,"1","0",5,"0","0",0,0,0,0,1,0,0,1,0,-1,0,0,0,0,1,0,0,0,0,1,0,0,0,0
"CurveBall",12,"1","1",3,"1","0",2,0,0,0,-1,0,41,0.266,9,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0
"CurveBall",15,"1","1",4,"2","2",1,0,0,1,12,0,4,0.313,2,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0
"Fastball",4,"1","0",1,"2","2",2,0,1,0,0,0,16,0.258,3,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0
"Fastball",24,"1","0",5,"0","0",2,0,0,0,1,4.25,21,0.279,3,1,3,1,0,0,1,0,0,0,0,1,0,0,0,0
"Fastball",10,"1","0",3,"0","0",2,0,0,0,1,4.41,0,0.4,0,-1,3,1,1,0,1,0,0,0,0,1,0,0,0,0
"CurveBall",13,"1","1",3,"2","1",1,1,0,0,0,4.25,65,0.255,21,1,3,1,0,0,0,0,1,0,0,0,0,0,1,0
"CurveBall",3,"1","0",1,"1","1",1,0,0,0,1,0,2,0.25,0,-1,0,0,0,0,0,0,0,1,0,0,0,0,1,0
"CurveBall",17,"1","1",5,"0","0",2,0,1,0,0,4.5,0,0,0,-1,1,2,0,0,1,0,0,0,0,1,0,0,0,0
"Fastball",9,"1","1",3,"0","0",0,0,0,0,0,3.55,0,0,0,-1,1,2,2,1,1,0,0,0,0,1,0,0,0,0
"CurveBall",8,"1","1",2,"0","0",1,1,0,0,-1,3.56,61,0.239,14,1,6,2,0,0,1,0,0,0,0,1,0,0,0,0
"CurveBall",22,"1","1",5,"0","1",1,1,1,1,-4,3.56,31,0.226,7,1,6,2,0,0,0,0,1,0,0,1,0,0,0,0
"Fastball",2,"1","1",1,"0","1",0,1,0,0,0,2.89,8,0.333,0,1,3,2,0,0,0,0,0,1,0,1,0,0,0,0
"CurveBall",10,"1","0",3,"1","2",2,0,0,0,0,2.93,4,0.324,0,-1,2,2,0,0,0,0,0,1,0,0,0,0,1,0
"CurveBall",4,"1","1",1,"0","1",1,1,1,0,-1,4.11,19,0.275,8,-1,6,2,0,0,0,0,0,1,0,1,0,0,0,0
"Fastball",12,"1","1",4,"0","0",0,0,0,0,-1,3.59,70,0.256,22,1,4,1,0,0,1,0,0,0,0,1,0,0,0,0
"CurveBall",24,"1","0",5,"3","2",2,0,0,0,1,4.25,21,0.279,3,1,3,1,0,0,0,0,0,1,0,0,1,0,0,0
"Fastball",13,"1","1",3,"0","0",1,0,0,0,-1,5.68,5,0.291,0,-1,0,2,0,0,1,0,0,0,0,1,0,0,0,0
"CurveBall",5,"1","0",2,"0","0",0,0,0,0,0,4.5,9,0.391,2,-1,1,2,0,0,1,0,0,0,0,1,0,0,0,0
"Fastball",21,"1","0",5,"0","0",0,1,0,0,-7,3.21,11,0.313,4,1,0,1,0,0,1,0,0,0,0,1,0,0,0,0
"CurveBall",23,"1","1",7,"1","1",1,0,0,0,1,3.55,10,0.333,0,-1,1,2,0,0,0,0,1,0,0,0,0,0,1,0
"CurveBall",8,"1","1",2,"3","2",1,0,1,0,-3,3.26,22,0.254,2,-1,5,1,0,0,0,0,0,1,0,0,1,0,0,0
"Fastball",12,"1","1",3,"1","2",1,1,1,0,-1,3.38,59,0.254,11,-1,2,1,0,0,0,1,0,0,0,0,1,0,0,0
"Fastball",23,"1","0",7,"0","0",1,0,0,0,7,1.5,51,0.284,16,-1,0,1,0,0,1,0,0,0,0,1,0,0,0,0
"Fastball",29,"1","1",7,"0","0",0,0,0,1,-2,2.89,8,0.333,0,1,3,2,0,0,1,0,0,0,0,1,0,0,0,0
"Fastball",27,"1","1",8,"0","1",1,1,0,0,2,4.41,4,0.129,0,-1,3,1,0,0,0,0,0,1,0,1,0,0,0,0
"Fastball",4,"1","0",1,"0","0",2,1,0,1,0,2.89,22,0.257,0,1,3,2,0,0,1,0,0,0,0,1,0,0,0,0
"CurveBall",8,"1","0",2,"1","1",0,0,0,0,-3,3.21,3,0.179,0,1,0,1,0,0,0,0,1,0,0,0,0,0,1,0
"Fastball",20,"1","0",6,"3","2",0,0,0,0,12,0,1,0.308,1,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0
"CurveBall",4,"1","0",1,"2","2",2,1,0,1,0,2.89,22,0.257,0,1,3,2,0,0,0,0,0,1,0,0,0,1,0,0
"Fastball",3,"1","0",1,"1","0",2,0,0,0,0,3.26,57,0.28,10,-1,5,1,0,0,0,0,0,1,0,1,0,0,0,0
"Fastball",12,"1","0",3,"0","1",0,1,0,0,-4,3.26,57,0.28,10,-1,5,1,0,0,0,1,0,0,0,1,0,0,0,0
"Fastball",16,"1","0",3,"0","1",2,1,1,0,-2,4.25,27,0.288,1,1,3,1,0,0,0,1,0,0,0,1,0,0,0,0
"Fastball",14,"1","1",4,"0","0",1,0,0,0,0,3.55,10,0.333,0,-1,1,2,0,0,1,0,0,0,0,1,0,0,0,0
"CurveBall",18,"1","0",5,"2","1",0,0,0,0,3,5.68,2,0.283,1,-1,0,2,0,0,0,0,0,1,0,0,0,0,1,0
"Fastball",11,"1","0",3,"1","0",0,1,0,0,-1,3.38,40,0.266,7,-1,2,1,0,0,0,0,0,1,0,1,0,0,0,0
"CurveBall",23,"1","0",7,"0","0",1,0,0,0,0,4.5,9,0.391,2,-1,1,2,0,0,1,0,0,0,0,1,0,0,0,0
"Fastball",20,"1","1",5,"0","0",1,0,0,0,1,4.5,1,0.133,0,-1,1,0,0,0,1,0,0,0,0,1,0,0,0,0
"CurveBall",24,"1","0",6,"0","2",2,1,1,0,2,4.02,50,0.24,5,1,5,2,0,0,0,0,0,1,0,0,1,0,0,0
"Fastball",2,"1","1",1,"3","0",0,0,0,0,-1,3.29,47,0.271,8,1,1,1,0,0,0,0,0,1,0,0,0,0,1,0
"Fastball",9,"1","1",3,"0","0",1,0,0,0,1,4.41,4,0.129,0,-1,3,1,0,0,1,0,0,0,0,1,0,0,0,0
"CurveBall",5,"1","1",2,"0","0",0,0,0,0,0,2.93,16,0.269,6,-1,2,2,0,0,1,0,0,0,0,1,0,0,0,0
"CurveBall",24,"1","1",7,"0","1",0,0,0,0,0,1.29,0,0.15,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0
"Fastball",14,"1","1",3,"1","2",2,1,0,1,0,4.5,6,0.382,3,-1,1,0,0,0,0,0,0,1,0,0,0,0,1,0
"CurveBall",10,"1","1",2,"0","1",2,0,0,0,-3,3.21,2,0.171,1,1,0,1,0,0,0,0,1,0,0,1,0,0,0,0
"Fastball",9,"1","1",3,"0","0",0,0,0,0,-1,3.38,0,0.152,0,-1,2,1,8,4,1,0,0,0,0,1,0,0,0,0
"CurveBall",3,"1","1",1,"1","1",1,0,1,0,0,3.55,13,0.256,3,-1,1,2,0,0,0,0,1,0,0,0,0,0,1,0
"CurveBall",2,"1","0",1,"0","2",1,0,0,0,0,4.5,6,0.182,0,-1,1,2,0,0,0,0,1,0,0,0,0,0,1,0
"Fastball",1,"1","0",1,"0","0",0,0,0,0,0,0,4,0.343,1,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0
"Fastball",4,"1","0",1,"0","0",0,0,1,0,-2,3.29,31,0.294,6,1,1,1,0,0,1,0,0,0,0,1,0,0,0,0
"Fastball",26,"1","1",6,"0","0",0,1,1,0,-1,3.38,8,0.24,3,-1,2,1,0,0,1,0,0,0,0,1,0,0,0,0
"CurveBall",3,"1","0",1,"0","1",0,1,1,0,0,0,5,0.357,2,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0
"Fastball",18,"1","1",5,"1","2",2,1,0,0,1,4.41,4,0.129,0,-1,3,1,0,0,0,0,0,1,0,0,0,1,0,0
