"pitch_type","batter_num","pitch_rl","bat_rl","inning","balls","strikes","out","on_1b","on_2b","on_3b","score_diff","era","rbi","avg","hr","pitcher_at_home","pitcher_wins","pitcher_losses","batter_wins","batter_losses","prev_pitch_type0","prev_pitch_typeCH","prev_pitch_typeCU","prev_pitch_typeEP","prev_pitch_typeFC","prev_pitch_typeFF","prev_pitch_typeFT","prev_pitch_typeSL","prevprev_pitch_type0","prevprev_pitch_typeCH","prevprev_pitch_typeCU","prevprev_pitch_typeEP","prevprev_pitch_typeFC","prevprev_pitch_typeFF","prevprev_pitch_typeFT","prevprev_pitch_typeSL"
"SL",3,"1","1",1,"0","0",2,0,0,0,0,2.72,39,0.239,8,1,13,8,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"SL",6,"1","0",2,"1","2",1,1,0,0,0,1.61,32,0.261,7,1,14,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
"FF",27,"1","0",8,"3","1",1,0,0,0,0,2.79,9,0.26,1,-1,13,8,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0
"FF",25,"1","0",5,"1","1",2,1,1,0,3,5.15,15,0.258,4,-1,3,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0
"SL",20,"1","1",6,"1","2",0,1,0,0,1,1.68,17,0.259,5,1,18,3,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
"FF",23,"1","0",6,"3","0",2,1,0,0,3,1.37,27,0.295,5,1,9,2,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
"FT",7,"1","0",2,"0","1",1,0,0,0,0,2.65,6,0.313,1,1,8,3,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0
"FF",1,"1","0",1,"0","1",0,0,0,0,0,0,1,0.25,0,-1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0
"FT",5,"1","1",2,"1","1",0,0,0,0,2,2.74,43,0.288,15,1,16,8,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0
"CH",20,"1","0",5,"1","2",2,0,0,1,2,1.97,30,0.308,8,1,5,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
"CH",17,"1","0",4,"1","2",0,0,1,0,3,1.35,9,0.215,3,1,3,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
"FT",5,"1","1",2,"1","2",1,0,0,0,0,4.71,16,0.233,6,-1,6,3,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0
"FF",29,"1","0",6,"0","0",2,0,0,0,3,15.75,2,0.25,0,-1,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"FF",7,"1","0",2,"2","1",2,1,0,0,0,1.48,23,0.279,3,1,7,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
"SL",5,"1","1",2,"2","0",0,0,0,0,0,2.79,45,0.198,9,-1,13,8,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0
"FF",11,"1","0",3,"0","1",0,0,0,0,-1,2.18,29,0.276,10,1,8,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0
"FF",9,"1","1",3,"2","2",0,1,1,0,4,1.48,0,0,0,-1,5,1,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
"FF",9,"1","0",2,"3","1",1,0,0,0,-2,2.64,0,0.059,0,-1,15,8,4,3,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
"FT",25,"1","1",6,"2","1",1,1,1,0,-2,2.18,17,0.246,4,1,8,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
"FF",2,"1","1",1,"1","0",0,0,0,0,0,2.71,53,0.307,12,-1,12,7,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0
"SL",13,"1","0",4,"0","0",2,0,0,0,11,2.73,69,0.285,16,-1,14,8,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"FF",24,"1","1",6,"1","0",0,0,0,0,3,5.25,9,0.338,0,-1,1,2,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0
"FF",18,"1","1",4,"0","0",2,1,0,1,1,1.48,0,0,0,-1,5,1,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"CH",15,"1","0",5,"0","0",1,0,0,0,11,2.73,33,0.266,4,-1,14,8,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"SL",19,"1","1",6,"0","0",0,0,0,0,-1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"FF",13,"1","0",3,"0","2",2,1,0,0,-2,2.57,40,0.291,9,-1,9,3,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0
"FF",12,"1","0",4,"0","0",0,0,0,0,-3,4.21,61,0.289,26,-1,11,4,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"FT",5,"1","1",2,"0","1",0,0,0,0,1,5.26,15,0.277,4,-1,3,3,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0
"FF",10,"1","0",3,"2","2",1,0,1,0,-1,2.79,46,0.26,9,-1,13,8,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
"FF",22,"1","1",6,"0","1",2,1,0,0,0,1.92,32,0.246,2,-1,5,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"FF",21,"1","1",6,"2","2",1,0,0,0,3,0.69,6,0.359,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"SL",22,"1","0",7,"1","2",0,0,0,0,0,1.95,31,0.307,8,1,5,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0
"SL",24,"1","1",6,"0","1",0,0,0,0,5,3.27,13,0.235,5,-1,2,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0
"FF",20,"1","0",5,"1","1",2,1,0,0,1,1.58,29,0.279,4,1,6,2,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0
"SL",2,"1","1",1,"0","2",1,0,0,0,0,1.61,60,0.302,10,1,14,3,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0
"FT",23,"1","1",6,"2","1",0,0,0,0,3,5.25,11,0.228,3,-1,1,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
"FT",21,"1","0",5,"0","0",0,1,0,0,-1,2.64,49,0.248,16,-1,15,8,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"FF",8,"1","1",2,"1","2",2,0,0,0,0,1.81,2,0.25,0,-1,5,2,5,2,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0
"FF",2,"1","1",1,"0","1",1,0,0,0,0,4.21,43,0.268,10,-1,11,4,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0
"FT",15,"1","1",4,"0","0",0,0,0,0,3,3.54,20,0.246,7,-1,10,3,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"FF",11,"1","0",3,"3","2",1,0,0,0,0,0.69,5,0.231,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
"CH",28,"1","0",7,"0","0",1,0,0,0,0,6.16,3,0.226,0,-1,2,2,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"FF",4,"1","0",1,"0","0",2,1,0,0,0,4.29,76,0.278,12,-1,11,4,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"FF",16,"1","1",5,"0","2",0,0,0,0,-1,1.65,17,0.295,1,-1,18,3,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0
"FF",10,"1","0",3,"0","2",0,0,0,0,0,6.75,10,0.232,1,-1,0,2,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0
"FF",30,"1","1",8,"2","1",1,0,0,0,-1,1.92,38,0.29,12,-1,5,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0
"FF",3,"1","1",1,"0","0",0,1,0,0,0,1.81,42,0.282,10,-1,5,2,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"CH",15,"1","0",5,"1","2",0,0,0,0,1,1.7,13,0.252,6,-1,5,2,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
"SL",17,"1","1",5,"0","1",0,1,0,0,-3,4.21,19,0.25,1,-1,11,4,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0
"FF",31,"1","1",8,"0","0",1,0,0,1,0,2.78,47,0.351,18,-1,10,4,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"FF",21,"1","0",6,"1","1",1,0,0,0,6,2.89,33,0.327,9,1,9,4,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
"FF",9,"1","1",2,"0","0",1,0,0,0,-2,2.04,0,0.375,0,-1,5,0,2,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"SL",2,"1","1",1,"1","1",1,0,0,0,0,1.65,7,0.266,1,1,11,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0
"CH",10,"1","1",3,"0","0",1,0,0,0,1,2.84,60,0.286,18,1,12,8,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"CH",11,"1","0",4,"1","0",0,0,0,0,11,2.73,16,0.313,1,-1,14,8,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0
"CH",13,"1","1",4,"1","2",0,0,0,0,-2,2.66,38,0.331,12,-1,11,4,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0
"CH",10,"1","0",3,"0","1",0,1,1,0,0,0,0,0,0,-1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"FF",25,"1","1",6,"1","0",1,0,0,1,-2,2.72,9,0.191,2,1,13,8,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0
"FF",19,"1","0",5,"0","0",2,0,0,0,-1,2.62,7,0.209,1,-1,8,2,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"FF",7,"1","0",3,"0","0",0,0,0,0,0,1.7,11,0.271,1,-1,5,2,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"SL",17,"1","1",4,"0","0",0,1,0,0,-1,4.29,57,0.285,14,-1,11,4,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"FT",23,"1","1",6,"0","0",2,0,1,1,0,2.74,42,0.287,17,1,12,6,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"CH",23,"1","0",6,"2","1",1,1,0,0,1,2.78,33,0.335,10,-1,10,4,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0
"CH",27,"1","0",7,"1","1",2,1,0,0,6,5.08,19,0.265,7,-1,4,3,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0
"CH",17,"1","0",5,"0","0",0,0,0,0,4,5.08,5,0.247,1,-1,4,3,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"CH",21,"1","0",7,"1","0",0,0,0,0,3,3.75,12,0.261,2,-1,9,3,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0
"FT",13,"1","1",4,"0","2",1,0,0,0,1,1.68,57,0.246,16,1,18,3,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
"FF",6,"1","0",2,"0","1",1,0,0,0,1,5.5,0,0.125,0,-1,2,2,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0
"FF",5,"1","1",2,"3","2",1,0,0,0,-1,0,3,0.267,1,-1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0
"CH",20,"1","0",6,"0","1",0,0,0,0,3,3.6,6,0.296,3,1,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"SL",11,"1","0",4,"2","2",0,0,0,0,0,4.54,46,0.281,10,-1,12,5,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0
"SL",26,"1","1",6,"1","2",2,0,0,1,-1,3.84,2,0.056,0,-1,8,3,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
"FF",2,"1","0",1,"0","0",1,0,0,0,0,4.29,18,0.241,5,-1,7,3,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"CH",11,"1","0",3,"0","0",2,0,0,1,1,1.5,2,0.389,0,-1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"FF",1,"1","0",1,"0","2",0,0,0,0,0,1.52,14,0.298,5,1,5,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0
"FF",18,"1","0",5,"1","0",2,0,0,0,3,2.38,1,0.278,0,-1,6,1,3,3,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"FT",13,"1","1",4,"0","1",1,0,0,0,1,3.6,4,0.381,2,1,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0
"FF",10,"1","0",4,"0","0",0,0,0,0,3,0,0,0,0,-1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"SL",13,"1","0",4,"0","0",0,0,0,0,0,2.76,8,0.241,1,1,3,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"FT",20,"1","0",6,"2","2",1,0,0,0,4,2.01,6,0.24,1,1,7,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
"FF",23,"1","0",7,"1","1",0,1,0,0,3,3.75,8,0.239,2,-1,9,3,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0
"FF",5,"1","1",2,"0","0",0,1,0,0,0,1.61,59,0.242,22,1,14,3,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"CH",1,"1","0",1,"1","0",0,0,0,0,0,1.48,18,0.257,1,1,5,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0
"FT",8,"1","0",2,"2","2",2,0,0,0,-1,1.92,13,0.205,1,-1,5,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
"SL",21,"1","0",6,"2","2",1,1,0,0,0,2.74,59,0.285,15,1,12,6,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
