"pitch_type","bat_order","pitch_rl","bat_rl","inning","balls","strikes","out","on_1b","on_2b","on_3b","score_diff","era","rbi","avg","hr","pitcher_at_home","pitcher_wins","pitcher_losses","batter_wins","batter_losses","prev_pitch_type0","prev_pitch_typeChangeUp","prev_pitch_typeCurveBall","prev_pitch_typeFastball","prevprev_pitch_type0","prevprev_pitch_typeChangeUp","prevprev_pitch_typeCurveBall","prevprev_pitch_typeFastball"
"Fastball",0,"1","1",5,"2","0",1,1,0,0,7,4.5,20,0.227,7,-1,1,1,0,0,0,0,0,1,0,0,0,1
"CurveBall",3,"1","1",1,"1","2",0,1,0,1,0,1.93,46,0.274,16,-1,1,0,0,0,0,0,0,1,0,0,1,0
"Fastball",4,"1","1",1,"0","1",2,1,1,0,0,4.5,53,0.284,20,-1,1,1,0,0,0,0,0,1,1,0,0,0
"Fastball",6,"1","0",2,"3","2",0,1,0,0,2,0,19,0.257,5,1,0,0,0,0,0,0,0,1,0,0,0,1
"ChangeUp",6,"1","1",7,"3","2",0,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,1,0,0,0,1
"Fastball",6,"1","1",2,"3","2",1,0,0,0,3,4.5,30,0.29,10,-1,1,1,0,0,0,0,0,1,0,0,1,0
"Fastball",3,"1","0",1,"1","0",0,1,0,0,0,4.5,54,0.303,19,-1,1,1,0,0,0,0,0,1,1,0,0,0
"Fastball",6,"1","0",4,"0","0",1,0,0,0,2,0,19,0.257,5,1,0,0,0,0,1,0,0,0,1,0,0,0
"ChangeUp",2,"1","0",4,"1","2",0,0,0,0,0,0,3,0.25,1,-1,0,0,0,0,0,0,0,1,0,0,1,0
"CurveBall",3,"1","1",1,"0","1",1,0,0,0,0,0,37,0.266,15,1,0,0,0,0,0,0,0,1,1,0,0,0
"Fastball",5,"1","0",7,"0","0",2,0,0,0,2,4.5,10,0.231,1,-1,0,0,0,0,1,0,0,0,1,0,0,0
"Fastball",5,"1","0",2,"1","2",1,0,0,0,0,4.5,10,0.231,1,-1,0,0,0,0,0,0,0,1,0,0,0,1
"CurveBall",2,"1","0",4,"2","2",0,0,0,0,5,4.5,27,0.258,6,-1,1,1,0,0,0,0,0,1,0,1,0,0
"ChangeUp",6,"1","0",2,"1","1",0,1,0,0,2,0,19,0.257,5,1,0,0,0,0,0,0,0,1,0,0,1,0
"CurveBall",6,"1","0",4,"0","0",0,0,0,0,3,3.5,32,0.239,13,1,1,1,0,0,1,0,0,0,1,0,0,0
"CurveBall",5,"1","0",6,"1","1",2,1,1,0,7,4.5,49,0.266,15,-1,1,1,0,0,0,0,0,1,0,0,0,1
"Fastball",3,"1","1",1,"0","1",2,0,0,0,0,0,0,0.5,0,-1,0,0,0,0,0,0,0,1,1,0,0,0
"Fastball",7,"1","0",8,"0","0",0,0,0,0,4,4.5,3,0.255,1,-1,0,0,0,0,1,0,0,0,1,0,0,0
"Fastball",4,"1","0",1,"0","0",2,1,0,0,0,0,25,0.278,13,1,0,0,0,0,1,0,0,0,1,0,0,0
"Fastball",2,"1","0",3,"2","2",1,0,0,0,2,0,26,0.244,8,1,0,0,0,0,0,0,0,1,0,1,0,0
"CurveBall",4,"1","0",6,"0","0",0,0,0,0,0,0,25,0.278,13,1,0,0,0,0,1,0,0,0,1,0,0,0
"CurveBall",4,"1","1",1,"0","1",1,1,0,0,0,3.86,45,0.303,12,1,2,1,0,0,0,0,0,1,1,0,0,0
"ChangeUp",5,"1","0",4,"0","0",2,1,0,0,0,0,0,0,0,-1,0,0,0,0,1,0,0,0,1,0,0,0
"Fastball",1,"1","1",1,"2","2",0,0,0,0,0,0,1,0.25,0,-1,0,0,0,0,0,0,1,0,0,0,0,1
"Fastball",7,"1","0",4,"1","0",1,0,1,0,0,0,0,0.111,0,1,0,0,0,0,0,0,1,0,1,0,0,0
"Fastball",8,"1","1",5,"1","1",2,0,0,0,0,4.5,10,0.205,1,-1,0,0,0,0,0,0,1,0,0,0,0,1
"CurveBall",3,"1","0",4,"0","2",1,0,0,0,5,4.5,54,0.303,19,-1,1,1,0,0,0,0,0,1,0,1,0,0
"Fastball",7,"1","1",4,"0","0",1,0,0,1,1,3.86,22,0.261,5,1,2,1,0,0,1,0,0,0,1,0,0,0
"CurveBall",4,"1","1",4,"3","2",1,0,0,0,0,4.5,40,0.282,16,-1,0,0,0,0,0,0,0,1,0,1,0,0
"Fastball",1,"1","0",5,"2","2",1,0,0,0,1,3.86,33,0.302,6,1,2,1,0,0,0,0,0,1,0,0,1,0
"Fastball",1,"1","0",1,"0","0",0,0,0,0,0,4.5,26,0.263,11,-1,1,1,0,0,1,0,0,0,1,0,0,0
"CurveBall",8,"1","1",3,"0","2",2,0,1,0,-4,1.93,18,0.254,5,-1,1,0,0,0,0,0,0,1,0,0,1,0
"CurveBall",6,"1","0",4,"1","2",0,0,1,0,2,3.86,26,0.201,5,1,2,1,0,0,0,0,1,0,0,0,0,1
"CurveBall",7,"1","0",2,"0","2",2,0,0,0,3,4.5,33,0.241,11,-1,1,1,0,0,0,0,0,1,0,0,0,1
