pitch_type,bat_order,pitch_rl,bat_rl,inning,balls,strikes,out,on_1b,on_2b,on_3b,score_diff,era,rbi,avg,hr,pitcher_at_home,pitcher_wins,pitcher_losses,batter_wins,batter_losses,prev_pitch_type0,prev_pitch_typeChangeUp,prev_pitch_typeFastball,prev_pitch_typeKnuckleBall,prev_pitch_typeSlider.Cutter,prevprev_pitch_type0,prevprev_pitch_typeChangeUp,prevprev_pitch_typeFastball,prevprev_pitch_typeKnuckleBall,prevprev_pitch_typeSlider.Cutter
Fastball,2,1,1,3,1,2,2,1,0,0,0,4.21,50,0.282,12,-1,7,4,0,0,0,0,1,0,0,0,1,0,0,0
ChangeUp,4,1,0,4,0,0,1,0,0,0,-1,1.8,1,0.176,1,-1,0,0,0,0,1,0,0,0,0,1,0,0,0,0
Fastball,5,1,0,4,1,1,1,1,0,0,-2,3.73,45,0.246,14,1,9,5,0,0,0,0,1,0,0,0,0,0,0,1
Slider/Cutter,2,1,1,1,0,0,0,1,0,0,0,3.41,61,0.24,20,1,11,5,0,0,1,0,0,0,0,1,0,0,0,0
ChangeUp,5,1,0,1,0,0,2,0,0,1,-1,3.92,51,0.281,6,1,7,5,0,0,1,0,0,0,0,1,0,0,0,0
KnuckleBall,3,1,0,4,0,0,0,0,0,0,0,3.68,15,0.288,2,-1,3,1,0,0,1,0,0,0,0,1,0,0,0,0
ChangeUp,5,1,0,2,0,0,0,0,0,0,1,4.82,34,0.226,8,-1,5,4,0,0,1,0,0,0,0,1,0,0,0,0
Slider/Cutter,6,1,0,4,3,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0
Fastball,3,1,0,6,3,0,0,0,0,0,-1,4.11,41,0.283,6,1,7,4,0,0,0,0,1,0,0,0,0,0,1,0
Fastball,2,1,0,1,1,1,1,0,0,0,0,3.97,37,0.258,6,1,7,5,0,0,0,0,1,0,0,0,0,1,0,0
Fastball,5,1,0,4,1,0,1,0,0,0,1,3.97,67,0.275,16,1,7,5,0,0,0,1,0,0,0,1,0,0,0,0
Slider/Cutter,9,1,0,7,0,1,1,1,0,0,2,4.97,3,0.3,1,-1,4,2,0,0,0,0,0,0,1,1,0,0,0,0
Fastball,9,1,1,4,0,1,1,0,0,0,-2,3.38,0,0.267,0,1,3,1,0,0,0,0,1,0,0,1,0,0,0,0
