pitch_type,bat_order,pitch_rl,bat_rl,inning,balls,strikes,out,on_1b,on_2b,on_3b,score_diff,era,rbi,avg,hr,pitcher_at_home,pitcher_wins,pitcher_losses,batter_wins,batter_losses,prev_pitch_type0,prev_pitch_typeChangeUp,prev_pitch_typeFastball,prev_pitch_typeKnuckleBall,prev_pitch_typeSlider.Cutter,prevprev_pitch_type0,prevprev_pitch_typeChangeUp,prevprev_pitch_typeFastball,prevprev_pitch_typeKnuckleBall,prevprev_pitch_typeSlider.Cutter
Fastball,5,1,1,7,1,2,0,0,0,0,0,1.8,0,0.438,0,-1,0,0,0,0,0,0,1,0,0,0,0,1,0,0
ChangeUp,3,1,1,5,0,0,0,0,0,0,-1,3.26,98,0.269,34,-1,13,5,0,0,1,0,0,0,0,1,0,0,0,0
Fastball,7,1,1,2,0,1,0,1,0,1,-1,3.36,36,0.222,11,1,12,5,0,0,0,0,1,0,0,1,0,0,0,0
Fastball,2,1,0,3,0,1,2,0,0,0,0,3.97,18,0.302,1,-1,3,2,0,0,0,0,1,0,0,1,0,0,0,0
Slider/Cutter,8,1,0,2,0,0,2,1,1,0,0,5.21,34,0.26,8,-1,9,11,0,0,1,0,0,0,0,1,0,0,0,0
Fastball,9,1,0,3,2,1,0,0,0,0,1,4.82,10,0.307,0,-1,5,4,0,0,0,1,0,0,0,0,1,0,0,0
Fastball,1,1,0,5,2,1,2,0,0,0,-2,3.73,50,0.278,15,1,9,5,0,0,0,1,0,0,0,0,0,1,0,0
Fastball,6,1,1,2,1,1,2,0,0,0,0,3.55,20,0.243,5,1,10,5,0,0,0,0,1,0,0,0,0,1,0,0
Fastball,1,1,1,1,2,0,0,0,0,0,0,3.29,13,0.287,4,1,12,5,0,0,0,0,1,0,0,0,0,1,0,0
Fastball,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0
Fastball,2,1,0,3,1,0,1,0,0,0,1,3.97,37,0.258,6,1,7,5,0,0,0,0,1,0,0,1,0,0,0,0
Fastball,5,1,0,2,0,0,0,1,0,0,6,3.36,0,0.212,0,1,11,5,0,0,1,0,0,0,0,1,0,0,0,0
Fastball,2,1,1,6,1,1,1,1,0,1,-3,4.18,19,0.264,2,1,7,4,0,0,0,0,1,0,0,0,0,0,1,0
Fastball,4,1,1,4,0,0,2,1,0,0,-3,1.71,8,0.228,1,-1,2,1,0,0,1,0,0,0,0,1,0,0,0,0
KnuckleBall,6,1,0,4,0,0,0,0,0,0,1,4.53,13,0.27,2,-1,4,2,0,0,1,0,0,0,0,1,0,0,0,0
Slider/Cutter,5,1,1,2,1,1,1,0,0,0,2,3.4,54,0.257,17,-1,11,5,0,0,0,0,0,1,0,0,0,1,0,0
ChangeUp,7,1,1,4,1,0,1,1,0,0,-2,4.91,9,0.241,3,1,5,3,0,0,0,0,1,0,0,1,0,0,0,0
Slider/Cutter,3,1,1,1,2,2,0,1,0,0,-1,3.34,20,0.308,4,-1,4,2,0,0,0,1,0,0,0,0,0,0,0,1
Fastball,9,1,0,4,0,1,2,1,0,0,4,3.36,1,0.135,1,1,11,5,0,0,0,0,1,0,0,1,0,0,0,0
Fastball,1,1,1,1,0,1,0,0,0,0,0,1.8,3,0.368,1,-1,0,0,0,0,0,0,1,0,0,1,0,0,0,0
Fastball,6,1,1,2,0,1,0,0,0,0,0,3.97,5,0.2,1,-1,3,2,0,0,0,0,1,0,0,1,0,0,0,0
Fastball,1,1,0,7,0,0,1,1,0,0,-1,4.11,36,0.281,8,1,7,4,0,0,1,0,0,0,0,1,0,0,0,0
ChangeUp,8,1,1,4,1,2,2,0,1,0,-2,4.91,6,0.277,2,1,5,3,0,0,0,0,1,0,0,0,0,0,1,0
KnuckleBall,5,1,1,6,1,2,2,0,0,0,0,4.21,25,0.273,3,-1,7,4,0,0,0,0,1,0,0,0,0,1,0,0
KnuckleBall,8,1,0,6,0,0,0,0,0,0,-2,3.26,13,0.223,2,-1,13,5,0,0,1,0,0,0,0,1,0,0,0,0
Fastball,1,1,0,5,1,1,2,1,1,0,2,3.97,8,0.26,0,-1,3,2,0,0,0,0,0,1,0,0,0,1,0,0
Fastball,1,1,1,3,1,1,2,0,0,0,1,3.68,51,0.28,19,1,16,5,0,0,0,0,1,0,0,0,0,1,0,0
ChangeUp,9,1,0,4,2,1,1,1,1,0,3,0.84,0,0,0,-1,1,1,0,0,0,1,0,0,0,0,0,0,1,0
Fastball,7,1,1,4,1,1,1,0,0,0,0,4.03,33,0.25,5,-1,7,5,0,0,0,0,1,0,0,0,0,0,0,1
Slider/Cutter,3,1,0,6,0,0,0,0,0,0,1,3.68,15,0.288,2,-1,3,1,0,0,1,0,0,0,0,1,0,0,0,0
Slider/Cutter,7,1,1,3,0,1,0,1,0,1,-1,1.35,3,0.077,0,1,1,0,0,0,0,0,1,0,0,1,0,0,0,0
Slider/Cutter,8,1,0,2,0,0,0,1,0,0,-3,3.46,25,0.208,8,1,15,4,0,0,1,0,0,0,0,1,0,0,0,0
Fastball,6,1,0,2,3,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0
Fastball,5,1,1,3,2,2,1,1,1,0,-1,5.2,23,0.265,6,1,5,2,0,0,0,0,1,0,0,0,0,1,0,0
Fastball,4,1,1,4,3,1,0,0,0,0,-1,5.21,60,0.283,16,-1,9,11,0,0,0,0,0,0,1,0,0,1,0,0
Fastball,2,1,0,5,2,1,0,1,1,0,3,3.4,23,0.26,3,-1,11,5,0,0,0,0,0,1,0,0,0,0,1,0
Fastball,6,1,0,7,0,0,2,1,0,0,4,3.68,46,0.309,5,-1,9,5,0,0,1,0,0,0,0,1,0,0,0,0
ChangeUp,2,1,1,3,2,1,0,1,0,0,0,5.2,17,0.288,5,1,5,2,0,0,0,0,1,0,0,0,0,1,0,0
Fastball,1,1,0,4,1,0,1,0,0,0,-4,4.18,29,0.251,7,1,7,4,0,0,0,0,0,0,1,1,0,0,0,0
KnuckleBall,1,1,0,2,0,0,1,0,1,0,-1,3.92,30,0.29,11,1,7,5,0,0,1,0,0,0,0,1,0,0,0,0
Fastball,9,1,0,4,0,0,0,1,1,0,-1,5.2,7,0.241,0,1,5,2,0,0,1,0,0,0,0,1,0,0,0,0
Fastball,0,1,0,6,0,0,0,1,0,0,9,3.78,5,0.177,0,1,8,5,0,0,1,0,0,0,0,1,0,0,0,0
ChangeUp,2,1,1,1,0,1,1,0,0,0,0,3.68,10,0.294,4,-1,3,1,0,0,0,0,0,0,1,1,0,0,0,0
KnuckleBall,9,1,0,2,0,1,2,1,0,1,-1,3.36,1,0.571,0,1,12,5,0,0,0,1,0,0,0,1,0,0,0,0
Slider/Cutter,6,1,0,2,0,1,2,0,0,0,0,2.61,9,0.223,3,-1,6,1,0,0,0,0,1,0,0,1,0,0,0,0
Fastball,8,1,0,4,2,2,0,0,0,0,-4,4.18,17,0.278,3,1,7,4,0,0,0,0,1,0,0,0,0,1,0,0
ChangeUp,7,1,0,4,1,1,2,1,0,1,1,4.82,16,0.225,4,-1,5,4,0,0,0,0,1,0,0,0,0,1,0,0
KnuckleBall,1,1,0,2,0,1,0,0,0,0,-1,1.35,2,0.368,0,1,1,0,0,0,0,0,1,0,0,1,0,0,0,0
Fastball,1,1,0,2,3,1,0,1,0,0,-4,4.63,18,0.28,6,-1,5,2,0,0,0,0,1,0,0,0,0,1,0,0
Fastball,5,1,1,2,0,1,0,0,1,0,0,3.78,47,0.254,15,1,8,5,0,0,0,0,1,0,0,1,0,0,0,0
Fastball,5,1,0,1,0,1,0,1,0,0,-2,3.29,30,0.268,4,1,12,5,0,0,0,0,1,0,0,1,0,0,0,0
Fastball,5,1,1,1,0,0,1,0,0,0,-2,3.46,49,0.241,19,1,15,4,0,0,1,0,0,0,0,1,0,0,0,0
Fastball,8,1,0,2,3,2,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0
Fastball,9,1,0,3,0,0,0,0,0,0,1,4.54,35,0.249,5,1,9,7,0,0,1,0,0,0,0,1,0,0,0,0
Slider/Cutter,8,1,1,7,1,0,2,1,0,0,0,1.8,0,0,0,-1,0,0,0,0,0,0,1,0,0,1,0,0,0,0
Fastball,5,1,1,4,2,2,1,0,0,0,-1,4.11,65,0.238,20,-1,7,5,0,0,0,1,0,0,0,0,0,0,0,1
KnuckleBall,6,1,1,7,1,2,1,0,0,0,8,3.55,20,0.243,5,1,10,5,0,0,0,0,1,0,0,0,0,0,1,0
ChangeUp,2,1,0,2,1,2,1,0,1,0,-1,1.35,2,0.111,0,1,1,0,0,0,0,0,1,0,0,0,0,1,0,0
ChangeUp,1,1,1,2,0,0,2,1,1,1,0,4.97,17,0.324,2,-1,4,2,0,0,1,0,0,0,0,1,0,0,0,0
Fastball,3,1,0,1,2,0,2,0,0,0,0,4.11,41,0.283,6,1,7,4,0,0,0,0,1,0,0,0,0,1,0,0
Fastball,6,1,1,4,0,0,0,0,0,0,4,3.36,0,0,0,1,11,5,0,0,1,0,0,0,0,1,0,0,0,0
Fastball,1,1,0,5,0,0,1,0,0,0,-1,4.11,36,0.281,8,1,7,4,0,0,1,0,0,0,0,1,0,0,0,0
Fastball,6,1,0,6,2,0,1,0,0,1,2,4.97,14,0.178,4,-1,4,2,0,0,0,0,0,1,0,0,0,0,1,0
Fastball,6,1,0,2,0,0,1,0,0,0,1,4.82,23,0.223,7,-1,5,4,0,0,1,0,0,0,0,1,0,0,0,0
ChangeUp,7,1,0,7,0,0,2,0,0,0,3,3.97,17,0.161,4,-1,3,2,0,0,1,0,0,0,0,1,0,0,0,0
Fastball,1,1,0,3,3,1,1,0,0,0,0,3.97,8,0.26,0,-1,3,2,0,0,0,0,1,0,0,0,0,1,0,0
Fastball,4,1,0,1,0,0,2,1,0,0,0,4.82,35,0.25,12,-1,5,4,0,0,1,0,0,0,0,1,0,0,0,0
KnuckleBall,7,1,0,4,0,0,2,0,0,0,-1,4.11,20,0.246,5,1,7,4,0,0,1,0,0,0,0,1,0,0,0,0
ChangeUp,8,1,0,4,0,0,1,0,0,0,0,4.97,7,0.149,2,-1,4,2,0,0,1,0,0,0,0,1,0,0,0,0
Slider/Cutter,1,1,1,1,3,1,0,0,0,0,0,3.8,14,0.276,1,1,3,1,0,0,0,0,1,0,0,0,0,1,0,0
KnuckleBall,5,1,0,3,0,0,2,0,1,0,0,4.03,50,0.279,6,-1,7,5,0,0,1,0,0,0,0,1,0,0,0,0
Fastball,3,1,1,1,0,0,0,1,0,0,-1,3.34,20,0.308,4,-1,4,2,0,0,1,0,0,0,0,1,0,0,0,0
Fastball,6,1,0,3,3,2,1,1,1,1,-4,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0
Fastball,6,1,0,2,0,0,1,0,1,0,0,3.78,12,0.225,2,1,8,5,0,0,1,0,0,0,0,1,0,0,0,0
KnuckleBall,7,1,1,2,0,2,2,0,0,0,0,4.21,53,0.243,15,-1,7,4,0,0,0,0,1,0,0,0,0,1,0,0
KnuckleBall,2,1,1,4,1,0,2,0,0,0,-2,3.26,103,0.29,35,-1,13,5,0,0,0,0,0,1,0,1,0,0,0,0
Fastball,2,1,1,1,0,0,1,0,0,0,1,3.68,58,0.285,11,-1,9,5,0,0,1,0,0,0,0,1,0,0,0,0
Fastball,9,1,0,3,3,2,0,0,0,0,6,3.36,1,0.135,1,1,11,5,0,0,0,0,0,1,0,0,0,1,0,0
ChangeUp,6,1,0,1,0,0,0,0,0,1,-4,3.34,13,0.25,3,-1,4,2,0,0,1,0,0,0,0,1,0,0,0,0
Slider/Cutter,1,1,0,5,0,0,0,0,0,0,0,4.03,26,0.288,11,-1,7,5,0,0,1,0,0,0,0,1,0,0,0,0
Fastball,8,1,0,5,1,0,2,1,1,0,3,0.84,7,0.227,0,-1,1,1,0,0,0,0,0,1,0,1,0,0,0,0
Slider/Cutter,4,1,1,2,1,1,0,0,0,0,-1,3.36,57,0.278,11,1,12,5,0,0,0,0,1,0,0,0,0,1,0,0
KnuckleBall,7,1,0,4,0,0,1,0,0,0,4,3.36,0,0.148,0,1,11,5,0,0,1,0,0,0,0,1,0,0,0,0
Fastball,7,1,0,4,0,0,1,0,0,0,0,3.29,30,0.202,1,1,12,5,0,0,1,0,0,0,0,1,0,0,0,0
Slider/Cutter,6,1,1,4,2,1,1,0,0,0,3,3.4,35,0.232,9,-1,11,5,0,0,0,0,0,0,1,0,0,0,0,1
Fastball,4,1,1,3,1,1,0,0,0,0,-1,1.35,5,0.3,2,1,1,0,0,0,0,0,1,0,0,0,0,1,0,0
Fastball,3,1,1,1,3,2,1,0,0,0,1,0.84,1,0.231,0,-1,1,1,0,0,0,0,1,0,0,0,1,0,0,0
Fastball,4,1,1,1,0,1,2,1,0,0,0,1.35,0,0.162,0,1,1,0,0,0,0,0,1,0,0,1,0,0,0,0
Fastball,1,1,0,1,0,0,0,0,0,0,0,3.84,22,0.247,6,-1,16,6,0,0,1,0,0,0,0,1,0,0,0,0
Fastball,6,1,1,6,0,0,0,1,0,0,1,4.03,44,0.293,4,-1,7,5,0,0,1,0,0,0,0,1,0,0,0,0
Fastball,8,1,0,7,2,2,1,0,1,0,0,3.36,21,0.156,6,1,12,5,0,0,0,0,0,1,0,0,0,1,0,0
KnuckleBall,9,1,0,4,2,2,1,1,1,0,3,0.84,0,0,0,-1,1,1,0,0,0,0,1,0,0,0,1,0,0,0
Slider/Cutter,8,1,0,7,2,1,0,0,0,0,2,4.97,7,0.149,2,-1,4,2,0,0,0,1,0,0,0,0,0,0,0,1
Slider/Cutter,4,1,1,6,2,2,1,0,0,0,-1,5.21,60,0.283,16,-1,9,11,0,0,0,0,1,0,0,0,0,0,0,1
ChangeUp,1,1,0,3,0,1,0,0,0,0,-1,4.91,18,0.266,4,1,5,3,0,0,0,0,0,0,1,1,0,0,0,0
Fastball,4,1,0,9,3,2,0,0,0,0,2,1.8,1,0.176,1,-1,0,0,0,0,0,0,1,0,0,0,1,0,0,0
Fastball,5,1,1,2,1,2,0,0,1,0,0,3.78,47,0.254,15,1,8,5,0,0,0,1,0,0,0,0,0,1,0,0
Slider/Cutter,8,1,1,5,2,1,1,0,1,0,-1,1.8,0,0,0,-1,0,0,0,0,0,0,1,0,0,0,0,1,0,0
Fastball,8,1,0,2,0,0,1,0,0,0,-1,4.03,5,0.31,0,-1,7,5,0,0,1,0,0,0,0,1,0,0,0,0
Fastball,1,1,0,2,0,0,0,1,0,0,-4,4.63,18,0.28,6,-1,5,2,0,0,1,0,0,0,0,1,0,0,0,0
Fastball,1,1,0,5,3,1,0,0,0,0,0,4.03,26,0.288,11,-1,7,5,0,0,0,1,0,0,0,0,0,1,0,0
Slider/Cutter,8,1,1,8,1,2,0,0,0,0,4,3.97,17,0.285,2,-1,3,2,0,0,0,0,0,1,0,0,0,0,1,0
Fastball,9,1,0,7,0,0,0,0,0,0,-2,4.91,4,0.228,0,1,5,3,0,0,1,0,0,0,0,1,0,0,0,0
Fastball,4,1,0,5,1,0,0,0,1,0,-3,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0
Slider/Cutter,8,1,0,4,2,1,1,0,1,0,4,0.84,7,0.227,0,-1,1,1,0,0,0,1,0,0,0,0,0,0,1,0
Fastball,4,1,0,1,0,1,1,1,0,0,1,3.26,40,0.32,6,-1,13,5,0,0,0,0,1,0,0,1,0,0,0,0
Fastball,9,1,0,8,0,1,1,0,0,0,-2,1.35,0,0.053,0,1,1,0,0,0,0,1,0,0,0,1,0,0,0,0
Fastball,3,1,1,3,1,2,0,0,0,0,-2,3.38,14,0.297,4,1,3,1,0,0,0,0,1,0,0,0,1,0,0,0
Slider/Cutter,4,1,0,7,1,1,0,0,0,0,1,3.97,23,0.222,1,1,7,5,0,0,0,0,0,1,0,0,0,0,1,0
Slider/Cutter,3,1,0,4,0,1,1,0,0,0,1,0,0,0,0,-1,0,0,0,0,0,0,0,0,1,1,0,0,0,0
Fastball,2,1,1,1,0,1,1,0,0,0,0,4.11,24,0.269,2,1,7,4,0,0,0,0,1,0,0,1,0,0,0,0
ChangeUp,3,1,1,1,2,0,1,0,0,0,0,1.35,6,0.267,4,1,1,0,0,0,0,0,0,1,0,0,0,1,0,0
Fastball,4,1,0,1,2,1,2,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0
Fastball,8,1,1,5,0,0,0,0,0,0,12,5.68,11,0.237,0,1,4,7,0,0,1,0,0,0,0,1,0,0,0,0
Fastball,2,1,1,3,0,2,2,1,0,0,0,4.21,50,0.282,12,-1,7,4,0,0,0,1,0,0,0,0,0,1,0,0
Fastball,5,1,0,6,0,0,2,0,0,0,1,4.82,34,0.226,8,-1,5,4,0,0,1,0,0,0,0,1,0,0,0,0
Fastball,6,1,0,2,3,2,1,1,0,0,0,5.2,3,0.174,2,1,5,2,0,0,0,0,1,0,0,0,0,1,0,0
Fastball,8,1,1,3,0,0,0,0,1,0,0,3.73,44,0.264,6,1,9,5,0,0,1,0,0,0,0,1,0,0,0,0
Fastball,2,1,1,3,0,0,0,1,0,0,0,5.2,17,0.288,5,1,5,2,0,0,1,0,0,0,0,1,0,0,0,0
Fastball,6,1,1,4,2,2,0,0,0,0,4,3.36,0,0,0,1,11,5,0,0,0,0,0,1,0,0,0,0,1,0
Fastball,1,1,0,1,1,2,0,0,0,0,0,3.97,8,0.26,0,-1,3,2,0,0,0,0,1,0,0,0,0,1,0,0
Fastball,7,1,0,3,0,1,0,0,0,0,0,3.73,18,0.171,4,1,9,5,0,0,0,1,0,0,0,1,0,0,0,0
ChangeUp,5,1,1,2,1,2,0,0,0,0,0,3.97,14,0.232,1,-1,3,2,0,0,0,1,0,0,0,0,0,0,0,1
KnuckleBall,3,1,0,1,2,2,2,0,0,0,1,4.97,16,0.255,3,-1,4,2,0,0,0,0,1,0,0,0,0,0,0,1
Slider/Cutter,2,1,1,6,0,0,0,0,0,0,-1,3.73,31,0.271,3,1,9,5,0,0,1,0,0,0,0,1,0,0,0,0
Fastball,1,1,0,5,1,1,0,0,0,0,0,4.03,26,0.288,11,-1,7,5,0,0,0,0,1,0,0,0,0,0,0,1
Slider/Cutter,7,1,1,5,0,1,0,1,0,0,-1,1.8,1,0.4,0,-1,0,0,0,0,0,0,1,0,0,1,0,0,0,0
Fastball,8,1,1,7,1,2,0,0,0,0,4,3.29,19,0.188,2,1,12,5,0,0,0,0,0,0,1,0,0,1,0,0
ChangeUp,2,1,0,3,0,1,0,0,0,0,-1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0
Fastball,5,1,1,2,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0
Fastball,2,1,0,4,3,0,0,0,0,0,2,3.55,48,0.275,8,1,10,5,0,0,0,0,1,0,0,0,1,0,0,0
Fastball,1,1,0,1,0,0,0,0,0,0,1,0.84,5,0.273,2,-1,1,1,0,0,1,0,0,0,0,1,0,0,0,0
Slider/Cutter,1,1,1,1,1,1,0,0,0,0,0,3.97,33,0.273,4,1,7,5,0,0,0,0,0,0,1,0,0,1,0,0
KnuckleBall,5,1,0,7,1,2,1,0,0,0,3,0,0,0,0,-1,0,0,0,0,0,0,0,1,0,0,0,0,0,1
KnuckleBall,3,1,1,5,0,1,1,1,1,0,0,4.03,65,0.272,20,-1,7,5,0,0,0,0,0,1,0,1,0,0,0,0
Fastball,1,1,0,1,2,0,0,0,0,0,0,3.38,9,0.224,3,1,3,1,0,0,0,0,1,0,0,0,0,1,0,0
Fastball,3,1,0,4,1,1,2,1,0,0,-1,3.8,14,0.214,4,1,3,1,0,0,0,0,1,0,0,0,0,1,0,0
KnuckleBall,6,1,0,6,2,1,1,0,0,1,2,4.97,14,0.178,4,-1,4,2,0,0,0,0,1,0,0,0,0,0,1,0
Fastball,5,1,1,4,0,0,2,1,0,0,-1,1.8,0,0.438,0,-1,0,0,0,0,1,0,0,0,0,1,0,0,0,0
ChangeUp,5,1,1,3,1,0,1,0,1,0,-3,4.18,34,0.303,3,1,7,4,0,0,0,0,1,0,0,1,0,0,0,0
Fastball,7,1,1,6,0,1,0,0,0,0,-3,4.18,9,0.302,0,1,7,4,0,0,0,1,0,0,0,1,0,0,0,0
Fastball,9,1,0,3,2,2,2,0,0,0,0,1.8,0,0.25,0,-1,0,0,0,0,0,0,1,0,0,0,0,0,1,0
KnuckleBall,2,1,0,4,0,1,0,0,0,0,5,3.78,31,0.247,9,1,8,5,0,0,0,0,1,0,0,1,0,0,0,0
Fastball,2,1,0,1,0,0,0,1,0,0,-2,1.35,2,0.111,0,1,1,0,0,0,1,0,0,0,0,1,0,0,0,0
KnuckleBall,7,1,1,5,2,2,1,0,0,0,2,4.21,53,0.243,15,-1,7,4,0,0,0,0,0,0,1,0,0,1,0,0
Slider/Cutter,5,1,1,2,0,1,0,0,0,0,0,3.97,14,0.232,1,-1,3,2,0,0,0,0,1,0,0,1,0,0,0,0
Fastball,3,1,0,1,0,0,2,0,0,0,0,3.73,52,0.278,10,1,9,5,0,0,1,0,0,0,0,1,0,0,0,0
ChangeUp,2,1,0,1,2,1,0,1,0,0,0,3.8,9,0.244,2,1,3,1,0,0,0,0,1,0,0,0,0,1,0,0
Slider/Cutter,2,1,0,1,0,2,1,0,0,0,0,3.72,33,0.258,7,1,16,6,0,0,0,0,0,1,0,0,0,0,0,1
Fastball,0,1,0,6,0,2,0,1,0,0,9,3.78,5,0.177,0,1,8,5,0,0,0,1,0,0,0,0,0,1,0,0
Fastball,9,1,0,2,0,1,2,0,1,0,-1,4.91,4,0.228,0,1,5,3,0,0,0,0,1,0,0,1,0,0,0,0
Slider/Cutter,5,1,0,5,0,0,1,1,0,0,4,0.84,2,0.267,0,-1,1,1,0,0,1,0,0,0,0,1,0,0,0,0
Fastball,5,1,1,1,2,2,1,1,1,1,0,3.38,7,0.222,3,1,3,1,0,0,0,1,0,0,0,0,0,1,0,0
Fastball,5,1,1,6,0,1,2,0,0,0,0,4.21,25,0.273,3,-1,7,4,0,0,0,0,0,1,0,1,0,0,0,0
KnuckleBall,1,1,0,3,0,0,2,0,0,0,0,1.35,5,0.333,4,1,1,0,0,0,1,0,0,0,0,1,0,0,0,0
Fastball,3,1,1,5,0,1,0,0,0,0,-1,5.2,21,0.271,3,1,5,2,0,0,0,0,1,0,0,1,0,0,0,0
Slider/Cutter,8,1,1,2,0,0,0,0,0,0,-2,3.29,19,0.188,2,1,12,5,0,0,1,0,0,0,0,1,0,0,0,0
Fastball,2,1,1,5,0,1,0,1,0,0,0,4.03,76,0.309,24,-1,7,5,0,0,0,0,0,1,0,1,0,0,0,0
Fastball,1,1,1,2,2,2,2,0,0,1,-1,4.53,12,0.264,2,-1,4,2,0,0,0,0,1,0,0,0,1,0,0,0
ChangeUp,5,1,1,5,2,2,1,0,0,0,-3,4.18,34,0.303,3,1,7,4,0,0,0,0,1,0,0,0,0,0,0,1
Fastball,6,1,0,2,3,2,1,1,0,0,0,5.2,3,0.174,2,1,5,2,0,0,0,0,1,0,0,0,0,1,0,0
ChangeUp,4,1,0,4,1,0,1,0,0,0,-1,1.8,1,0.176,1,-1,0,0,0,0,0,1,0,0,0,1,0,0,0,0
Fastball,7,1,0,6,0,1,2,0,0,0,4,3.36,0,0.148,0,1,11,5,0,0,0,0,0,1,0,1,0,0,0,0
Fastball,6,1,1,2,2,1,2,0,0,0,0,3.55,20,0.243,5,1,10,5,0,0,0,0,1,0,0,0,0,1,0,0
Fastball,5,1,1,3,1,1,1,1,1,0,-1,5.2,23,0.265,6,1,5,2,0,0,0,0,1,0,0,0,1,0,0,0
Fastball,5,1,1,3,0,0,1,1,0,1,1,4.53,23,0.214,11,-1,4,2,0,0,1,0,0,0,0,1,0,0,0,0
KnuckleBall,4,1,1,2,0,0,0,0,0,0,2,3.4,94,0.264,21,-1,11,5,0,0,1,0,0,0,0,1,0,0,0,0
Slider/Cutter,3,1,1,1,2,1,0,0,1,0,-1,4.91,46,0.311,15,1,5,3,0,0,0,1,0,0,0,0,1,0,0,0
Slider/Cutter,3,1,0,1,2,0,2,0,0,0,1,4.97,16,0.255,3,-1,4,2,0,0,0,0,0,0,1,0,0,0,0,1
Fastball,9,1,0,2,3,1,0,0,0,0,-4,4.63,11,0.274,1,-1,5,2,0,0,0,0,1,0,0,0,0,0,1,0
Fastball,2,1,1,1,0,0,0,1,0,0,0,4.18,19,0.264,2,1,7,4,0,0,1,0,0,0,0,1,0,0,0,0
Fastball,2,1,1,1,0,1,0,1,0,0,1,3.26,103,0.29,35,-1,13,5,0,0,0,0,1,0,0,1,0,0,0,0
KnuckleBall,3,1,1,3,0,2,1,1,0,0,0,5.2,21,0.271,3,1,5,2,0,0,0,0,1,0,0,0,1,0,0,0
Fastball,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0
KnuckleBall,2,1,0,6,2,2,0,0,0,0,3,3.97,18,0.302,1,-1,3,2,0,0,0,0,1,0,0,0,0,1,0,0
Fastball,6,1,0,7,1,0,1,0,0,0,0,1.8,0,0,0,-1,0,0,0,0,0,1,0,0,0,1,0,0,0,0
Fastball,1,1,1,1,1,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0
ChangeUp,4,1,1,3,1,1,1,1,1,1,4,3.36,65,0.277,20,1,11,5,0,0,0,1,0,0,0,0,0,1,0,0
Fastball,3,1,1,5,0,1,0,0,0,0,-3,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0
Fastball,1,1,0,7,0,1,1,1,0,0,-1,4.11,36,0.281,8,1,7,4,0,0,0,0,1,0,0,1,0,0,0,0
Fastball,7,1,0,2,1,2,2,1,0,0,6,3.36,0,0.148,0,1,11,5,0,0,0,0,0,1,0,0,0,0,1,0
Fastball,8,1,1,2,0,0,2,1,0,0,0,3.97,17,0.285,2,-1,3,2,0,0,1,0,0,0,0,1,0,0,0,0
Fastball,5,1,0,2,0,1,0,0,0,0,1,1.71,1,0.4,0,-1,2,1,0,0,0,0,0,1,0,1,0,0,0,0
Fastball,2,1,0,6,0,1,1,1,0,0,9,3.78,31,0.247,9,1,8,5,0,0,0,0,0,1,0,1,0,0,0,0
KnuckleBall,7,1,0,1,1,2,2,1,0,0,-3,3.8,7,0.213,3,1,3,1,0,0,0,0,0,1,0,0,0,1,0,0
Fastball,3,1,0,4,0,1,0,0,0,0,1,4.82,31,0.279,4,-1,5,4,0,0,0,1,0,0,0,1,0,0,0,0
Slider/Cutter,4,1,0,4,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0
KnuckleBall,2,1,1,5,0,0,0,1,0,0,0,4.03,76,0.309,24,-1,7,5,0,0,1,0,0,0,0,1,0,0,0,0
Fastball,8,1,0,7,1,0,1,1,0,0,0,3.36,21,0.156,6,1,12,5,0,0,0,0,1,0,0,1,0,0,0,0
Slider/Cutter,1,1,0,1,0,0,0,0,0,0,0,4.11,31,0.291,7,-1,7,5,0,0,1,0,0,0,0,1,0,0,0,0
Fastball,6,1,1,1,0,2,2,1,1,0,-2,4.63,5,0.414,0,-1,5,2,0,0,0,0,1,0,0,0,0,0,0,1
Fastball,8,1,1,7,0,0,0,0,0,0,4,3.29,19,0.188,2,1,12,5,0,0,1,0,0,0,0,1,0,0,0,0
Fastball,3,1,0,5,0,1,0,0,0,0,-3,4.18,1,0.115,1,1,7,4,0,0,0,1,0,0,0,1,0,0,0,0
KnuckleBall,3,1,0,5,0,0,0,0,0,0,1,3.41,40,0.271,4,1,11,5,0,0,1,0,0,0,0,1,0,0,0,0
