"pitch_type","bat_order","pitch_rl","bat_rl","inning","balls","strikes","out","on_1b","on_2b","on_3b","score_diff","era","rbi","avg","hr","pitcher_at_home","pitcher_wins","pitcher_losses","batter_wins","batter_losses","prev_pitch_type0","prev_pitch_typeChangeUp","prev_pitch_typeCurveBall","prev_pitch_typeFastball","prev_pitch_typeSlider.Cutter","prevprev_pitch_type0","prevprev_pitch_typeChangeUp","prevprev_pitch_typeCurveBall","prevprev_pitch_typeFastball","prevprev_pitch_typeSlider.Cutter"
"CurveBall",4,"0","0",3,"0","1",1,1,1,0,4,0,0,0,0,-1,0,0,0,0,0,0,0,1,0,1,0,0,0,0
"CurveBall",1,"0","1",5,"0","1",1,0,0,0,0,1.64,1,0.135,0,-1,2,0,0,0,0,0,0,0,1,1,0,0,0,0
"Slider.Cutter",8,"0","1",7,"1","0",1,1,0,0,4,1.35,5,0.25,1,-1,1,0,0,0,0,0,0,1,0,1,0,0,0,0
"CurveBall",6,"0","1",5,"0","2",0,0,0,0,6,1.73,5,0.22,2,1,11,3,0,0,0,0,1,0,0,0,0,0,1,0
"Slider.Cutter",4,"0","1",4,"1","1",2,1,0,0,4,1.73,30,0.222,9,1,11,3,0,0,0,0,0,1,0,0,0,0,0,1
"CurveBall",4,"0","1",2,"2","2",0,0,0,0,0,1.65,56,0.29,13,-1,12,3,0,0,0,0,0,1,0,0,0,0,1,0
"Fastball",8,"0","1",7,"2","2",2,0,0,0,-1,0.66,3,0.194,0,1,2,0,0,0,0,0,0,0,1,0,0,0,0,1
"Fastball",2,"0","0",6,"0","0",1,1,0,0,-1,1.65,82,0.275,17,-1,12,3,0,0,1,0,0,0,0,1,0,0,0,0
"Fastball",4,"0","1",6,"0","0",0,0,1,1,3,1.2,9,0.237,2,1,1,0,0,0,1,0,0,0,0,1,0,0,0,0
"CurveBall",5,"0","0",5,"0","1",0,0,0,0,1,1.46,29,0.298,7,-1,8,1,0,0,0,0,0,1,0,1,0,0,0,0
"CurveBall",6,"0","1",4,"0","1",2,0,0,0,1,1.2,8,0.225,2,1,1,0,0,0,0,0,0,0,1,1,0,0,0,0
"Fastball",3,"0","1",4,"2","1",0,0,0,0,-1,4.24,10,0.32,0,-1,2,2,0,0,0,0,1,0,0,0,0,0,1,0
"CurveBall",5,"0","1",7,"1","1",0,0,0,0,1,1.85,19,0.206,7,1,10,2,0,0,0,0,0,1,0,0,0,0,1,0
"Slider.Cutter",7,"0","1",5,"1","2",1,0,0,0,-2,3.57,16,0.287,4,1,3,2,0,0,0,0,0,1,0,0,0,1,0,0
"Fastball",8,"0","1",5,"1","0",0,0,0,0,5,4.26,14,0.324,1,1,1,2,0,0,0,0,0,1,0,1,0,0,0,0
"Fastball",1,"0","0",1,"0","0",0,0,0,0,2,1.46,23,0.264,2,-1,8,1,0,0,1,0,0,0,0,1,0,0,0,0
"Fastball",1,"0","1",8,"0","0",0,0,0,0,1,2.52,31,0.314,2,-1,7,2,0,0,1,0,0,0,0,1,0,0,0,0
"Slider.Cutter",2,"0","1",6,"3","2",2,0,0,0,1,0,0,0,0,-1,0,0,0,0,0,0,0,0,1,0,0,0,0,1
"Fastball",3,"0","0",1,"2","1",2,0,0,0,0,1.5,7,0.371,1,1,2,0,0,0,0,0,0,0,1,0,0,0,1,0
"Fastball",3,"0","1",1,"1","0",1,0,0,0,0,1.96,22,0.217,6,-1,3,1,0,0,0,0,0,1,0,1,0,0,0,0
"Fastball",3,"0","0",4,"1","1",0,1,0,0,1,1.58,42,0.255,14,1,10,1,0,0,0,0,1,0,0,0,0,0,1,0
"Fastball",6,"0","1",2,"0","0",2,0,0,0,1,2.52,34,0.246,4,-1,7,2,0,0,1,0,0,0,0,1,0,0,0,0
"Slider.Cutter",4,"0","1",6,"0","0",1,1,0,0,0,1.46,26,0.257,8,-1,8,1,0,0,1,0,0,0,0,1,0,0,0,0
"Fastball",3,"0","1",2,"0","0",1,0,0,1,-6,1.74,26,0.311,7,-1,2,0,0,0,1,0,0,0,0,1,0,0,0,0
"Fastball",1,"0","1",1,"1","1",0,0,0,0,1,4.43,20,0.276,6,-1,2,1,0,0,0,1,0,0,0,0,0,0,1,0
"Fastball",1,"0","0",7,"0","2",2,0,0,0,2,1.82,20,0.263,3,-1,15,3,0,0,0,0,0,0,1,0,0,0,0,1
"CurveBall",8,"0","0",4,"1","2",1,0,0,0,1,3.17,2,0.372,1,1,5,2,0,0,0,0,0,1,0,0,0,0,0,1
"Slider.Cutter",0,"0","0",7,"0","1",1,0,0,0,2,1.82,0,0.105,0,-1,15,3,0,0,0,0,0,1,0,1,0,0,0,0
"CurveBall",7,"0","1",3,"0","2",0,0,0,0,0,2.43,6,0.213,2,1,2,1,0,0,0,0,0,0,1,0,0,0,0,1
"CurveBall",9,"0","1",5,"0","1",0,0,0,0,-2,4.24,0,0.059,0,-1,2,2,4,2,0,0,0,0,1,1,0,0,0,0
"CurveBall",3,"0","0",3,"0","2",2,0,0,0,0,1.64,4,0.156,1,-1,2,0,0,0,0,0,0,1,0,0,0,0,0,1
"Fastball",5,"0","1",7,"0","2",0,0,1,0,8,4.32,9,0.221,3,1,2,3,0,0,0,0,1,0,0,0,0,0,1,0
"Fastball",9,"0","1",3,"0","0",2,0,0,0,4,1.73,2,0.043,0,1,11,3,13,7,1,0,0,0,0,1,0,0,0,0
"Slider.Cutter",4,"0","1",7,"1","2",0,0,0,0,4,1.73,81,0.251,22,1,16,3,0,0,0,0,0,1,0,0,0,1,0,0
"Fastball",1,"0","1",3,"1","0",2,0,1,0,0,1.85,15,0.257,1,1,10,2,0,0,0,0,0,0,1,1,0,0,0,0
"Slider.Cutter",2,"0","1",4,"1","1",0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0
"CurveBall",2,"0","1",8,"1","2",1,0,0,0,0,1.64,2,0.294,0,-1,2,0,0,0,0,0,0,1,0,0,0,0,1,0
"Fastball",3,"0","1",4,"1","2",0,1,0,0,2,1.7,47,0.201,9,1,17,3,0,0,0,0,1,0,0,0,0,0,1,0
"Fastball",9,"0","0",5,"3","2",2,0,0,0,0,1.73,0,0.079,0,1,16,3,12,5,0,0,0,1,0,0,0,0,1,0
"CurveBall",4,"0","1",5,"0","2",0,0,0,0,1,2.43,11,0.244,2,1,2,1,0,0,0,0,0,0,1,0,0,0,1,0
"Slider.Cutter",1,"0","0",3,"1","0",2,0,0,0,5,2.04,11,0.205,6,1,4,1,0,0,0,0,0,1,0,1,0,0,0,0
"CurveBall",8,"0","0",6,"0","1",0,0,0,0,4,1.92,44,0.236,8,-1,11,2,0,0,0,0,0,1,0,1,0,0,0,0
"CurveBall",4,"0","1",4,"1","2",2,0,0,0,1,1.46,26,0.257,8,-1,8,1,0,0,0,0,0,0,1,0,0,0,0,1
"CurveBall",1,"0","0",6,"1","2",0,0,1,0,3,1.5,4,0.263,0,1,2,0,0,0,0,0,0,1,0,0,0,0,0,1
"Fastball",1,"0","0",1,"0","0",0,0,0,0,0,1.89,36,0.261,7,-1,11,3,0,0,1,0,0,0,0,1,0,0,0,0
"Fastball",9,"0","1",3,"0","0",0,0,0,0,0,2.24,2,0.185,0,1,8,2,7,6,1,0,0,0,0,1,0,0,0,0
"Fastball",9,"0","1",5,"1","0",2,0,0,0,-2,4.42,0,0,0,-1,1,1,1,1,0,0,0,1,0,1,0,0,0,0
"Slider.Cutter",8,"0","1",2,"0","1",2,1,0,0,0,1.73,14,0.264,1,1,16,3,0,0,0,0,0,1,0,1,0,0,0,0
"Slider.Cutter",7,"0","1",2,"1","1",2,1,0,0,2,4.43,1,0.211,1,-1,2,1,0,0,0,0,0,1,0,0,0,0,1,0
"Slider.Cutter",2,"0","1",4,"0","2",0,0,0,0,2,5.84,5,0.343,0,1,0,1,0,0,0,0,1,0,0,0,0,0,1,0
"CurveBall",4,"0","1",4,"0","1",0,0,0,0,0,1.64,5,0.261,1,-1,2,0,0,0,0,0,0,1,0,1,0,0,0,0
"CurveBall",2,"0","1",1,"2","2",0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0
"Fastball",5,"0","1",2,"1","1",0,0,0,0,3,5.84,1,0.321,0,1,0,1,0,0,0,0,0,1,0,0,0,0,1,0
"Slider.Cutter",5,"0","1",2,"1","0",0,1,0,0,1,0,0,0,0,-1,0,0,0,0,0,0,0,1,0,1,0,0,0,0
