"pitch_type","batter_num","pitch_rl","bat_rl","inning","balls","strikes","out","on_1b","on_2b","on_3b","score_diff","era","rbi","avg","hr","pitcher_at_home","pitcher_wins","pitcher_losses","batter_wins","batter_losses","prev_pitch_type0","prev_pitch_typeChangeUp","prev_pitch_typeCurveBall","prev_pitch_typeFastball","prev_pitch_typeSlider.Cutter","prevprev_pitch_type0","prevprev_pitch_typeChangeUp","prevprev_pitch_typeCurveBall","prevprev_pitch_typeFastball","prevprev_pitch_typeSlider.Cutter"
"Fastball",10,"1","1",3,"3","1",2,0,0,0,1,3.19,60,0.273,12,1,8,6,0,0,0,1,0,0,0,0,0,0,1,0
"Fastball",6,"1","0",2,"3","2",1,0,0,0,0,3.18,17,0.22,7,-1,1,1,0,0,0,1,0,0,0,0,0,0,1,0
"Fastball",1,"1","0",1,"0","2",0,0,0,0,0,3.59,38,0.243,20,-1,3,4,0,0,0,0,1,0,0,0,0,0,1,0
"Fastball",11,"1","0",3,"0","0",1,0,0,0,-1,3.77,22,0.316,4,1,2,3,0,0,1,0,0,0,0,1,0,0,0,0
"Fastball",13,"1","1",4,"0","1",2,0,0,0,4,2.7,35,0.213,6,1,5,5,0,0,0,0,1,0,0,1,0,0,0,0
"Fastball",24,"1","0",7,"0","1",1,0,0,0,1,4.03,11,0.295,0,1,2,4,0,0,0,0,1,0,0,1,0,0,0,0
"Fastball",19,"1","0",4,"1","2",2,0,1,1,-1,3.17,29,0.27,1,-1,7,6,0,0,0,0,1,0,0,0,0,0,1,0
"Fastball",20,"1","0",6,"0","2",0,0,0,0,-3,3.2,65,0.264,16,1,8,6,0,0,0,0,0,1,0,0,0,0,0,1
"Fastball",25,"1","1",7,"1","1",0,0,0,0,-1,3.11,32,0.222,8,-1,4,4,0,0,0,0,0,1,0,0,0,0,1,0
"Fastball",1,"1","1",1,"0","1",0,0,0,0,0,3.34,25,0.27,5,1,9,7,0,0,0,0,0,1,0,1,0,0,0,0
"Fastball",16,"1","1",4,"1","2",2,1,0,0,3,3.38,19,0.231,2,1,3,4,0,0,0,0,0,1,0,0,0,0,1,0
